Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2276,1,TOMOA NARASAKI,M,JPN,139.0,141.9,156.4
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2309,2,YOSHIYUKI OGATA,M,JPN,120.7,132.4,138.4
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2272,3,KOKORO FUJII,M,JPN,103.7,115.5,132.6
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",547,4,PAUL JENFT,M,FRA,123.6,112.0,129.7
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3131,5,YANNICK FLOHÉ,M,GER,115.3,115.9,128.5
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2370,6,TAISEI HOMMA,M,JPN,124.4,128.6,117.5
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2385,7,REI KAWAMATA,M,JPN,114.1,113.1,109.5
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1741,8,SEAN BAILEY,M,USA,163.2,117.8,76.6
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2261,9,MASAHIRO HIGUCHI,M,JPN,105.1,103.8,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1929,10,COLIN DUFFY,M,USA,114.4,102.1,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11675,11,MEJDI SCHALCK,M,FRA,125.1,100.1,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11832,12,AO YURIKUSA,M,JPN,118.0,98.7,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11490,13,TOBY ROBERTS,M,GBR,99.9,92.2,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",4299,14,SASCHA LEHMANN,M,SUI,150.6,90.4,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11390,15,SATONE YOSHIDA,M,JPN,112.5,80.3,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1749,16,JESSE GRUPPER,M,USA,128.9,78.7,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",320,17,NICOLAS COLLIN,M,BEL,115.3,75.4,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2667,18,HANNES PUMAN,M,SWE,91.0,71.5,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",373,19,HANNES VAN DUYSEN,M,BEL,88.8,62.4,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2061,20,SHINYEONG YUN,M,KOR,97.6,38.5,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",532,21,SAM AVEZOU,M,FRA,88.6,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1138,22,ANZE PEHARC,M,SLO,88.5,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",12335,23,YANNICK NAGEL,M,GER,83.8,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",4252,24,CHRISTOPH SCHWEIGER,M,GER,77.7,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3665,25,LUKE GOH WEN BIN,M,SGP,69.4,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11847,26,OSCAR BAUDRAND,M,CAN,63.7,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3332,27,RAVIANDI RAMADHAN,M,INA,63.5,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3061,28,THILO JELDRIK SCHRÖTER,M,NOR,53.2,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2219,29,CHEUK-HEI HO,M,HKG,51.5,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2218,30,CHEUNG-CHI SHOJI CHAN,M,HKG,50.1,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11859,31,DOHYEON KIM,M,KOR,49.6,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",765,32,PHILIPP MARTIN,M,GER,49.1,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3141,33,FELIPE HO FOGANHOLO,M,BRA,48.5,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",11382,34,YONGCHEN CHEN,M,CHN,46.6,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3331,35,RAVIANTO RAMADHAN,M,INA,43.4,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2146,36,CHIA HSIANG LIN,M,TPE,35.1,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2214,37,KA-CHUN YAU,M,HKG,30.7,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",2217,,CHI-FUNG AU,M,HKG,DNS,,
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",3486,,AMIR NOURI,M,IRI,DNS,,
