Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1204,1,KILIAN FISCHHUBER,M,AUT,5T6 5B6,3T4 4B6,3T5 3B5
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,53,2,DMITRII SHARAFUTDINOV,M,RUS,5T5 5B5,3T5 4B6,2T2 2B2
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1707,3,DANIEL WOODS,M,USA,4T4 5B5,3T8 4B6,2T4 3B4
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,436,4,GUILLAUME GLAIRON MONDET,M,FRA,4T5 4B4,3T4 4B5,2T7 3B7
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,412,5,JÉRÔME MEYER,M,FRA,4T5 5B6,4T6 4B5,2T8 3B8
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,849,6,GABRIELE MORONI,M,ITA,5T6 5B6,3T4 4B5,2T9 3B12
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4463,7,CHRISTIAN CORE,M,ITA,4T5 4B5,3T8 4B7,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,60,8,RUSTAM GELMANOV,M,RUS,4T4 4B4,2T2 4B5,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4471,9,LUDOVIC LAURENCE,M,FRA,4T4 5B5,2T2 4B8,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4726,10,MATTHIAS MÜLLER,M,SUI,5T10 5B10,2T4 4B6,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1361,11,MARTIN STRANIK,M,CZE,5T11 5B9,2T4 4B6,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1356,12,TOMÁS MRÁZEK,M,CZE,4T5 4B5,2T4 4B7,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,3577,13,JORG VERHOEVEN,M,NED,4T4 4B4,2T4 4B10,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5533,14,PIERRE DUROCHE,M,FRA,4T4 4B4,2T4 3B4,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,61,15,MIKHAIL CHERNIKOV,M,RUS,4T5 4B5,2T4 3B5,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,3429,16,KEVIN HEMUND,M,SUI,5T11 5B9,2T5 3B5,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4777,17,MARKUS HOPPE,M,GER,4T4 4B4,2T7 3B7,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5683,18,MASATOSHI SUGITA,M,JPN,4T4 4B4,1T1 3B3,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4905,19,GARETH PARRY,M,GBR,5T11 5B10,1T1 2B4,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5265,20,ANDRE BOROWKA,M,GER,4T5 4B5,1T1 1B1,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4780,20,MICHELE CAMINATI,M,ITA,4T5 4B5,1T1 1B1,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,441,22,THOMAS CALEYRON,M,FRA,4T4 4B4,1T2 2B5,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1213,23,DAVID LAMA,M,AUT,4T6 5B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1212,24,LUKAS ENNEMOSER,M,AUT,4T6 5B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1124,25,JERNEJ KRUDER,M,SLO,4T6 4B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4581,26,TOMASZ OLEKSY,M,POL,4T6 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,432,27,GÉROME POUVREAU,M,FRA,4T6 4B6,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5292,28,NICOLAS BADIA,M,FRA,4T7 4B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4666,29,STEFANO GHIDINI,M,ITA,4T9 5B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4792,30,EMANUEL MOOSBURGER,M,AUT,4T9 4B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,2822,31,JONAS BAUMANN,M,GER,4T9 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4778,32,LUCAS PRETI,M,ITA,4T10 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,3124,33,THOMAS TAUPORN,M,GER,4T12 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1214,34,JAKOB SCHUBERT,M,AUT,4T18 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4774,35,STEWART WATSON,M,GBR,3T3 5B10,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5334,36,ROK KLANCNIK,M,SLO,3T3 4B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5658,37,KORNELIUS OBLEITNER,M,AUT,3T3 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,9191,38,STÉPHAN JULIEN,M,FRA,3T3 3B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4783,38,AKITO MATSUSHIMA,M,JPN,3T3 3B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5381,40,SEBASTIEN JALMAIN,M,FRA,3T4 5B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,3576,41,WOUTER JONGENEELEN,M,NED,3T4 4B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,2255,42,TSUKURU HORI,M,JPN,3T4 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,72,43,YURY NOVITSKIY,M,RUS,3T5 4B6,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4937,44,KAZUMA WATANABE,M,JPN,3T6 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4716,45,KLEMEN BECAN,M,SLO,3T6 4B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5291,46,ROLAND WAGNER,M,AUT,3T7 4B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4844,47,CHRISTOPHER WEBB-PARSONS,M,AUS,3T8 4B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4907,48,MARK CROXALL,M,GBR,3T8 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,634,49,DAVID BARRANS,M,GBR,3T10 4B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5611,50,NALLE HUKKATAIVAL,M,FIN,3T10 4B11,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4776,51,MYKHAYLO SHALAGIN,M,UKR,2T2 4B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4503,52,JULIEN MERAL,M,FRA,2T3 4B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4775,53,REMO SOMMER,M,SUI,2T3 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4976,53,PETER WÜRTH,M,GER,2T3 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5857,55,JESSE VAN DER WERF,M,NED,2T3 4B6,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4644,56,KARSTEN BOROWKA,M,GER,2T3 4B10,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5384,57,ARIC MERZ,M,GER,2T3 3B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5677,57,FLORENT SAMYN,M,FRA,2T3 3B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4784,59,BAPTISTE NOMINE,M,FRA,2T4 4B10,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5858,60,IGNASI TARRAZONA GASQUE,M,ESP,2T5 3B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4789,61,BRUNO MACIAS MATUTANO,M,ESP,2T5 3B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4788,62,STANISLAV KLESHNOV,M,UKR,2T6 4B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5791,63,BASTIEN GLAIRON MONDET,M,FRA,2T7 3B8,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5317,64,ALESSANDRO GANDOLFO,M,ITA,2T8 3B9,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1216,65,MARIO LECHNER,M,AUT,2T10 4B12,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5657,66,JOACKYM RAMSAMY,M,FRA,1T1 4B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,1357,67,STEPAN STRANIK,M,CZE,1T1 3B5,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5859,68,MATTHEW STORER,M,AUS,1T1 2B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5099,69,BLAZ RANT,M,SLO,1T2 4B7,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4609,70,FERDINAND SCHULTE,M,NED,1T2 4B12,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5517,71,THOMAS SCHMID,M,SUI,1T2 3B6,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4150,72,ROLANDS RUGENS,M,LAT,1T2 3B12,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4808,73,JAKUB KOVACIK,M,SVK,1T2 2B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4951,73,THIBAUT MAURON,M,SUI,1T2 2B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4818,75,EDWARD FEEHALLY,M,GBR,1T4 2B10,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5146,76,RODDY MACKENZIE,M,GBR,1T4 1B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4810,77,MATEJ SVUB,M,SVK,0T 3B10,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4977,78,CHRISTIAN FEISTMANTL,M,AUT,0T 2B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5776,78,PAUL STADLOBER,M,AUT,0T 2B3,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,4812,80,THEODOROS KONSTANTAKOPOULOS,M,GRE,0T 2B4,,
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,5844,81,JACEK MATUSZEK,M,POL,0T 1B8,,
