Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,53,1,DMITRII SHARAFUTDINOV,M,RUS,4T9 5B9,3T12 4B10,3T4 4B5
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,60,2,RUSTAM GELMANOV,M,RUS,5T8 5B8,4T11 4B7,2T2 4B4
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1213,3,DAVID LAMA,M,AUT,5T5 5B5,3T6 4B7,2T4 4B7
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1559,4,SEAN MCCOLL,M,CAN,5T6 5B6,3T6 3B4,1T1 4B5
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2255,5,TSUKURU HORI,M,JPN,5T9 5B8,4T17 4B9,1T2 3B4
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,849,6,GABRIELE MORONI,M,ITA,5T7 5B6,3T11 4B10,0T 3B3
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1204,7,KILIAN FISCHHUBER,M,AUT,5T9 5B7,2T2 3B3,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,432,8,GÉROME POUVREAU,M,FRA,5T8 5B8,2T5 2B2,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4779,9,ANTOINE VANDEPUTTE,M,FRA,5T7 5B6,2T9 4B12,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4778,10,LUCAS PRETI,M,ITA,4T8 5B7,2T14 3B9,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4716,11,KLEMEN BECAN,M,SLO,5T7 5B7,1T2 3B11,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,9191,12,STÉPHAN JULIEN,M,FRA,4T7 5B9,1T4 3B6,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2822,13,JONAS BAUMANN,M,GER,5T7 5B7,1T4 2B4,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4780,14,MICHELE CAMINATI,M,ITA,4T7 5B9,0T 3B6,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4581,14,TOMASZ OLEKSY,M,POL,5T11 5B10,0T 3B6,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,436,16,GUILLAUME GLAIRON MONDET,M,FRA,5T7 5B6,0T 3B7,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4471,17,LUDOVIC LAURENCE,M,FRA,5T7 5B5,0T 2B3,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4777,18,MARKUS HOPPE,M,GER,4T8 5B9,0T 2B4,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3577,19,JORG VERHOEVEN,M,NED,4T9 5B9,0T 2B5,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5099,20,BLAZ RANT,M,SLO,5T11 5B9,0T 1B1,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,79,21,ALEKSEY RUBTSOV,M,RUS,4T11 5B17,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5683,21,MASATOSHI SUGITA,M,JPN,4T4 5B7,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4818,23,EDWARD FEEHALLY,M,GBR,4T5 5B8,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,72,23,YURY NOVITSKIY,M,RUS,4T13 5B13,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4782,25,OLIVIER LEBRETON,M,FRA,4T6 5B7,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1361,25,MARTIN STRANIK,M,CZE,4T15 5B15,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,774,27,MARCO ANTONIO JUBES ANGARITA,M,ESP,4T16 5B16,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,1124,27,JERNEJ KRUDER,M,SLO,4T6 4B6,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4773,29,LOÏC GAIDIOZ,M,FRA,3T3 5B6,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5381,29,SEBASTIEN JALMAIN,M,FRA,4T7 4B6,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5533,31,PIERRE DUROCHE,M,FRA,3T3 4B5,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4799,31,BASTIEN GERLAND,M,FRA,4T8 5B10,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3129,33,CÉDRIC LACHAT,M,SUI,4T11 5B12,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5857,33,JESSE VAN DER WERF,M,NED,3T5 3B5,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4783,35,AKITO MATSUSHIMA,M,JPN,3T7 5B13,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5833,35,NOBUYUKI NAGATA,M,JPN,3T3 4B4,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5265,37,ANDRE BOROWKA,M,GER,3T7 4B12,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,5657,37,JOACKYM RAMSAMY,M,FRA,3T6 5B10,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3429,39,KEVIN HEMUND,M,SUI,3T8 4B9,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4726,39,MATTHIAS MÜLLER,M,SUI,3T6 4B7,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,441,41,THOMAS CALEYRON,M,FRA,2T2 3B3,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4585,41,CASPER TEN SIJTHOFF,M,NED,2T2 4B5,,
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,3576,43,WOUTER JONGENEELEN,M,NED,2T3 4B5,,
