Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,53,1,DMITRII SHARAFUTDINOV,RUS,4T8 5B8,3T6 4B6,2T5 4B9
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,1204,2,KILIAN FISCHHUBER,AUT,4T8 5B10,3T6 3B6,2T6 3B6
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,1213,3,DAVID LAMA,AUT,4T5 4B4,3T5 4B6,1T1 3B3
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,849,4,GABRIELE MORONI,ITA,4T12 5B6,4T11 4B11,1T1 3B4
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4776,5,MYKHAYLO SHALAGIN,UKR,3T3 4B4,2T7 4B11,1T4 3B6
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4783,6,AKITO MATSUSHIMA,JPN,4T13 5B14,2T3 3B3,0T 3B4
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4726,7,MATTHIAS MÜLLER,SUI,3T3 5B7,2T7 4B14,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,3129,8,CÉDRIC LACHAT,SUI,3T5 5B11,2T8 4B8,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4471,9,LUDOVIC LAURENCE,FRA,3T4 5B7,2T11 3B12,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,60,10,RUSTAM GELMANOV,RUS,4T4 5B8,1T1 3B3,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,432,11,GÉROME POUVREAU,FRA,4T12 4B6,1T1 3B7,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4775,12,REMO SOMMER,SUI,3T9 5B6,1T3 3B6,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4716,13,KLEMEN BECAN,SLO,3T4 5B8,1T4 3B6,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,5657,14,JOACKYM RAMSAMY,FRA,3T4 4B8,1T6 4B15,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2255,15,TSUKURU HORI,JPN,3T9 5B13,0T 3B10,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4774,16,STEWART WATSON,GBR,4T8 5B6,0T 3B11,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2032,17,SANGWON SON,KOR,4T11 5B14,0T 3B14,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,3576,18,WOUTER JONGENEELEN,NED,2T2 5B11,0T 2B2,
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,4503,19,JULIEN MERAL,FRA,2T2 5B10,0T 2B3,
