Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,60,1,RUSTAM GELMANOV,RUS,4T4 4B4,4T5 4B4,4T5 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1204,2,KILIAN FISCHHUBER,AUT,3T4 5B7,4T4 4B4,3T3 3B3
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4788,3,STANISLAV KLESHNOV,UKR,3T5 4B8,3T5 4B5,2T2 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,53,4,DMITRII SHARAFUTDINOV,RUS,4T5 5B5,4T9 4B8,2T2 3B5
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2822,5,JONAS BAUMANN,GER,3T3 3B3,3T3 4B4,1T1 3B3
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4716,6,KLEMEN BECAN,SLO,2T2 4B4,3T5 4B4,1T2 3B6
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4773,7,LOÏC GAIDIOZ,FRA,2T3 3B4,2T2 3B3,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,47,8,VASILY KOZLOV,RUS,1T1 2B2,2T3 4B6,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2255,9,TSUKURU HORI,JPN,4T5 5B6,2T3 3B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,849,10,GABRIELE MORONI,ITA,3T4 5B10,2T3 3B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4779,11,ANTOINE VANDEPUTTE,FRA,2T4 2B4,2T4 3B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,79,12,ALEKSEY RUBTSOV,RUS,4T5 4B5,2T4 3B5,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,61,13,MIKHAIL CHERNIKOV,RUS,3T4 4B6,2T5 3B7,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4778,14,LUCAS PRETI,ITA,3T3 4B6,2T8 3B6,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4866,15,VICTOR KOZLOV,RUS,3T6 5B10,1T1 3B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4790,16,BENOIT HEINTZ,FRA,2T3 4B5,1T1 2B2,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4867,17,ALEXANDR NIKOLAEV,RUS,1T1 2B2,1T1 2B2,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4870,18,KONSTANTIN SAVELYEV,RUS,1T1 2B2,1T2 3B3,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4933,19,ALEXANDER KALINA,RUS,1T1 4B10,1T2 3B8,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4776,20,MYKHAYLO SHALAGIN,UKR,4T7 4B7,1T2 2B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3174,21,MANUEL ESCOBAR,VEN,2T3 3B5,1T4 3B6,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4471,22,LUDOVIC LAURENCE,FRA,1T1 2B3,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4864,23,IVAN KAUROV,RUS,1T1 2B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4871,24,KIRILL DYAKONOV,RUS,1T1 2B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3576,25,WOUTER JONGENEELEN,NED,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4882,25,ZUFAR NIGMANOV,RUS,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4609,25,FERDINAND SCHULTE,NED,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4150,28,ROLANDS RUGENS,LAT,1T2 3B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4865,29,SERGEI SHAFEROV,BLR,1T2 3B6,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4976,30,PETER WÜRTH,GER,1T2 3B12,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5857,31,JESSE VAN DER WERF,NED,1T3 2B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3358,32,ARTYOM DEVYATERIKOV,KAZ,1T3 2B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4868,33,ANDREI NIKIFARAVETS,BLR,1T3 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5940,34,PAVEL ISAEV,RUS,1T3 1B3,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5970,35,JANIS PRIZAVOITS,LAT,1T4 1B3,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4938,36,STANISLAV POPLAVSKIY,RUS,1T4 1B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,72,37,YURY NOVITSKIY,RUS,1T7 2B8,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4869,38,VLADIMIR MUSICH,RUS,0T 2B2,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5384,39,ARIC MERZ,GER,0T 2B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5334,40,ROK KLANCNIK,SLO,0T 2B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5119,41,RONGWU CAO,CHN,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5941,41,ANDREY KLIZUBOV,RUS,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5942,41,YAROSLAV POPKOV,RUS,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5943,41,ANTON PRYSTOMAU,BLR,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5944,41,DMITRY STEPANOV,RUS,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2932,41,NING ZHANG,CHN,0T 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5271,47,EVGENY BASHKIRTSEV,RUS,0T 1B2,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5175,48,ALEXANDER KHOPKO,RUS,0T 1B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5945,48,YAROSLAV SHAFRANSKYI,UKR,0T 1B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4881,50,DMITRY SARAPAEV,RUS,0T 1B8,,
