Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1364,1,ADAM ONDRA,M,CZE,5T8 5B5,4T4 4B4,2T4 4B5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2255,2,TSUKURU HORI,M,JPN,5T7 5B7,1T1 4B4,1T1 4B4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1204,3,KILIAN FISCHHUBER,M,AUT,5T5 5B5,3T6 4B5,1T2 4B4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",53,4,DMITRII SHARAFUTDINOV,M,RUS,4T5 5B5,2T6 4B9,0T 4B5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",60,5,RUSTAM GELMANOV,M,RUS,4T6 5B6,2T2 4B4,0T 4B6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4776,6,MYKHAYLO SHALAGIN,M,UKR,2T3 4B5,2T3 4B4,0T 3B4
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",79,7,ALEKSEY RUBTSOV,M,RUS,5T8 5B8,1T1 4B5,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4781,8,FRANCOIS KAISER,M,FRA,3T3 5B5,1T1 3B4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4775,8,REMO SOMMER,M,SUI,5T6 5B6,1T1 3B4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1124,10,JERNEJ KRUDER,M,SLO,3T4 5B6,1T2 4B8,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",436,11,GUILLAUME GLAIRON MONDET,M,FRA,4T8 5B7,1T3 4B9,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4716,12,KLEMEN BECAN,M,SLO,4T5 5B6,0T 4B7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3576,13,WOUTER JONGENEELEN,M,NED,4T6 5B7,0T 4B10,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4773,14,LOÏC GAIDIOZ,M,FRA,3T4 5B6,0T 3B3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4726,14,MATTHIAS MÜLLER,M,SUI,2T3 4B5,0T 3B3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",1212,16,LUKAS ENNEMOSER,M,AUT,4T6 5B7,0T 3B4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4585,17,CASPER TEN SIJTHOFF,M,NED,4T4 5B6,0T 3B5,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4864,18,IVAN KAUROV,M,RUS,4T8 4B4,0T 2B2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4802,19,JACOPO LARCHER,M,ITA,4T6 5B6,0T 2B3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4865,20,SERGEI SHAFEROV,M,BLR,4T8 4B5,0T 2B4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4866,21,VICTOR KOZLOV,M,RUS,3T5 4B6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4150,21,ROLANDS RUGENS,M,LAT,2T3 4B7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",855,23,STEFANO GHISOLFI,M,ITA,2T4 4B8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4790,23,BENOIT HEINTZ,M,FRA,3T6 4B6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",9191,23,STÉPHAN JULIEN,M,FRA,3T6 4B6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",66,26,ARMAN TER-MINASYAN,M,RUS,1T1 3B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",61,27,MIKHAIL CHERNIKOV,M,RUS,1T1 3B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4867,27,ALEXANDR NIKOLAEV,M,RUS,3T6 4B7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4868,29,ANDREI NIKIFARAVETS,M,BLR,1T1 2B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",72,29,YURY NOVITSKIY,M,RUS,3T7 5B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4869,31,VLADIMIR MUSICH,M,RUS,3T12 4B11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4581,31,TOMASZ OLEKSY,M,POL,1T2 3B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4777,33,MARKUS HOPPE,M,GER,2T2 5B8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4870,33,KONSTANTIN SAVELYEV,M,RUS,1T2 2B3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4871,35,KIRILL DYAKONOV,M,RUS,2T2 5B10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",47,35,VASILY KOZLOV,M,RUS,1T3 5B7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2724,37,CLAUDIU MIU,M,ROU,0T 3B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",90,37,ARTEM PETRAKOV,M,RUS,0T 3B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2927,37,QINGHUA WANG,M,CHN,2T2 3B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4809,40,MIKHAIL GOGOL,M,RUS,2T3 4B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3358,41,ARTYOM DEVYATERIKOV,M,KAZ,2T4 4B9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3429,41,KEVIN HEMUND,M,SUI,0T 3B7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2926,43,LUYUAN CAI,M,CHN,2T5 3B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4872,43,YEGOR MATVEENKO,M,RUS,0T 2B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2822,45,JONAS BAUMANN,M,GER,2T7 5B10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4873,45,SERGEY IVANOV,M,RUS,0T 2B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2721,47,OLIVER BATIR,M,ROU,1T1 4B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4874,47,DENIS ZHENDINSKIY,M,KAZ,0T 2B9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3174,49,MANUEL ESCOBAR,M,VEN,0T 1B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4823,49,VITALII LAGUTIN,M,UKR,1T1 4B13,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4875,51,EVGENIY CHERNYSHEV,M,RUS,0T 0B,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",3359,51,NIKITA DEVYATERIKOV,M,KAZ,0T 0B,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4876,51,ARTEM GALUSHKO,M,RUS,0T 0B,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4754,51,GYULA JUHASZ,M,HUN,0T 0B,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2034,51,JAHA KIM,M,KOR,1T1 2B3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4877,51,JIACUO SUOLANG,M,CHN,0T 0B,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4878,57,ALEXEY ILIN,M,RUS,1T1 2B4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4879,58,ALEXANDER MASLOV,M,RUS,1T2 4B6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4880,59,ALEXANDER VASILETS,M,BLR,0T 3B5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",4881,60,DMITRY SARAPAEV,M,RUS,0T 1B1,,
