Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1204,1,KILIAN FISCHHUBER,AUT,4T7 4B4,3T4 3B4,4T6 4B6
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1364,2,ADAM ONDRA,CZE,5T6 5B5,2T5 4B11,4T6 4B6
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4463,3,CHRISTIAN CORE,ITA,4T6 4B4,1T1 2B2,1T1 2B4
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3129,4,CÉDRIC LACHAT,SUI,5T6 5B6,1T1 4B20,1T3 4B16
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4716,5,KLEMEN BECAN,SLO,3T4 5B8,1T1 2B2,1T6 3B10
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4773,6,LOÏC GAIDIOZ,FRA,5T9 5B5,1T1 2B2,0T 3B4
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,53,7,DMITRII SHARAFUTDINOV,RUS,3T6 5B8,3T9 3B8,0T 2B7
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1476,8,VALERIY KRYUKOV,UKR,4T6 5B9,1T1 2B3,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2255,9,TSUKURU HORI,JPN,3T5 4B7,1T3 2B3,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4774,10,STEWART WATSON,GBR,3T3 5B5,1T3 2B7,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2822,11,JONAS BAUMANN,GER,4T4 5B5,1T4 3B9,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4726,12,MATTHIAS MÜLLER,SUI,2T3 5B6,1T4 2B3,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4471,13,LUDOVIC LAURENCE,FRA,3T9 4B10,1T4 2B5,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4775,14,REMO SOMMER,SUI,4T8 4B6,1T4 1B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,79,15,ALEKSEY RUBTSOV,RUS,3T5 5B8,0T 3B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4776,16,MYKHAYLO SHALAGIN,UKR,4T5 4B5,0T 2B7,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2249,17,KEITA MOGAKI,JPN,5T7 5B5,0T 2B8,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,60,18,RUSTAM GELMANOV,RUS,5T6 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1212,19,LUKAS ENNEMOSER,AUT,4T7 5B7,0T 1B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4777,19,MARKUS HOPPE,GER,2T3 2B2,0T 1B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4690,21,FABIEN DUGIT,FRA,4T7 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,436,21,GUILLAUME GLAIRON MONDET,FRA,2T4 5B10,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3353,23,STEFAN DANKER,GER,4T8 5B11,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1214,23,JAKOB SCHUBERT,AUT,2T4 5B13,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3429,25,KEVIN HEMUND,SUI,4T8 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1124,25,JERNEJ KRUDER,SLO,2T4 3B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2254,27,SACHI AMMA,JPN,2T4 3B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3579,27,NICKY DE LEEUW,NED,3T3 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3576,27,WOUTER JONGENEELEN,NED,3T3 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,634,30,DAVID BARRANS,GBR,2T5 4B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4778,31,LUCAS PRETI,ITA,2T5 4B9,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4779,31,ANTOINE VANDEPUTTE,FRA,3T4 5B9,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4780,33,MICHELE CAMINATI,ITA,3T5 5B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4781,33,FRANCOIS KAISER,FRA,1T1 5B9,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,441,35,THOMAS CALEYRON,FRA,3T5 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4782,35,OLIVIER LEBRETON,FRA,1T1 4B11,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4783,37,AKITO MATSUSHIMA,JPN,3T5 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4784,37,BAPTISTE NOMINE,FRA,1T1 2B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,855,39,STEFANO GHISOLFI,ITA,1T1 2B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,9191,39,STÉPHAN JULIEN,FRA,3T6 5B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4785,41,PHILIPPE ALLENSPACH,SUI,1T1 1B1,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,849,41,GABRIELE MORONI,ITA,3T6 5B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4786,43,FABIEN COMINA,FRA,1T2 4B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4787,43,MARTIN JAGGI,SUI,2T2 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,61,45,MIKHAIL CHERNIKOV,RUS,1T2 4B14,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4788,45,STANISLAV KLESHNOV,UKR,2T3 5B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4789,45,BRUNO MACIAS MATUTANO,ESP,2T3 5B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,775,48,ERIC LOPEZ MATEOS,ESP,1T2 3B9,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4790,49,BENOIT HEINTZ,FRA,2T3 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4791,49,ZACH LERNER,USA,1T3 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4792,49,EMANUEL MOOSBURGER,AUT,2T3 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3890,52,MATHIAS CONRAD,GER,1T4 4B10,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4793,53,NICCOLO' CERIA,ITA,1T1 4B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4150,53,ROLANDS RUGENS,LAT,1T6 4B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4794,55,LUCA BALTENSPERGER,SUI,1T1 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4795,55,JURE BECAN,SLO,0T 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4796,55,JONATHAN PARTRIDGE,GBR,1T1 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4585,55,CASPER TEN SIJTHOFF,NED,0T 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,854,59,MARCELLO BOMBARDI,ITA,1T1 3B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4797,59,GEIR SÖDERIN,SWE,0T 4B13,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4798,59,BRUNO VACKA,CRO,1T1 3B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4799,62,BASTIEN GERLAND,FRA,0T 3B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4800,63,ATHANASIOS CHTENAS,GRE,0T 3B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4801,63,ONDREJ SVUB,SVK,1T1 3B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4802,65,JACOPO LARCHER,ITA,1T2 5B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4803,65,IGNACIO SANCHEZ GONZÁLEZ,ESP,0T 3B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3779,67,BENJAMIN BLASER,SUI,1T2 2B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4804,67,DIDIER HOARAU,FRA,0T 2B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4609,67,FERDINAND SCHULTE,NED,0T 2B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4805,70,ADAM JEEWOOTH,GBR,1T2 2B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4806,71,MARC EDWARDS,AUS,1T2 2B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4807,71,ONDREJ NEVELIK,CZE,0T 2B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4808,73,JAKUB KOVACIK,SVK,0T 2B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4363,73,VILIMANTAS PETRASIUNAS,LTU,1T3 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2721,75,OLIVER BATIR,ROU,0T 2B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4809,75,MIKHAIL GOGOL,RUS,1T3 3B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,637,77,DAVID MASON,GBR,0T 1B1,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2724,77,CLAUDIU MIU,ROU,1T4 4B12,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4810,77,MATEJ SVUB,SVK,0T 1B1,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4811,80,BOGDAN MICU,ROU,0T 2B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4812,81,THEODOROS KONSTANTAKOPOULOS,GRE,0T 1B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4813,81,ADRIAN MARGEA,ROU,0T 2B4,,
