Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,436,1,GUILLAUME GLAIRON MONDET,M,FRA,4T6 5B7,4T7 4B5,2T2 4B4
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,60,2,RUSTAM GELMANOV,M,RUS,4T6 5B5,3T3 3B3,2T2 3B3
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,53,3,DMITRII SHARAFUTDINOV,M,RUS,5T6 5B6,4T5 4B5,2T5 4B8
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,79,4,ALEKSEY RUBTSOV,M,RUS,5T11 5B10,3T3 3B3,2T5 3B7
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,1204,5,KILIAN FISCHHUBER,M,AUT,5T7 5B6,4T8 4B6,1T1 3B3
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,1212,6,LUKAS ENNEMOSER,M,AUT,4T6 5B7,3T3 3B3,1T1 3B3
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,2255,7,TSUKURU HORI,M,JPN,4T6 4B6,4T6 4B6,0T 1B2
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,441,8,THOMAS CALEYRON,M,FRA,3T5 5B9,3T4 4B5,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,1559,9,SEAN MCCOLL,M,CAN,4T6 5B7,3T4 3B4,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4781,10,FRANCOIS KAISER,M,FRA,3T7 4B4,3T5 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,634,11,DAVID BARRANS,M,GBR,3T11 5B14,3T5 3B4,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4784,11,BAPTISTE NOMINE,M,FRA,4T6 5B10,3T5 3B4,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,1707,13,DANIEL WOODS,M,USA,3T5 4B5,3T6 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4803,14,IGNACIO SANCHEZ GONZÁLEZ,M,ESP,5T7 5B6,2T2 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4774,14,STEWART WATSON,M,GBR,4T5 4B5,2T2 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4773,16,LOÏC GAIDIOZ,M,FRA,4T10 5B11,2T3 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,2822,17,JONAS BAUMANN,M,GER,4T4 5B5,2T6 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3579,18,NICKY DE LEEUW,M,NED,3T10 5B11,2T7 4B7,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3890,19,MATHIAS CONRAD,M,GER,5T13 5B12,1T1 3B3,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6010,20,CARLOS CATARI,M,VEN,2T4 4B5,1T2 3B6,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,1124,21,JERNEJ KRUDER,M,SLO,2T4 4B8,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4775,21,REMO SOMMER,M,SUI,4T7 5B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3353,23,STEFAN DANKER,M,GER,2T5 3B8,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,66,23,ARMAN TER-MINASYAN,M,RUS,4T7 5B9,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4716,25,KLEMEN BECAN,M,SLO,4T7 4B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3429,25,KEVIN HEMUND,M,SUI,2T6 3B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,470,27,JEREMY BONDER,M,FRA,4T13 5B15,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4585,27,CASPER TEN SIJTHOFF,M,NED,1T1 4B7,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,5256,29,EDUARD MARIN GARCIA,M,ESP,1T2 3B7,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,5858,29,IGNASI TARRAZONA GASQUE,M,ESP,3T3 5B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4818,31,EDWARD FEEHALLY,M,GBR,1T3 3B8,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,478,31,PASCAL GAGNEUX,M,FRA,3T4 5B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4795,33,JURE BECAN,M,SLO,3T4 4B4,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,774,33,MARCO ANTONIO JUBES ANGARITA,M,ESP,0T 4B7,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4789,35,BRUNO MACIAS MATUTANO,M,ESP,3T4 4B7,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4976,35,PETER WÜRTH,M,GER,0T 4B9,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4850,37,IAN DORY,M,USA,0T 3B5,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,5649,37,OLIVIER HEQUIN,M,FRA,2T2 4B4,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3576,39,WOUTER JONGENEELEN,M,NED,2T2 4B5,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4905,39,GARETH PARRY,M,GBR,0T 3B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6086,41,CARLOS PRECIADO BRIÓN,M,ESP,0T 3B7,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4844,41,CHRISTOPHER WEBB-PARSONS,M,AUS,2T2 4B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6078,43,RIMU MURAKAMI,M,JPN,0T 3B8,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,95,43,YURY TAKZHANOV,M,RUS,2T3 4B10,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,3779,45,BENJAMIN BLASER,M,SUI,2T4 5B8,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4801,45,ONDREJ SVUB,M,SVK,0T 3B11,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4790,47,BENOIT HEINTZ,M,FRA,1T1 3B5,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4796,47,JONATHAN PARTRIDGE,M,GBR,0T 2B3,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,5728,49,RAFET SERKAN ERCAN,M,TUR,0T 2B6,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,2759,49,TOMAS GREKSAK,M,SVK,1T1 2B2,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,4851,51,DUSTIN CURTIS,M,CAN,0T 1B1,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6087,51,CARLOS EDUARDO GARCÍA VERDUZCO,M,MEX,1T2 1B1,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6083,53,BURAK DULGEROGLU,M,TUR,1T2 1B2,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6003,53,AKIN TASKIRAN,M,TUR,0T 0B,,
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,6088,55,MATTY HONG,M,USA,1T3 2B5,,
