Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,60,1,RUSTAM GELMANOV,M,RUS,4T5 5B5,3T4 4B8,3T4 4B5
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1204,2,KILIAN FISCHHUBER,M,AUT,5T8 5B8,3T5 3B3,3T6 4B7
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3124,3,THOMAS TAUPORN,M,GER,4T8 5B5,3T16 4B18,3T9 4B7
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,53,4,DMITRII SHARAFUTDINOV,M,RUS,5T7 5B5,2T2 4B4,2T2 4B4
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,436,5,GUILLAUME GLAIRON MONDET,M,FRA,3T4 3B3,4T4 4B4,2T4 4B5
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1214,6,JAKOB SCHUBERT,M,AUT,5T8 5B6,2T2 4B4,2T6 3B7
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,79,7,ALEKSEY RUBTSOV,M,RUS,4T8 5B7,3T13 4B13,2T13 4B15
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,441,8,THOMAS CALEYRON,M,FRA,3T6 4B7,2T2 3B3,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4773,9,LOÏC GAIDIOZ,M,FRA,3T6 5B7,2T2 2B2,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3353,10,STEFAN DANKER,M,GER,4T5 5B6,2T3 4B11,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4716,11,KLEMEN BECAN,M,SLO,3T5 4B8,2T3 3B3,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1124,12,JERNEJ KRUDER,M,SLO,3T5 4B6,2T4 4B13,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1212,13,LUKAS ENNEMOSER,M,AUT,4T5 5B6,2T5 4B7,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2255,14,TSUKURU HORI,M,JPN,3T3 4B5,2T5 3B10,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1559,15,SEAN MCCOLL,M,CAN,4T7 5B7,2T6 4B10,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2257,16,REI SUGIMOTO,M,JPN,3T5 4B4,2T6 3B4,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,634,17,DAVID BARRANS,M,GBR,3T5 4B8,2T6 3B7,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4778,18,LUCAS PRETI,M,ITA,3T3 4B6,2T8 4B14,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3577,19,JORG VERHOEVEN,M,NED,4T7 4B6,1T1 3B6,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2254,20,SACHI AMMA,M,JPN,4T7 5B11,1T1 2B3,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3422,21,JAN HOJER,M,GER,2T3 2B2,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4776,21,MYKHAYLO SHALAGIN,M,UKR,3T7 5B9,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3579,23,NICKY DE LEEUW,M,NED,2T3 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3576,23,WOUTER JONGENEELEN,M,NED,2T3 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4774,23,STEWART WATSON,M,GBR,2T3 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4844,23,CHRISTOPHER WEBB-PARSONS,M,AUS,3T9 4B11,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3429,27,KEVIN HEMUND,M,SUI,2T2 5B11,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2822,28,JONAS BAUMANN,M,GER,2T2 4B4,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,6150,29,TOM NEWMAN,M,GBR,2T2 4B12,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,850,29,STEFAN SCARPERI,M,ITA,2T4 4B9,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4781,31,FRANCOIS KAISER,M,FRA,2T3 4B6,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1127,31,URBAN PRIMOZIC,M,SLO,2T4 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,5437,31,ETHAN PRINGLE,M,USA,2T3 4B6,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,1361,34,MARTIN STRANIK,M,CZE,2T5 2B4,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3779,35,BENJAMIN BLASER,M,SUI,2T4 4B9,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,6090,35,ROBERT RUNDIN,M,SWE,2T5 2B5,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4786,37,FABIEN COMINA,M,FRA,2T4 4B10,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,6151,37,SYLVAIN ROCHE,M,FRA,2T6 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4795,39,JURE BECAN,M,SLO,2T6 2B6,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4803,39,IGNACIO SANCHEZ GONZÁLEZ,M,ESP,2T5 5B13,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2482,41,JAMES KASSAY,M,AUS,2T8 3B13,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2280,41,MAKOTO YAMAUCHI,M,JPN,2T5 4B8,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,470,43,JEREMY BONDER,M,FRA,1T1 4B11,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4775,43,REMO SOMMER,M,SUI,1T1 4B5,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4796,45,JONATHAN PARTRIDGE,M,GBR,1T1 2B2,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,5858,45,IGNASI TARRAZONA GASQUE,M,ESP,1T1 2B2,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4976,45,PETER WÜRTH,M,GER,1T1 3B4,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,310,48,RAPHAEL FERNANDEZ,M,BEL,1T2 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,3890,49,MATHIAS CONRAD,M,GER,1T1 2B8,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4463,49,CHRISTIAN CORE,M,ITA,1T3 4B11,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,4824,51,DANIEL ANDERSSON,M,SWE,1T2 3B6,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2726,51,DANIEL UNGUREANU,M,ROU,1T3 2B4,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,6152,53,VICTOR DRAGOI,M,ROU,1T4 2B5,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,6153,53,YOSUKE SENBONGI,M,JPN,1T2 2B3,,
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,311,55,NICOLAS FARCY,M,BEL,1T2 1B1,,
