Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,60,1,RUSTAM GELMANOV,RUS,4T5 5B5,0T 4B5,4T7 4B4
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,53,2,DMITRII SHARAFUTDINOV,RUS,4T4 5B5,1T2 3B4,3T4 4B4
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1204,3,KILIAN FISCHHUBER,AUT,4T7 5B9,0T 4B9,3T5 4B4
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,2257,4,REI SUGIMOTO,JPN,4T5 5B6,1T1 3B8,3T13 4B7
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,441,5,THOMAS CALEYRON,FRA,4T6 4B4,1T2 3B6,2T3 4B5
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,470,6,JEREMY BONDER,FRA,5T9 5B9,1T6 2B8,2T12 2B9
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,3577,7,JORG VERHOEVEN,NED,3T3 3B3,0T 4B11,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1361,8,MARTIN STRANIK,CZE,4T8 5B9,0T 4B14,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,2822,9,JONAS BAUMANN,GER,3T4 4B6,0T 3B5,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1559,9,SEAN MCCOLL,CAN,4T5 5B7,0T 3B5,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,4803,9,IGNACIO SANCHEZ GONZÁLEZ,ESP,3T3 3B3,0T 3B5,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1124,12,JERNEJ KRUDER,SLO,4T8 5B10,0T 3B7,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1212,13,LUKAS ENNEMOSER,AUT,4T5 5B12,0T 3B9,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,436,13,GUILLAUME GLAIRON MONDET,FRA,3T3 3B3,0T 3B9,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,3890,15,MATHIAS CONRAD,GER,4T8 5B9,0T 3B10,
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,1216,16,MARIO LECHNER,AUT,3T4 4B6,0T 2B4,
