Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1204,1,KILIAN FISCHHUBER,M,AUT,5T7 5B7,4T10 4B10,4T7 4B7
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1559,2,SEAN MCCOLL,M,CAN,5T5 5B5,4T7 4B7,4T9 4B9
IFSC Climbing Worldcup (B) - Vail (USA) 2012,3422,3,JAN HOJER,M,GER,4T7 5B5,4T5 4B5,3T3 3B3
IFSC Climbing Worldcup (B) - Vail (USA) 2012,436,4,GUILLAUME GLAIRON MONDET,M,FRA,4T5 5B5,4T6 4B5,3T5 3B3
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1214,5,JAKOB SCHUBERT,M,AUT,5T6 5B6,4T4 4B4,3T10 4B11
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2257,6,REI SUGIMOTO,M,JPN,4T7 4B5,4T5 4B4,2T6 3B8
IFSC Climbing Worldcup (B) - Vail (USA) 2012,3577,7,JORG VERHOEVEN,M,NED,4T6 4B4,3T3 3B3,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4716,8,KLEMEN BECAN,M,SLO,3T4 4B4,3T4 4B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2798,9,ANTHONY GULLSTEN,M,FIN,3T3 5B5,3T5 4B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1707,10,DANIEL WOODS,M,USA,4T5 5B8,3T6 4B16,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,5820,11,MAURICIO HUERTA,M,MEX,4T9 5B7,3T6 3B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2255,12,TSUKURU HORI,M,JPN,4T4 5B6,2T2 4B5,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2482,13,JAMES KASSAY,M,AUS,3T4 4B5,2T5 4B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,631,14,TYLER LANDMAN,M,GBR,5T8 5B7,2T8 3B9,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4844,15,CHRISTOPHER WEBB-PARSONS,M,AUS,4T9 4B7,2T12 3B13,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4773,16,LOÏC GAIDIOZ,M,FRA,4T8 4B4,1T2 4B10,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1709,17,CARLO TRAVERSI,M,USA,4T8 5B6,1T3 4B12,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,6088,18,MATTY HONG,M,USA,4T5 5B6,1T4 4B11,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1722,19,ALEX FRITZ,M,USA,3T4 5B6,1T4 2B6,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1735,20,JOSH LARSON,M,USA,3T5 5B9,0T 3B7,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1212,21,LUKAS ENNEMOSER,M,AUT,3T6 5B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1745,22,MICHAEL O'ROURKE,M,USA,3T6 5B8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4849,23,ALEX JOHNSON,M,USA,3T7 4B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2280,24,MAKOTO YAMAUCHI,M,JPN,3T10 5B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1124,25,JERNEJ KRUDER,M,SLO,2T2 5B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,470,26,JEREMY BONDER,M,FRA,2T2 5B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,6072,26,MATT WILDER,M,USA,2T2 5B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1713,28,JOSH LEVIN,M,USA,2T2 4B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4791,29,ZACH LERNER,M,USA,2T3 5B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,3576,30,WOUTER JONGENEELEN,M,NED,2T3 5B8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,634,31,DAVID BARRANS,M,GBR,2T5 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2822,32,JONAS BAUMANN,M,GER,2T5 4B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,6174,33,MICHAEL BAUTISTA,M,USA,2T6 5B11,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2249,34,KEITA MOGAKI,M,JPN,2T6 4B8,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1564,35,ERIC SETHNA,M,CAN,1T1 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,637,36,DAVID MASON,M,GBR,1T1 2B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,3890,37,MATHIAS CONRAD,M,GER,1T2 5B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,1736,38,AUSTIN GEIMAN,M,USA,1T2 4B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,3579,39,NICKY DE LEEUW,M,NED,1T2 4B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,5437,40,ETHAN PRINGLE,M,USA,1T2 4B6,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,5668,41,JOHN BOWLES,M,CAN,1T2 3B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2033,42,JABEE KIM,M,KOR,1T4 4B11,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,5992,43,GARRETT GREGOR,M,USA,0T 3B3,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,2927,44,QINGHUA WANG,M,CHN,0T 3B4,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,6175,45,DIEGO LOPEZ MONTULL,M,MEX,0T 3B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,4899,46,HANS BUSKER,M,NED,0T 2B5,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,5928,47,DIEGO LUIS GONZÁLEZ,M,MEX,0T 2B7,,
IFSC Climbing Worldcup (B) - Vail (USA) 2012,6176,48,DANIEL GINGRAS,M,CAN,0T 1B5,,
