Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,1204,1,KILIAN FISCHHUBER,AUT,5T11 5B6,4T6 4B5,2T5 4B8
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,60,2,RUSTAM GELMANOV,RUS,4T9 5B6,3T5 4B5,1T1 3B4
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,1559,3,SEAN MCCOLL,CAN,5T7 5B6,4T4 4B4,0T 4B4
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,1214,4,JAKOB SCHUBERT,AUT,5T8 5B6,3T6 4B4,0T 4B15
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,4818,5,EDWARD FEEHALLY,GBR,4T8 4B5,3T8 4B11,0T 2B3
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,4774,6,STEWART WATSON,GBR,3T4 5B10,3T3 4B4,0T 1B1
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,53,7,DMITRII SHARAFUTDINOV,RUS,5T6 5B5,3T8 3B6,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,3579,8,NICKY DE LEEUW,NED,4T6 5B6,3T12 4B6,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,4463,9,CHRISTIAN CORE,ITA,3T4 5B8,3T12 3B9,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,436,10,GUILLAUME GLAIRON MONDET,FRA,5T8 5B6,2T3 4B5,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,2822,11,JONAS BAUMANN,GER,4T5 5B7,2T4 4B5,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,2798,11,ANTHONY GULLSTEN,FIN,4T7 5B11,2T4 4B5,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,2482,13,JAMES KASSAY,AUS,5T6 5B5,2T5 4B5,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,1212,14,LUKAS ENNEMOSER,AUT,5T10 5B7,2T6 3B8,
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,470,15,JEREMY BONDER,FRA,4T4 5B5,1T1 3B3,
