Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1214,1,JAKOB SCHUBERT,M,AUT,5T8 5B5,3T3 4B4,2T7 4B9
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,436,2,GUILLAUME GLAIRON MONDET,M,FRA,5T6 5B5,3T5 4B6,1T2 2B2
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,53,3,DMITRII SHARAFUTDINOV,M,RUS,4T4 4B4,4T4 4B4,1T3 3B3
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3124,4,THOMAS TAUPORN,M,GER,5T10 5B7,4T14 4B12,0T 4B10
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3129,5,CÉDRIC LACHAT,M,SUI,5T6 5B5,3T5 4B5,0T 3B5
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1124,6,JERNEJ KRUDER,M,SLO,5T10 5B5,3T5 4B6,0T 3B9
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1559,7,SEAN MCCOLL,M,CAN,5T11 5B6,3T6 4B5,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,60,8,RUSTAM GELMANOV,M,RUS,5T14 5B12,3T6 4B6,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3422,9,JAN HOJER,M,GER,4T4 5B5,3T6 4B7,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4716,10,KLEMEN BECAN,M,SLO,5T6 5B5,3T8 4B7,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3353,11,STEFAN DANKER,M,GER,5T11 5B10,2T2 4B5,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3577,12,JORG VERHOEVEN,M,NED,4T4 4B4,2T3 2B2,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4977,13,CHRISTIAN FEISTMANTL,M,AUT,5T6 5B6,2T7 4B9,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,441,14,THOMAS CALEYRON,M,FRA,5T12 5B9,1T1 4B7,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1216,15,MARIO LECHNER,M,AUT,5T9 5B7,1T2 2B2,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2798,16,ANTHONY GULLSTEN,M,FIN,4T4 4B4,1T3 3B8,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4795,17,JURE BECAN,M,SLO,5T8 5B6,1T4 2B4,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1127,18,URBAN PRIMOZIC,M,SLO,5T7 5B5,1T4 2B5,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2291,19,TOMOAKI TAKATA,M,JPN,5T7 5B7,0T 3B5,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2480,20,THOMAS FARRELL,M,AUS,4T4 4B4,0T 3B6,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1362,21,JAN CHVALA,M,CZE,5T11 5B5,0T 2B3,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1204,22,KILIAN FISCHHUBER,M,AUT,4T6 5B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2482,23,JAMES KASSAY,M,AUS,4T5 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4775,23,REMO SOMMER,M,SUI,4T7 5B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4818,25,EDWARD FEEHALLY,M,GBR,4T7 5B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4776,25,MYKHAYLO SHALAGIN,M,UKR,4T6 4B4,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3579,27,NICKY DE LEEUW,M,NED,4T8 5B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,5820,27,MAURICIO HUERTA,M,MEX,4T6 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,72,29,YURY NOVITSKIY,M,RUS,4T7 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4796,29,JONATHAN PARTRIDGE,M,GBR,4T12 5B11,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,470,31,JEREMY BONDER,M,FRA,4T8 5B9,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2833,31,ANDRZEJ MECHERZYNSKI-WIKTOR,M,POL,4T13 5B9,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1212,33,LUKAS ENNEMOSER,M,AUT,4T8 5B10,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2255,33,TSUKURU HORI,M,JPN,3T3 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,6052,35,ANTON JOHANSONN,M,FIN,3T4 5B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2260,35,ATSUSHI SHIMIZU,M,JPN,4T9 5B11,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3779,37,BENJAMIN BLASER,M,SUI,4T10 5B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,9331,37,SÉBASTIEN VALRAN,M,FRA,3T5 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,634,39,DAVID BARRANS,M,GBR,3T6 4B6,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,6195,39,JONAS WINTER,M,GER,4T12 5B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3428,41,KEVIN HEINIGER,M,SUI,3T3 5B13,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1361,41,MARTIN STRANIK,M,CZE,3T7 5B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2822,43,JONAS BAUMANN,M,GER,3T4 4B4,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3429,43,KEVIN HEMUND,M,SUI,3T8 4B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,9191,45,STÉPHAN JULIEN,M,FRA,3T5 3B3,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1229,45,ELIAS WEILER,M,AUT,2T3 4B6,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4364,47,KIPRAS BALTRUNAS,M,LTU,2T4 4B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,1221,47,MAX RUDIGIER,M,AUT,2T3 5B6,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4803,47,IGNACIO SANCHEZ GONZÁLEZ,M,ESP,2T4 4B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,311,50,NICOLAS FARCY,M,BEL,2T6 4B10,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4908,51,JAMES GARDEN,M,GBR,2T4 3B4,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,3581,51,ELKO SCHELLINGERHOUT,M,NED,2T6 3B7,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,5984,53,JAN HAIKO,M,AUT,1T1 5B15,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2033,53,JABEE KIM,M,KOR,2T5 5B11,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,850,55,STEFAN SCARPERI,M,ITA,2T8 4B12,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,66,55,ARMAN TER-MINASYAN,M,RUS,1T1 4B5,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,6241,57,OLEG BELIAKOV,M,RUS,1T1 2B2,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2211,57,SIN-FAI HO,M,HKG,1T1 2B2,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,4899,59,HANS BUSKER,M,NED,1T2 4B12,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,775,59,ERIC LOPEZ MATEOS,M,ESP,1T1 2B3,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,6242,61,VIKTOR BELIY,M,UKR,1T4 3B8,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,857,61,MICHAEL PICCOLRUAZ,M,ITA,1T3 4B11,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2837,63,JAKUB JODLOWSKI,M,POL,1T4 3B11,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,5966,63,KEITA SETO,M,JPN,1T3 1B1,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2626,65,SANDEEP MAITY,M,IND,1T5 3B9,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,6116,65,ANDREW ZHIGAREV,M,UKR,0T 2B2,,
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,5872,67,GUNTRAM JÖRG,M,AUT,0T 3B11,,
