Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,1204,1,KILIAN FISCHHUBER,AUT,3T4 4B4,2T5 2B2,3T9 3B5
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,436,2,GUILLAUME GLAIRON MONDET,FRA,2T2 4B4,2T4 4B5,1T1 4B10
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,3577,3,JORG VERHOEVEN,NED,3T3 5B10,3T6 3B4,1T1 3B4
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,1212,4,LUKAS ENNEMOSER,AUT,3T9 5B7,2T6 4B6,1T1 3B7
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,53,5,DMITRII SHARAFUTDINOV,RUS,5T12 5B9,3T4 3B3,1T1 3B13
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,60,6,RUSTAM GELMANOV,RUS,3T3 5B6,2T3 4B4,1T2 2B6
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,2257,7,REI SUGIMOTO,JPN,4T5 5B5,2T7 4B9,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,3129,8,CÉDRIC LACHAT,SUI,4T6 5B7,2T8 4B6,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,1559,9,SEAN MCCOLL,CAN,3T5 5B7,1T1 3B5,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,2255,10,TSUKURU HORI,JPN,4T7 5B8,1T1 3B10,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,2822,11,JONAS BAUMANN,GER,3T4 4B4,1T1 2B2,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,470,12,JEREMY BONDER,FRA,3T6 5B9,1T1 2B4,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,1214,13,JAKOB SCHUBERT,AUT,3T3 5B5,1T2 3B10,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,441,14,THOMAS CALEYRON,FRA,3T4 4B5,1T2 2B2,
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,2289,15,MINORU NAKANO,JPN,2T2 5B6,1T3 2B3,
