Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2257,1,REI SUGIMOTO,M,JPN,3T10 4B11,2T2 2B2,3T11 3B8
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3124,2,THOMAS TAUPORN,M,GER,4T10 4B10,3T5 4B10,2T4 2B4
IFSC Climbing Worldcup (B) - Munich (GER) 2013,60,3,RUSTAM GELMANOV,M,RUS,3T6 4B8,3T10 4B9,2T5 3B6
IFSC Climbing Worldcup (B) - Munich (GER) 2013,53,4,DMITRII SHARAFUTDINOV,M,RUS,4T10 5B9,3T8 4B10,2T8 2B8
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4776,5,MYKHAYLO SHALAGIN,M,UKR,3T15 4B16,3T12 4B10,1T4 2B5
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2254,6,SACHI AMMA,M,JPN,2T3 3B4,2T3 3B6,1T7 1B7
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3422,7,JAN HOJER,M,GER,4T8 5B9,2T7 3B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1559,8,SEAN MCCOLL,M,CAN,4T10 4B10,2T7 3B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,66,9,ARMAN TER-MINASYAN,M,RUS,3T7 4B11,2T8 4B12,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1214,10,JAKOB SCHUBERT,M,AUT,3T6 4B7,2T9 3B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3129,11,CÉDRIC LACHAT,M,SUI,4T20 5B21,1T1 3B3,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4844,12,CHRISTOPHER WEBB-PARSONS,M,AUS,4T15 5B16,1T1 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1124,13,JERNEJ KRUDER,M,SLO,3T6 5B12,1T1 2B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1204,14,KILIAN FISCHHUBER,M,AUT,5T8 5B6,1T2 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,72,15,YURY NOVITSKIY,M,RUS,3T8 4B12,1T3 4B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,857,16,MICHAEL PICCOLRUAZ,M,ITA,3T12 4B13,1T3 2B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2822,17,JONAS BAUMANN,M,GER,4T13 5B16,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,634,18,DAVID BARRANS,M,GBR,3T7 4B8,0T 2B3,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6052,19,ANTON JOHANSONN,M,FIN,3T7 4B9,0T 2B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6276,20,PHILIP RATAJCZAK,M,GER,4T13 5B10,0T 0B,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2272,21,KOKORO FUJII,M,JPN,3T9 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,850,21,STEFAN SCARPERI,M,ITA,2T4 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4150,23,ROLANDS RUGENS,M,LAT,2T6 2B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1472,23,SERGII TOPISHKO,M,UKR,3T10 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2833,25,ANDRZEJ MECHERZYNSKI-WIKTOR,M,POL,3T10 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3577,25,JORG VERHOEVEN,M,NED,2T7 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2846,27,JAKUB GLOWKA,M,POL,3T11 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4934,27,SHINTA OZAWA,M,JPN,2T9 3B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1212,29,LUKAS ENNEMOSER,M,AUT,3T11 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3111,29,DAVID FIRNENBURG,M,GER,1T1 2B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3353,31,STEFAN DANKER,M,GER,3T12 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3579,31,NICKY DE LEEUW,M,NED,1T1 2B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3897,31,TOMAS RAVANAL,M,CHI,1T1 2B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6277,34,FELIX LEUOTH,M,GER,3T13 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,5683,35,MASATOSHI SUGITA,M,JPN,3T22 4B21,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1746,35,VASYA VOROTNIKOV,M,USA,1T4 2B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2255,37,TSUKURU HORI,M,JPN,2T2 3B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6195,37,JONAS WINTER,M,GER,1T5 3B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,489,39,YOHANN DECHAMPS,M,FRA,1T5 1B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,436,39,GUILLAUME GLAIRON MONDET,M,FRA,2T3 3B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6278,41,NIKOLAI BUHL,M,GER,2T7 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6150,41,TOM NEWMAN,M,GBR,1T7 2B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,5820,43,MAURICIO HUERTA,M,MEX,2T7 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,3896,43,FACUNDO LANGBEHN,M,CHI,1T7 1B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4803,45,IGNACIO SANCHEZ GONZÁLEZ,M,ESP,0T 3B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,5518,45,TIMO TAK,M,NED,2T8 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4716,47,KLEMEN BECAN,M,SLO,0T 3B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6279,47,DOMINIK LEINENBACH,M,GER,2T8 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4977,49,CHRISTIAN FEISTMANTL,M,AUT,2T9 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1229,49,ELIAS WEILER,M,AUT,0T 1B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6280,51,JAN DE SMIT,M,BEL,0T 1B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4796,51,JONATHAN PARTRIDGE,M,GBR,0T 1B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4976,51,PETER WÜRTH,M,GER,2T10 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2837,54,JAKUB JODLOWSKI,M,POL,2T12 3B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1479,55,SERGII KARPIN,M,UKR,0T 1B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,69,55,ALEKSEI SHCHERVIANIN,M,RUS,1T3 1B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,2824,55,ALEXANDER WURM,M,GER,0T 1B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4908,58,JAMES GARDEN,M,GBR,1T4 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,4899,59,HANS BUSKER,M,NED,0T 0B,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,5802,59,MIGUEL ANGEL HERNANDEZ MEDINA,M,MEX,0T 0B,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,1571,59,SEBASTIEN LAZURE,M,CAN,1T5 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,5928,62,DIEGO LUIS GONZÁLEZ,M,MEX,1T9 2B15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6116,63,ANDREW ZHIGAREV,M,UKR,0T 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,6090,64,ROBERT RUNDIN,M,SWE,0T 2B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2013,311,65,NICOLAS FARCY,M,BEL,0T 0B,,
