Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3422,1,JAN HOJER,GER,4T4 5B18,3T4 4B9,4T26 4B24
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",53,2,DMITRII SHARAFUTDINOV,RUS,5T8 5B8,4T9 4B5,3T5 3B5
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3577,3,JORG VERHOEVEN,NED,4T5 5B6,2T4 3B7,2T9 2B9
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2482,4,JAMES KASSAY,AUS,4T11 5B11,3T5 3B4,1T1 1B1
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",436,5,GUILLAUME GLAIRON MONDET,FRA,5T6 5B6,3T8 4B7,1T3 2B2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",67,6,VADIM TIMONOV,RUS,4T5 5B7,3T8 3B8,0T 0B
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2052,7,JONGWON CHON,KOR,3T4 5B18,1T2 3B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2255,8,TSUKURU HORI,JPN,3T4 4B5,1T2 2B4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",4150,9,ROLANDS RUGENS,LAT,4T5 5B6,1T3 2B2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2833,10,ANDRZEJ MECHERZYNSKI-WIKTOR,POL,4T11 5B9,1T4 3B4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",470,11,JEREMY BONDER,FRA,3T7 4B7,1T4 3B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2257,12,REI SUGIMOTO,JPN,4T7 5B5,1T4 3B7,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",1124,13,JERNEJ KRUDER,SLO,5T5 5B5,1T5 3B4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2272,14,KOKORO FUJII,JPN,4T4 5B5,1T5 3B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",60,15,RUSTAM GELMANOV,RUS,4T8 5B9,1T5 3B8,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",122,16,VLAS GAVRILOV,RUS,3T21 5B18,1T5 3B8,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2280,17,MAKOTO YAMAUCHI,JPN,4T8 5B7,0T 4B17,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",90,18,ARTEM PETRAKOV,RUS,4T13 5B13,0T 2B4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",1204,19,KILIAN FISCHHUBER,AUT,4T6 5B7,0T 2B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",486,20,ALBAN LEVIER,FRA,4T10 5B9,0T 2B8,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2927,21,QINGHUA WANG,CHN,2T3 4B5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2846,22,JAKUB GLOWKA,POL,2T3 4B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3361,23,RISHAT KHAIBULLIN,KAZ,2T5 5B10,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",850,24,STEFAN SCARPERI,ITA,2T6 5B11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2309,25,YOSHIYUKI OGATA,JPN,2T9 4B13,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2822,26,JONAS BAUMANN,GER,1T1 5B5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2931,27,HAIBIN QU,CHN,1T1 5B12,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2218,28,CHEUNG-CHI SHOJI CHAN,HKG,1T1 4B11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3929,29,WINAI RUANGRIT,THA,1T2 4B12,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",1777,30,JOEL ZERR,USA,1T2 3B9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3644,31,CHUA DENNIS,SGP,1T2 2B2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",6145,32,HONGSHU QIU,CHN,1T2 2B3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3643,33,AARON TAN,SGP,1T3 4B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2938,34,ZIDA MA,CHN,0T 4B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",2211,35,SIN-FAI HO,HKG,0T 4B10,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3645,36,LEE ZONG JUN NICHOLAS,SGP,0T 3B7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3930,36,THATTANA RAKSACHAT,THA,0T 3B7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",3629,38,MUHAMMAD HILMAN HARON,SGP,0T 2B4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",4877,39,JIACUO SUOLANG,CHN,0T 1B3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",6308,40,TERDPOL ARTAUI,THA,0T 0B,,
