Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2052,1,JONGWON CHON,M,KOR,5T6 5B6,3T3 4B4,2T3 2B2
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",60,2,RUSTAM GELMANOV,M,RUS,4T6 5B7,3T7 4B10,2T7 2B6
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",486,3,ALBAN LEVIER,M,FRA,5T6 5B5,2T3 4B6,1T1 2B2
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3422,4,JAN HOJER,M,GER,3T4 5B10,2T3 4B5,1T1 2B3
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1364,5,ADAM ONDRA,M,CZE,5T6 5B6,3T4 4B6,1T1 2B5
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2289,6,MINORU NAKANO,M,JPN,4T5 5B5,3T10 4B8,0T 3B4
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3460,7,GHOLAMALI BARATZADEH,M,IRI,4T5 5B6,2T4 4B6,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2255,8,TSUKURU HORI,M,JPN,4T4 4B4,2T4 3B5,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2272,9,KOKORO FUJII,M,JPN,5T7 5B7,2T5 4B10,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",490,10,MANUEL CORNU,M,FRA,5T9 5B7,2T5 3B5,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1778,11,NATHANIEL COLEMAN,M,USA,4T5 4B5,2T6 4B8,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",53,12,DMITRII SHARAFUTDINOV,M,RUS,5T7 5B5,1T1 4B7,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2482,13,JAMES KASSAY,M,AUS,4T5 5B6,1T1 3B7,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",470,14,JEREMY BONDER,M,FRA,3T5 5B7,1T1 2B2,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2257,15,REI SUGIMOTO,M,JPN,4T5 5B6,1T2 3B4,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2276,16,TOMOA NARASAKI,M,JPN,4T7 4B5,1T2 3B5,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2833,17,ANDRZEJ MECHERZYNSKI-WIKTOR,M,POL,3T5 5B10,1T3 4B7,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",857,18,MICHAEL PICCOLRUAZ,M,ITA,3T3 5B5,1T3 4B9,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2938,19,ZIDA MA,M,CHN,3T6 4B7,1T5 3B13,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2280,20,MAKOTO YAMAUCHI,M,JPN,3T4 5B8,1T7 2B4,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3779,21,BENJAMIN BLASER,M,SUI,4T7 4B5,0T 1B1,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1124,22,JERNEJ KRUDER,M,SLO,2T2 5B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3644,23,CHUA DENNIS,M,SGP,2T2 5B7,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2837,23,JAKUB JODLOWSKI,M,POL,4T8 4B8,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3890,25,MATHIAS CONRAD,M,GER,3T3 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2480,25,THOMAS FARRELL,M,AUS,3T3 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2211,25,SIN-FAI HO,M,HKG,2T2 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2265,28,KEITA WATABE,M,JPN,2T3 5B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2931,29,HAIBIN QU,M,CHN,3T6 4B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3577,29,JORG VERHOEVEN,M,NED,2T3 5B8,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2217,31,CHI-FUNG AU,M,HKG,2T3 3B4,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",850,31,STEFAN SCARPERI,M,ITA,3T6 4B7,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2048,33,SUNGJOON CHAE,M,KOR,2T4 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1571,33,SEBASTIEN LAZURE,M,CAN,3T7 4B9,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1572,35,ANDRE DIFELICE,M,CAN,2T4 4B8,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1564,35,ERIC SETHNA,M,CAN,3T8 3B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2064,37,YOUNGHYUN KIM,M,KOR,2T4 3B7,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",85,37,SERGEI LUZHETSKII,M,RUS,3T8 3B7,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3428,39,KEVIN HEINIGER,M,SUI,2T5 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2216,39,SIU-HEI TANG,M,HKG,3T9 3B7,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2033,41,JABEE KIM,M,KOR,2T6 5B15,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3484,41,REZA KOLASANGIAN,M,IRI,2T2 3B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1603,43,SHAUN HUNTER,M,CAN,1T1 3B11,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1735,43,JOSH LARSON,M,USA,2T3 3B5,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2218,45,CHEUNG-CHI SHOJI CHAN,M,HKG,2T5 2B3,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",1558,45,JASON HOLOWACH,M,CAN,1T2 5B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",3496,47,SEYED REZA CHASHI,M,IRI,2T7 3B9,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",6406,47,TZU-HSIANG CHIN,M,TPE,1T2 1B2,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",6408,49,JEKYOUNG HYUN,M,KOR,1T3 1B1,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",6405,49,YEO MARCUS,M,SGP,2T13 2B12,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2934,51,CHANGFENG QU,M,CHN,1T1 2B4,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2214,51,KA-CHUN YAU,M,HKG,0T 4B6,,
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2062,53,HYUNJAE KIM,M,KOR,0T 0B,,
