Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,486,1,ALBAN LEVIER,M,FRA,4T7 5B13,2T3 3B4,3T6 4B5
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1778,2,NATHANIEL COLEMAN,M,USA,3T4 4B5,2T5 3B5,3T9 4B8
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1364,3,ADAM ONDRA,M,CZE,4T10 5B8,2T3 3B10,2T3 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2272,4,KOKORO FUJII,M,JPN,4T6 4B4,2T3 2B2,2T4 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,490,5,MANUEL CORNU,M,FRA,4T25 4B18,2T5 3B5,1T1 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2052,6,JONGWON CHON,M,KOR,5T10 5B9,2T3 2B2,1T3 2B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,470,7,JEREMY BONDER,M,FRA,4T6 4B6,2T3 3B4,0T 2B4
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2833,8,ANDRZEJ MECHERZYNSKI-WIKTOR,M,POL,3T3 4B4,1T1 4B9,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3890,9,MATHIAS CONRAD,M,GER,3T4 4B5,1T1 4B11,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,436,10,GUILLAUME GLAIRON MONDET,M,FRA,3T4 4B4,1T1 3B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1124,11,JERNEJ KRUDER,M,SLO,4T9 5B11,1T1 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1129,11,DOMEN SKOFIC,M,SLO,4T13 4B12,1T1 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1214,13,JAKOB SCHUBERT,M,AUT,4T5 4B4,1T1 3B9,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,523,14,MICKAEL MAWEM,M,FRA,4T7 5B6,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2309,14,YOSHIYUKI OGATA,M,JPN,4T8 4B6,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,850,14,STEFAN SCARPERI,M,ITA,3T3 4B4,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1559,17,SEAN MCCOLL,M,CAN,4T9 4B8,1T1 2B3,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1255,18,ALFONS DORNAUER,M,AUT,4T10 4B7,1T2 3B5,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2257,19,REI SUGIMOTO,M,JPN,4T6 4B4,1T2 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1558,20,JASON HOLOWACH,M,CAN,4T12 4B8,1T2 2B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3779,21,BENJAMIN BLASER,M,SUI,3T7 3B3,0T 2B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,857,22,MICHAEL PICCOLRUAZ,M,ITA,3T8 5B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,634,23,DAVID BARRANS,M,GBR,3T8 5B11,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3579,23,NICKY DE LEEUW,M,NED,3T10 4B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2482,23,JAMES KASSAY,M,AUS,3T10 4B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1794,26,SHAWN RABOUTOU,M,USA,3T9 4B15,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3422,27,JAN HOJER,M,GER,3T10 3B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1361,27,MARTIN STRANIK,M,CZE,2T2 3B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3855,29,BJØRN ARNEL IISAGER,M,DEN,2T4 3B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,5820,29,MAURICIO HUERTA,M,MEX,3T14 5B17,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1572,31,ANDRE DIFELICE,M,CAN,2T2 3B10,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3577,31,JORG VERHOEVEN,M,NED,2T4 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3428,33,KEVIN HEINIGER,M,SUI,2T4 5B17,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1735,33,JOSH LARSON,M,USA,1T1 4B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3983,35,ALEX KHAZANOV,M,ISR,1T1 3B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2276,35,TOMOA NARASAKI,M,JPN,2T4 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1745,37,MICHAEL O'ROURKE,M,USA,1T1 3B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1564,37,ERIC SETHNA,M,CAN,2T5 4B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6388,39,LOUIS PARKINSON,M,GBR,1T1 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2265,39,KEITA WATABE,M,JPN,2T6 4B10,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2846,41,JAKUB GLOWKA,M,POL,1T1 2B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3138,41,PEDRO FERREIRA NICOLOSO,M,BRA,1T1 2B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6330,41,SAMUEL TIUKUVAARA,M,CAN,1T1 2B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2280,41,MAKOTO YAMAUCHI,M,JPN,2T6 3B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,646,45,NATHAN PHILLIPS,M,GBR,1T1 4B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1736,46,AUSTIN GEIMAN,M,USA,1T3 4B12,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6389,47,DANIEL FISHER,M,AUS,1T1 2B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1571,47,SEBASTIEN LAZURE,M,CAN,1T1 2B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,5371,47,BEN WEST,M,GBR,1T4 3B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1229,50,ELIAS WEILER,M,AUT,1T4 2B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1604,51,JESSE TAPLIN,M,CAN,1T5 3B13,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3123,51,SIMON UNGER,M,GER,1T2 3B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3159,53,SANTIAGO SCHMIDT,M,ARG,1T2 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6390,53,VILLE TIUKUVAARA,M,CAN,0T 3B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1607,55,JULIEN BOURASSA-MOREAU,M,CAN,0T 2B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,4848,55,YVES GRAVELLE,M,CAN,1T2 2B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1060,57,ADAM LUDFORD,M,RSA,0T 2B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6391,57,SEBASTIAN M MONTES,M,ARG,1T3 3B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,654,59,ORRIN COLEY,M,GBR,1T6 3B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1586,59,NATHAN SMITH,M,CAN,0T 2B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1603,61,SHAUN HUNTER,M,CAN,0T 3B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1593,61,LUCAS UCHIDA,M,CAN,0T 1B1,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,4613,63,DAN ARCHAMBAULT,M,CAN,0T 1B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6392,63,ANDREW FUNK,M,CAN,0T 2B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1567,63,AYODELE SOPEJU,M,CAN,0T 2B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6393,66,HECTOR LOPEZ VALDEZ,M,MEX,0T 1B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6394,66,NICOLAS PACHECO,M,ARG,0T 1B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1573,68,MARC EVELEIGH,M,CAN,0T 1B1,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6395,68,DMITRI KARAMAN,M,CAN,0T 1B1,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1606,70,JAKE TIGER,M,CAN,0T 1B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,4840,71,ROBERT D'ANASTASIO,M,USA,0T 0B,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6396,71,BENJAMIN FENTON,M,CAN,0T 0B,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,6461,71,BRYAN MÉRIDA,M,GUA,0T 1B2,,
