Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,486,1,ALBAN LEVIER,FRA,4T7 5B13,2T3 3B4,3T6 4B5
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1778,2,NATHANIEL COLEMAN,USA,3T4 4B5,2T5 3B5,3T9 4B8
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1364,3,ADAM ONDRA,CZE,4T10 5B8,2T3 3B10,2T3 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2272,4,KOKORO FUJII,JPN,4T6 4B4,2T3 2B2,2T4 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,490,5,MANUEL CORNU,FRA,4T25 4B18,2T5 3B5,1T1 3B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2052,6,JONGWON CHON,KOR,5T10 5B9,2T3 2B2,1T3 2B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,470,7,JEREMY BONDER,FRA,4T6 4B6,2T3 3B4,0T 2B4
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2833,8,ANDRZEJ MECHERZYNSKI-WIKTOR,POL,3T3 4B4,1T1 4B9,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3890,9,MATHIAS CONRAD,GER,3T4 4B5,1T1 4B11,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,436,10,GUILLAUME GLAIRON MONDET,FRA,3T4 4B4,1T1 3B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1124,11,JERNEJ KRUDER,SLO,4T9 5B11,1T1 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1129,11,DOMEN SKOFIC,SLO,4T13 4B12,1T1 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1214,13,JAKOB SCHUBERT,AUT,4T5 4B4,1T1 3B9,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,523,14,MICKAEL MAWEM,FRA,4T7 5B6,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2309,14,YOSHIYUKI OGATA,JPN,4T8 4B6,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,850,14,STEFAN SCARPERI,ITA,3T3 4B4,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1559,17,SEAN MCCOLL,CAN,4T9 4B8,1T1 2B3,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1255,18,ALFONS DORNAUER,AUT,4T10 4B7,1T2 3B5,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2257,19,REI SUGIMOTO,JPN,4T6 4B4,1T2 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,1558,20,JASON HOLOWACH,CAN,4T12 4B8,1T2 2B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3779,21,BENJAMIN BLASER,SUI,3T7 3B3,0T 2B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,857,22,MICHAEL PICCOLRUAZ,ITA,3T8 5B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,634,23,DAVID BARRANS,GBR,3T8 5B11,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,3579,23,NICKY DE LEEUW,NED,3T10 4B6,,
