Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,60,1,RUSTAM GELMANOV,RUS,3T6 3B4,3T6 4B7,3T3 4B4
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,857,2,MICHAEL PICCOLRUAZ,ITA,3T7 5B14,2T3 4B6,2T2 4B8
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2272,3,KOKORO FUJII,JPN,4T9 5B8,4T7 4B6,2T4 4B8
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,470,4,JEREMY BONDER,FRA,4T11 5B14,3T6 4B7,2T8 4B12
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,53,5,DMITRII SHARAFUTDINOV,RUS,3T9 4B7,2T2 4B4,1T2 3B8
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,4150,6,ROLANDS RUGENS,LAT,3T6 4B6,2T3 4B6,0T 1B2
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1559,7,SEAN MCCOLL,CAN,3T4 4B5,2T4 4B6,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1124,8,JERNEJ KRUDER,SLO,2T3 4B8,2T4 4B8,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3422,9,JAN HOJER,GER,4T8 4B8,2T4 3B4,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2017,10,ALEXANDER AVERDUNK,GER,2T3 4B12,2T6 4B15,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2309,11,YOSHIYUKI OGATA,JPN,2T2 4B6,2T7 4B8,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,631,12,TYLER LANDMAN,GBR,2T4 3B4,1T2 4B7,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,79,13,ALEKSEY RUBTSOV,RUS,3T7 4B7,1T2 4B9,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2482,14,JAMES KASSAY,AUS,4T11 4B9,1T2 2B3,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2276,15,TOMOA NARASAKI,JPN,4T6 4B4,1T3 4B5,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,4300,16,BAPTISTE OMETZ,SUI,2T4 3B3,1T3 4B9,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2291,17,TOMOAKI TAKATA,JPN,3T11 5B15,0T 4B9,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,486,18,ALBAN LEVIER,FRA,4T7 5B8,0T 3B3,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,490,19,MANUEL CORNU,FRA,2T2 3B5,0T 2B4,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1361,20,MARTIN STRANIK,CZE,3T5 4B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2332,21,KAI HARADA,JPN,2T6 4B9,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2348,21,YUJI INOUE,JPN,3T13 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,646,23,NATHAN PHILLIPS,GBR,2T2 4B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2265,23,KEITA WATABE,JPN,1T1 4B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,523,25,MICKAEL MAWEM,FRA,2T2 4B5,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2307,25,MEICHI NARASAKI,JPN,1T1 4B7,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2257,25,REI SUGIMOTO,JPN,1T1 4B7,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3577,28,JORG VERHOEVEN,NED,2T3 5B10,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2346,29,YUTA KOBATA,JPN,1T1 4B10,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2280,29,MAKOTO YAMAUCHI,JPN,2T7 4B8,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,478,31,PASCAL GAGNEUX,FRA,1T1 3B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2347,31,TOMOKI MUSHA,JPN,1T1 3B3,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1472,31,SERGII TOPISHKO,UKR,1T1 3B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3983,34,ALEX KHAZANOV,ISR,1T2 5B10,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2271,35,NAOKI SHIMATANI,JPN,1T1 2B2,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3123,35,SIMON UNGER,GER,1T2 4B8,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2052,37,JONGWON CHON,KOR,1T2 5B15,,
