Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2052,1,JONGWON CHON,M,KOR,5T10 5B10,2T5 3B6,4T6 4B5
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2276,2,TOMOA NARASAKI,M,JPN,5T7 5B6,2T6 3B5,2T2 3B3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",79,3,ALEKSEY RUBTSOV,M,RUS,5T7 5B6,1T1 3B7,2T2 3B3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2265,4,KEITA WATABE,M,JPN,4T5 5B6,2T7 3B6,2T3 3B3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2332,5,KAI HARADA,M,JPN,5T9 5B5,2T6 3B6,1T1 3B4
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",490,6,MANUEL CORNU,M,FRA,3T5 5B7,2T9 2B8,1T4 3B8
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2255,7,TSUKURU HORI,M,JPN,5T12 5B11,1T2 3B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1214,8,JAKOB SCHUBERT,M,AUT,5T10 5B7,1T2 2B6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2272,9,KOKORO FUJII,M,JPN,5T9 5B7,1T3 3B5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3111,10,DAVID FIRNENBURG,M,GER,4T4 5B6,1T3 2B2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2257,11,REI SUGIMOTO,M,JPN,5T11 5B7,1T5 3B9,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3422,12,JAN HOJER,M,GER,4T6 5B8,1T5 3B10,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",487,13,NICOLAS PELORSON,M,FRA,4T12 5B10,1T6 3B5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",4150,14,ROLANDS RUGENS,M,LAT,4T8 4B4,0T 3B8,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2307,15,MEICHI NARASAKI,M,JPN,5T10 5B7,0T 3B12,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2348,16,YUJI INOUE,M,JPN,4T7 5B7,0T 2B3,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2309,17,YOSHIYUKI OGATA,M,JPN,4T8 5B7,0T 2B5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2331,18,KAITO WATANABE,M,JPN,4T9 4B5,0T 2B10,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",857,19,MICHAEL PICCOLRUAZ,M,ITA,4T7 5B6,0T 1B2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",67,20,VADIM TIMONOV,M,RUS,3T4 5B7,0T 1B5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",60,21,RUSTAM GELMANOV,M,RUS,4T12 5B11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1559,21,SEAN MCCOLL,M,CAN,3T5 5B11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3185,23,MORITZ HANS,M,GER,3T6 5B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",53,23,DMITRII SHARAFUTDINOV,M,RUS,4T12 4B6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1361,25,MARTIN STRANIK,M,CZE,3T7 4B9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1472,25,SERGII TOPISHKO,M,UKR,3T3 5B7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1255,27,ALFONS DORNAUER,M,AUT,3T8 5B14,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",816,27,SERGIO PASTOR MARTÍNEZ,M,ESP,3T4 5B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",523,29,MICKAEL MAWEM,M,FRA,3T4 4B5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",646,29,NATHAN PHILLIPS,M,GBR,3T8 4B10,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",470,31,JEREMY BONDER,M,FRA,3T5 5B6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2048,31,SUNGJOON CHAE,M,KOR,3T8 3B8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",797,33,JONATAN FLOR VAZQUEZ,M,ESP,3T12 5B12,,
