Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2272,1,KOKORO FUJII,M,JPN,5T6 5B6,2T5 4B9,1T1 3B6
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,79,2,ALEKSEY RUBTSOV,M,RUS,5T8 5B8,3T9 4B5,1T2 2B8
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2265,3,KEITA WATABE,M,JPN,5T12 5B6,2T7 4B5,1T3 2B12
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2257,4,REI SUGIMOTO,M,JPN,5T16 5B8,3T7 4B7,1T5 3B7
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1124,5,JERNEJ KRUDER,M,SLO,5T10 5B9,2T4 4B4,0T 2B3
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3111,6,DAVID FIRNENBURG,M,GER,5T14 5B10,2T3 4B9,0T 1B4
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,849,7,GABRIELE MORONI,M,ITA,4T7 5B7,2T7 3B5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,4150,8,ROLANDS RUGENS,M,LAT,4T13 4B13,1T1 4B6,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2309,9,YOSHIYUKI OGATA,M,JPN,4T11 5B13,1T1 4B7,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1472,10,SERGII TOPISHKO,M,UKR,5T15 5B9,1T2 4B9,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,487,11,NICOLAS PELORSON,M,FRA,5T16 5B12,1T3 4B13,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2052,12,JONGWON CHON,M,KOR,4T9 5B11,1T3 3B3,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3422,13,JAN HOJER,M,GER,4T15 4B15,1T4 4B7,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,53,14,DMITRII SHARAFUTDINOV,M,RUS,4T18 4B15,0T 4B10,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3460,15,GHOLAMALI BARATZADEH,M,IRI,4T21 5B17,0T 4B17,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,523,16,MICKAEL MAWEM,M,FRA,4T9 4B8,0T 3B5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,490,17,MANUEL CORNU,M,FRA,5T13 5B11,0T 3B7,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1361,17,MARTIN STRANIK,M,CZE,4T14 4B9,0T 3B7,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2307,19,MEICHI NARASAKI,M,JPN,5T12 5B7,0T 3B10,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3061,20,THILO JELDRIK SCHRÖTER,M,NOR,5T16 5B12,0T 3B13,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2301,21,YUKI HADA,M,JPN,4T7 4B5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2276,21,TOMOA NARASAKI,M,JPN,3T3 4B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,470,23,JEREMY BONDER,M,FRA,4T9 5B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1214,23,JAKOB SCHUBERT,M,AUT,3T4 4B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,505,25,LEO AVEZOU,M,FRA,3T4 3B4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,775,25,ERIC LOPEZ MATEOS,M,ESP,4T9 4B5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2255,27,TSUKURU HORI,M,JPN,3T5 5B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,318,27,SIMON LORENZI,M,BEL,4T11 5B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2332,29,KAI HARADA,M,JPN,4T11 5B11,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1129,29,DOMEN SKOFIC,M,SLO,3T7 4B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1138,31,ANZE PEHARC,M,SLO,4T11 4B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1131,31,GREGOR VEZONIK,M,SLO,3T8 4B9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,797,33,JONATAN FLOR VAZQUEZ,M,ESP,4T16 4B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,646,33,NATHAN PHILLIPS,M,GBR,3T8 3B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1736,35,AUSTIN GEIMAN,M,USA,3T10 4B14,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,645,35,WILLIAM RIDAL,M,GBR,3T5 4B5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1559,37,SEAN MCCOLL,M,CAN,3T5 4B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3123,37,SIMON UNGER,M,GER,3T10 3B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,324,39,ROB DENAYER,M,BEL,3T8 5B13,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1241,39,FLORIAN KLINGLER,M,AUT,3T11 5B12,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2348,41,YUJI INOUE,M,JPN,3T11 5B21,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,857,41,MICHAEL PICCOLRUAZ,M,ITA,3T10 5B15,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,122,43,VLAS GAVRILOV,M,RUS,3T11 4B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1794,43,SHAWN RABOUTOU,M,USA,3T10 5B19,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,854,45,MARCELLO BOMBARDI,M,ITA,3T12 3B11,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1707,45,DANIEL WOODS,M,USA,3T10 3B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3126,47,KIM MARSCHNER,M,GER,3T14 5B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,882,47,RICCARDO PIAZZA,M,ITA,3T15 3B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,926,49,ELIAS IAGNEMMA,M,ITA,3T16 3B11,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,631,49,TYLER LANDMAN,M,GBR,3T14 5B11,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3185,51,MORITZ HANS,M,GER,3T17 4B15,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,4300,51,BAPTISTE OMETZ,M,SUI,2T4 5B19,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,477,53,CLÉMENT LECHAPTOIS,M,FRA,2T5 4B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,875,53,ALESSANDRO PALMA,M,ITA,2T3 3B4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,4364,55,KIPRAS BALTRUNAS,M,LTU,2T5 4B9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3777,55,MAX PRINZ,M,GER,2T3 2B2,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,667,57,MATTHEW COUSINS,M,GBR,2T6 5B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,60,57,RUSTAM GELMANOV,M,RUS,2T7 4B9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2798,59,ANTHONY GULLSTEN,M,FIN,2T6 4B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3428,59,KEVIN HEINIGER,M,SUI,2T8 4B9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1234,61,GEORG PARMA,M,AUT,2T8 3B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3577,61,JORG VERHOEVEN,M,NED,2T7 4B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1135,63,MARTIN BERGANT,M,SLO,2T8 2B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3779,63,BENJAMIN BLASER,M,SUI,2T7 3B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,654,65,ORRIN COLEY,M,GBR,2T9 2B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1735,65,JOSH LARSON,M,USA,2T8 4B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1362,67,JAN CHVALA,M,CZE,2T10 3B3,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3513,67,HAMED HEYDARIDOLABI,M,IRI,2T8 4B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,3983,69,ALEX KHAZANOV,M,ISR,2T11 3B12,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2422,69,NIKOLA PETROV,M,BUL,1T1 5B7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1250,71,MATTHIAS ERBER,M,AUT,1T1 4B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2837,71,JAKUB JODLOWSKI,M,POL,2T11 3B13,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1149,73,ZAN LOVENJAK SUDAR,M,SLO,1T1 3B4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1245,73,JAN-LUCA POSCH,M,AUT,1T2 2B2,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,327,75,ARNAUD ANSION,M,BEL,1T2 2B5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,786,75,JEROME GONZÁLEZ GUTIÉRREZ,M,ESP,1T1 3B5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2667,77,HANNES PUMAN,M,SWE,1T2 4B8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,89,77,SERGEI SKORODUMOV,M,RUS,1T3 2B10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2014,79,CHRISTOPH HANKE,M,GER,1T2 2B6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,1221,79,MAX RUDIGIER,M,AUT,1T3 1B1,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,4308,81,OBED HARDMEIER,M,SUI,1T5 3B13,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,2790,81,MARCO MÜLLER,M,SUI,1T3 5B12,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,336,83,LUKAS FRANCKAERT,M,BEL,1T3 4B14,,
