Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3422,1,JAN HOJER,GER,5T11 5B9,3T7 4B12,4T10 4B6
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2276,2,TOMOA NARASAKI,JPN,4T7 5B7,3T5 4B6,3T6 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2337,3,TAISEI ISHIMATSU,JPN,4T10 5B11,3T4 4B5,3T7 3B4
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2052,4,JONGWON CHON,KOR,5T7 5B7,4T6 4B6,2T3 3B4
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2309,5,YOSHIYUKI OGATA,JPN,5T8 5B8,3T7 3B7,2T4 3B4
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2272,6,KOKORO FUJII,JPN,5T6 5B6,4T14 4B12,2T9 2B6
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2574,7,ALEXANDER MEGOS,GER,2T3 5B9,3T11 3B11,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1138,8,ANZE PEHARC,SLO,4T10 4B9,2T6 3B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1214,9,JAKOB SCHUBERT,AUT,4T9 5B10,2T7 3B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,79,10,ALEKSEY RUBTSOV,RUS,5T11 5B8,2T10 3B10,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,490,11,MANUEL CORNU,FRA,4T11 5B6,1T1 4B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,797,12,JONATAN FLOR VAZQUEZ,ESP,4T12 4B6,1T2 3B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,67,13,VADIM TIMONOV,RUS,3T4 5B15,1T2 3B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3111,14,DAVID FIRNENBURG,GER,4T9 5B14,1T3 4B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1472,15,SERGII TOPISHKO,UKR,4T7 5B8,1T3 2B3,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3890,16,MATHIAS CONRAD,GER,2T3 4B12,0T 3B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3131,17,YANNICK FLOHÉ,GER,4T12 4B6,0T 3B12,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,523,18,MICKAEL MAWEM,FRA,3T5 4B6,0T 2B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,646,18,NATHAN PHILLIPS,GBR,4T8 5B10,0T 2B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2348,20,YUJI INOUE,JPN,4T13 5B14,0T 2B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,85,21,SERGEI LUZHETSKII,RUS,2T4 5B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2307,21,MEICHI NARASAKI,JPN,4T14 5B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,470,23,JEREMY BONDER,FRA,2T5 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2332,23,KAI HARADA,JPN,3T3 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,648,25,WILLIAM BOSI,GBR,2T5 3B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,849,25,GABRIELE MORONI,ITA,3T5 5B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1741,27,SEAN BAILEY,USA,2T7 5B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,857,27,MICHAEL PICCOLRUAZ,ITA,3T5 4B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1124,29,JERNEJ KRUDER,SLO,3T6 5B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3123,29,SIMON UNGER,GER,2T7 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3460,31,GHOLAMALI BARATZADEH,IRI,3T7 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3779,31,BENJAMIN BLASER,SUI,2T7 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,53,33,DMITRII SHARAFUTDINOV,RUS,3T10 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1361,33,MARTIN STRANIK,CZE,2T8 5B20,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,4306,35,NILS FAVRE,SUI,3T11 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3577,35,JORG VERHOEVEN,NED,3T11 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2265,35,KEITA WATABE,JPN,1T1 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1772,38,KAI LIGHTNER,USA,1T1 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,4364,39,KIPRAS BALTRUNAS,LTU,3T16 4B22,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,775,39,ERIC LOPEZ MATEOS,ESP,1T1 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,486,41,ALBAN LEVIER,FRA,1T3 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1131,41,GREGOR VEZONIK,SLO,2T3 5B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3983,43,ALEX KHAZANOV,ISR,2T4 4B18,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,4300,43,BAPTISTE OMETZ,SUI,1T3 3B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,854,45,MARCELLO BOMBARDI,ITA,2T5 5B15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2255,45,TSUKURU HORI,JPN,1T4 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,634,47,DAVID BARRANS,GBR,2T7 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,645,47,WILLIAM RIDAL,GBR,1T4 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,667,49,MATTHEW COUSINS,GBR,1T5 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3185,49,MORITZ HANS,GER,2T7 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,89,51,SERGEI SKORODUMOV,RUS,2T7 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1229,51,ELIAS WEILER,AUT,1T5 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,923,53,MATTEO MANZONI,ITA,2T7 3B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1559,53,SEAN MCCOLL,CAN,1T5 1B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2591,53,CIARÁN SCANLON,IRL,1T5 1B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,324,56,ROB DENAYER,BEL,1T1 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,60,57,RUSTAM GELMANOV,RUS,1T6 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,96,57,EGOR KRYACHKOV,RUS,1T1 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,649,57,JAMES POPE,GBR,1T1 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1255,60,ALFONS DORNAUER,AUT,1T6 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2017,61,ALEXANDER AVERDUNK,GER,1T2 5B17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2014,61,CHRISTOPH HANKE,GER,1T7 3B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1571,63,SEBASTIEN LAZURE,CAN,1T2 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,487,63,NICOLAS PELORSON,FRA,1T7 2B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1250,65,MATTHIAS ERBER,AUT,1T2 4B16,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3127,65,MAX KLEESATTEL,GER,1T8 2B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2667,67,HANNES PUMAN,SWE,0T 4B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2214,67,KA-CHUN YAU,HKG,1T2 3B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3486,69,AMIR NOURI,IRI,0T 4B16,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,314,69,LOÏC TIMMERMANS,BEL,1T3 4B19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,875,71,ALESSANDRO PALMA,ITA,0T 4B17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1593,71,LUCAS UCHIDA,CAN,1T3 3B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3112,73,RUBEN FIRNENBURG,GER,0T 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3998,73,NIMROD MARCUS,ISR,1T3 3B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1221,73,MAX RUDIGIER,AUT,0T 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,926,76,ELIAS IAGNEMMA,ITA,1T3 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3428,77,KEVIN HEINIGER,SUI,0T 3B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1906,77,SIMON HIBBELER,USA,0T 3B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,780,77,POL ROCA LOPEZ,ESP,1T3 2B16,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1357,80,STEPAN STRANIK,CZE,1T4 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,912,81,FILIP SCHENK,ITA,0T 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2179,81,SOMA STROMMER,HUN,0T 3B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3889,81,MARTIN TEKLES,GER,1T5 2B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3126,84,KIM MARSCHNER,GER,1T6 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2218,85,CHEUNG-CHI SHOJI CHAN,HKG,1T10 2B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1245,85,JAN-LUCA POSCH,AUT,0T 3B18,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3855,87,BJØRN ARNEL IISAGER,DEN,0T 4B20,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,816,87,SERGIO PASTOR MARTÍNEZ,ESP,0T 3B19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1770,89,PETER DIXON,USA,0T 4B27,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2046,89,SUNGBO SEO,KOR,0T 3B25,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1234,91,GEORG PARMA,AUT,0T 3B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3989,91,YUVAL SHEMLA,ISR,0T 2B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2217,93,CHI-FUNG AU,HKG,0T 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2859,93,IGOR FOJCIK,POL,0T 2B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,4363,93,VILIMANTAS PETRASIUNAS,LTU,0T 3B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1362,96,JAN CHVALA,CZE,0T 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1721,97,ANDREW LAMB,USA,0T 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3427,97,DIMITRI VOGT,SUI,0T 3B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2508,99,BEN ABEL,AUS,0T 2B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3903,99,BENJAMIN AYALA,CHI,0T 2B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3878,99,LEVIN SCHILLING,GER,0T 3B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2825,102,JONAS BRANDENBURGER,GER,0T 3B15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,793,103,MIKEL ASIER LINACISORO MOLINA,ESP,0T 2B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3147,103,JEAN OURIQUES,BRA,0T 2B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1094,103,ROWAN TOSELLI,RSA,0T 3B16,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3508,106,SADRA TORKAMANBOUTORABI,IRI,0T 3B20,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,320,107,NICOLAS COLLIN,BEL,0T 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3513,107,HAMED HEYDARIDOLABI,IRI,0T 2B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1241,107,FLORIAN KLINGLER,AUT,0T 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3991,107,RAM LEVIN,ISR,0T 2B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,313,111,LUKAS GEUKENS,BEL,0T 2B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2041,111,HANWOOL KIM,KOR,0T 2B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2826,111,MAURO NAROSKA,GER,0T 2B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,776,114,JAVIER CANO BLAZQUEZ,ESP,0T 2B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3853,115,ELIAS EDVARDSEN,DEN,0T 2B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1713,115,JOSH LEVIN,USA,0T 2B19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3138,115,PEDRO FERREIRA NICOLOSO,BRA,0T 2B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1496,118,ROMAN BATSENKO,UKR,0T 1B1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2670,118,FREDRIK SERLACHIUS,SWE,0T 1B1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3467,120,KHOSRO HASHEMZADEH,IRI,0T 2B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3037,121,BORNA CUJIC,CRO,0T 2B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3361,121,RISHAT KHAIBULLIN,KAZ,0T 1B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1627,121,RAHUL SAPRA,CAN,0T 1B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,1777,121,JOEL ZERR,USA,0T 1B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,3854,125,THEIS LINDEGREN ELFENBEIN,DEN,0T 2B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2017,2493,126,CAMPBELL HARRISON,AUS,0T 2B16,,
