Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2272,1,KOKORO FUJII,M,JPN,4T5Z 9 12,2T3Z 7 8,3T3Z 9 8
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1559,2,SEAN MCCOLL,M,CAN,4T4Z 6 5,2T4Z 3 5,2T3Z 2 4
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",79,3,ALEKSEY RUBTSOV,M,RUS,5T5Z 18 7,3T4Z 7 8,2T3Z 5 7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1214,4,JAKOB SCHUBERT,M,AUT,4T4Z 6 6,2T4Z 5 7,2T2Z 2 2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3422,5,JAN HOJER,M,GER,3T4Z 6 6,3T4Z 3 4,1T3Z 1 3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1124,6,JERNEJ KRUDER,M,SLO,4T5Z 7 8,2T3Z 2 3,1T2Z 1 3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",490,7,MANUEL CORNU,M,FRA,4T5Z 18 17,2T2Z 4 2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",486,7,ALBAN LEVIER,M,FRA,2T5Z 3 8,2T2Z 4 2,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2337,9,TAISEI ISHIMATSU,M,JPN,4T4Z 15 15,2T2Z 5 5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2309,10,YOSHIYUKI OGATA,M,JPN,5T5Z 11 11,1T4Z 1 10,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2276,11,TOMOA NARASAKI,M,JPN,5T5Z 12 10,1T3Z 2 6,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2257,12,REI SUGIMOTO,M,JPN,5T5Z 15 12,1T3Z 2 8,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1131,13,GREGOR VEZONIK,M,SLO,4T5Z 7 8,0T3Z 0 4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2266,14,RYUICHI MURAI,M,JPN,3T5Z 5 11,0T3Z 0 5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2348,15,YUJI INOUE,M,JPN,4T4Z 11 10,0T2Z 0 4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1138,16,ANZE PEHARC,M,SLO,3T5Z 7 17,0T2Z 0 5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",646,16,NATHAN PHILLIPS,M,GBR,5T5Z 5 5,0T2Z 0 5,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3131,18,YANNICK FLOHÉ,M,GER,3T3Z 17 16,0T1Z 0 1,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",797,19,JONATAN FLOR VAZQUEZ,M,ESP,4T5Z 8 16,0T1Z 0 4,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",523,20,MICKAEL MAWEM,M,FRA,4T4Z 11 10,0T0Z 0 0,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2332,21,KAI HARADA,M,JPN,2T4Z 2 4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3983,21,ALEX KHAZANOV,M,ISR,3T4Z 7 7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",849,23,GABRIELE MORONI,M,ITA,2T4Z 4 9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2265,23,KEITA WATABE,M,JPN,3T4Z 8 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2291,25,TOMOAKI TAKATA,M,JPN,2T5Z 4 13,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1229,25,ELIAS WEILER,M,AUT,2T4Z 4 11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1255,27,ALFONS DORNAUER,M,AUT,2T4Z 5 12,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1558,27,JASON HOLOWACH,M,CAN,2T4Z 7 10,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3126,29,KIM MARSCHNER,M,GER,2T4Z 5 13,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1472,29,SERGII TOPISHKO,M,UKR,2T3Z 2 4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1741,31,SEAN BAILEY,M,USA,2T3Z 5 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3111,31,DAVID FIRNENBURG,M,GER,2T4Z 6 9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",436,33,GUILLAUME GLAIRON MONDET,M,FRA,2T3Z 9 10,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3185,33,MORITZ HANS,M,GER,2T4Z 9 11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",882,35,RICCARDO PIAZZA,M,ITA,2T4Z 9 14,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3777,35,MAX PRINZ,M,GER,2T3Z 14 13,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2947,37,YUFEI PAN,M,CHN,1T5Z 2 15,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",857,37,MICHAEL PICCOLRUAZ,M,ITA,2T3Z 2 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1245,39,JAN-LUCA POSCH,M,AUT,2T3Z 5 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",685,39,AIDAN ROBERTS,M,GBR,1T4Z 1 14,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",60,41,RUSTAM GELMANOV,M,RUS,1T4Z 2 9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2219,41,CHEUK-HEI HO,M,HKG,2T3Z 15 18,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",634,43,DAVID BARRANS,M,GBR,2T2Z 4 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",89,43,SERGEI SKORODUMOV,M,RUS,1T3Z 1 17,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",667,45,MATTHEW COUSINS,M,GBR,1T5Z 2 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2334,45,KEITA DOHI,M,JPN,1T3Z 2 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",775,47,ERIC LOPEZ MATEOS,M,ESP,1T3Z 2 7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1586,47,NATHAN SMITH,M,CAN,1T4Z 2 9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2954,49,DICHONG HUANG,M,CHN,1T2Z 2 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2273,49,KEIICHIRO KORENAGA,M,JPN,1T4Z 5 8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3672,51,ASHER GAVIN CHIAM KAI CHEN,M,SGP,1T3Z 3 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3061,51,THILO JELDRIK SCHRÖTER,M,NOR,1T2Z 3 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3644,53,CHUA DENNIS,M,SGP,1T2Z 6 9,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2226,53,HEI-YEUNG LAM,M,HKG,1T2Z 2 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",434,55,NICOLAS JANUEL,M,FRA,0T4Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1241,55,FLORIAN KLINGLER,M,AUT,0T4Z 0 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1593,55,LUCAS UCHIDA,M,CAN,1T2Z 3 2,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3651,58,MARK CHAN CHONG KIAT,M,SGP,1T2Z 3 7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3640,59,PAUL EMMANUEL RYAN,M,SGP,1T2Z 4 6,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1234,59,GEORG PARMA,M,AUT,0T4Z 0 7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2218,61,CHEUNG-CHI SHOJI CHAN,M,HKG,0T4Z 0 12,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",4150,61,ROLANDS RUGENS,M,LAT,0T4Z 0 8,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2217,63,CHI-FUNG AU,M,HKG,0T3Z 0 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",631,63,TYLER LANDMAN,M,GBR,0T3Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1250,65,MATTHIAS ERBER,M,AUT,0T3Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",816,65,SERGIO PASTOR MARTÍNEZ,M,ESP,0T3Z 0 13,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2017,67,ALEXANDER AVERDUNK,M,GER,0T3Z 0 11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2535,67,LIAM HEALY,M,AUS,0T2Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",4437,67,WAN TONG LOK,M,MAC,0T3Z 0 11,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3929,67,WINAI RUANGRIT,M,THA,0T2Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2491,71,SAMUEL BOWMAN,M,AUS,0T2Z 0 15,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1571,71,SEBASTIEN LAZURE,M,CAN,0T2Z 0 3,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2507,73,ALISTAIR EARLEY,M,AUS,0T2Z 0 7,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",865,73,LUDOVICO FOSSALI,M,ITA,0T1Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3728,73,GEORGE SANDERS,M,NZL,0T1Z 0 5,,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",803,76,SERGIO VERDASCO URIZAL,M,ESP,0T2Z 0 8,,
