Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2332,1,KAI HARADA,M,JPN,4T5Z 14 14,4T4Z 10 10,4T4Z 7 6
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2052,2,JONGWON CHON,M,KOR,5T5Z 16 12,4T4Z 9 6,3T4Z 9 10
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1131,3,GREGOR VEZONIK,M,SLO,2T5Z 6 13,4T4Z 10 9,3T4Z 9 17
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2265,4,KEITA WATABE,M,JPN,4T4Z 11 10,4T4Z 11 10,2T4Z 6 10
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2272,5,KOKORO FUJII,M,JPN,4T5Z 13 12,4T4Z 7 7,2T2Z 5 4
IFSC Climbing World Championships - Innsbruck (AUT) 2018,646,6,NATHAN PHILLIPS,M,GBR,3T3Z 8 6,4T4Z 12 6,1T2Z 5 6
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2276,7,TOMOA NARASAKI,M,JPN,5T5Z 9 9,3T4Z 3 4,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1124,8,JERNEJ KRUDER,M,SLO,4T5Z 6 8,3T4Z 6 6,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,3422,9,JAN HOJER,M,GER,2T3Z 9 7,3T4Z 7 8,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1214,10,JAKOB SCHUBERT,M,AUT,1T5Z 6 15,3T4Z 8 8,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,523,11,MICKAEL MAWEM,M,FRA,4T5Z 8 9,3T3Z 4 3,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,79,12,ALEKSEY RUBTSOV,M,RUS,3T4Z 9 9,3T3Z 7 5,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,849,13,GABRIELE MORONI,M,ITA,4T5Z 13 14,3T3Z 7 6,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,490,14,MANUEL CORNU,M,FRA,2T4Z 6 9,3T3Z 10 4,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,2309,15,YOSHIYUKI OGATA,M,JPN,3T5Z 7 8,3T3Z 10 6,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1241,16,FLORIAN KLINGLER,M,AUT,3T4Z 10 8,2T4Z 8 11,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1364,17,ADAM ONDRA,M,CZE,4T5Z 10 10,2T2Z 4 4,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,3998,18,NIMROD MARCUS,M,ISR,3T4Z 8 16,1T3Z 2 5,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,1472,19,SERGII TOPISHKO,M,UKR,1T5Z 1 13,1T3Z 4 7,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,645,20,WILLIAM RIDAL,M,GBR,3T4Z 9 10,1T3Z 4 9,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,3460,21,GHOLAMALI BARATZADEH,M,IRI,1T4Z 4 9,,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,4299,21,SASCHA LEHMANN,M,SUI,3T4Z 10 11,,
IFSC Climbing World Championships - Innsbruck (AUT) 2018,797,23,JONATAN FLOR VAZQUEZ,M,ESP,3T4Z 15 10,,
