Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1124,1,JERNEJ KRUDER,SLO,5T5Z 7 7,2T4Z 7 6,4T4Z 8 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1364,2,ADAM ONDRA,CZE,3T5Z 8 12,4T4Z 9 6,3T4Z 5 7
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2309,3,YOSHIYUKI OGATA,JPN,5T5Z 15 11,2T4Z 5 7,3T3Z 6 5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1138,4,ANZE PEHARC,SLO,3T5Z 7 8,2T4Z 5 5,2T3Z 6 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2385,5,REI KAWAMATA,JPN,4T5Z 13 10,2T4Z 3 15,1T3Z 2 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",67,6,VADIM TIMONOV,RUS,4T5Z 11 15,2T4Z 6 6,1T3Z 2 8
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",490,7,MANUEL CORNU,FRA,3T5Z 6 16,2T4Z 13 16,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2348,8,YUJI INOUE,JPN,2T3Z 5 7,2T3Z 6 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2272,9,KOKORO FUJII,JPN,5T5Z 10 9,1T4Z 1 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2052,10,JONGWON CHON,KOR,5T5Z 10 7,1T4Z 1 9,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",79,11,ALEKSEY RUBTSOV,RUS,3T5Z 4 7,1T4Z 2 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3422,12,JAN HOJER,GER,4T5Z 5 7,1T4Z 2 9,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",165,13,NIKOLAI IARILOVETS,RUS,2T4Z 6 16,1T4Z 3 8,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",486,14,ALBAN LEVIER,FRA,4T5Z 7 7,1T4Z 3 9,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2574,15,ALEXANDER MEGOS,GER,3T4Z 5 7,1T4Z 4 5,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2257,16,REI SUGIMOTO,JPN,5T5Z 13 10,0T4Z 0 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2337,17,TAISEI ISHIMATSU,JPN,3T4Z 6 8,0T4Z 0 15,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",523,18,MICKAEL MAWEM,FRA,5T5Z 8 6,0T3Z 0 5,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2291,19,TOMOAKI TAKATA,JPN,4T5Z 12 13,0T3Z 0 9,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3983,20,ALEX KHAZANOV,ISR,5T5Z 10 10,0T3Z 0 15,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2947,21,YUFEI PAN,CHN,3T5Z 9 16,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3582,21,TIM REUSER,NED,1T5Z 4 15,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3131,23,YANNICK FLOHÉ,GER,3T5Z 12 13,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1131,23,GREGOR VEZONIK,SLO,1T5Z 4 16,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4299,25,SASCHA LEHMANN,SUI,3T5Z 16 18,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",646,25,NATHAN PHILLIPS,GBR,1T4Z 1 13,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1926,27,ZACH GALLA,USA,1T4Z 3 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1214,27,JAKOB SCHUBERT,AUT,3T4Z 5 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4364,29,KIPRAS BALTRUNAS,LTU,1T4Z 4 30,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",648,29,WILLIAM BOSI,GBR,3T4Z 6 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1361,29,MARTIN STRANIK,CZE,3T4Z 6 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3460,32,GHOLAMALI BARATZADEH,IRI,1T4Z 5 17,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1255,33,ALFONS DORNAUER,AUT,1T3Z 2 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1559,33,SEAN MCCOLL,CAN,3T4Z 7 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1241,35,FLORIAN KLINGLER,AUT,3T4Z 9 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",318,35,SIMON LORENZI,BEL,3T4Z 9 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",645,35,WILLIAM RIDAL,GBR,1T3Z 3 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1262,38,DOMINIK HAERTL,AUT,1T3Z 5 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",855,39,STEFANO GHISOLFI,ITA,3T3Z 9 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3211,39,CARLOS GRANJA,ECU,1T3Z 6 12,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1773,41,RUDOLPH RUANA,USA,2T4Z 3 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1472,41,SERGII TOPISHKO,UKR,1T2Z 2 3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",857,43,MICHAEL PICCOLRUAZ,ITA,1T2Z 2 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1489,43,FEDIR SAMOILOV,UKR,2T4Z 6 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3779,45,BENJAMIN BLASER,SUI,1T2Z 2 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3061,45,THILO JELDRIK SCHRÖTER,NOR,2T3Z 2 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",336,47,LUKAS FRANCKAERT,BEL,1T5Z 7 25,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",53,47,DMITRII SHARAFUTDINOV,RUS,1T2Z 3 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1801,49,JOE GOODACRE,USA,1T4Z 5 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",85,49,SERGEI LUZHETSKII,RUS,1T1Z 3 3,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1149,51,ZAN LOVENJAK SUDAR,SLO,0T4Z 0 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2670,51,FREDRIK SERLACHIUS,SWE,1T4Z 7 18,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1245,53,JAN-LUCA POSCH,AUT,0T3Z 0 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3268,53,FATCHUR ROJI,INA,1T4Z 8 20,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3989,53,YUVAL SHEMLA,ISR,0T3Z 0 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",89,53,SERGEI SKORODUMOV,RUS,0T3Z 0 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",470,57,JEREMY BONDER,FRA,1T3Z 1 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3998,58,NIMROD MARCUS,ISR,1T3Z 2 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",864,58,FRANCESCO VETTORATA,ITA,1T3Z 2 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2334,60,KEITA DOHI,JPN,0T3Z 0 12,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",320,61,NICOLAS COLLIN,BEL,1T3Z 3 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3428,61,KEVIN HEINIGER,SUI,0T2Z 0 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3126,61,KIM MARSCHNER,GER,0T2Z 0 4,,
