Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1214,1,JAKOB SCHUBERT,AUT,3T4Z 6 4,3T4Z 4 6,3T4Z 7 8
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1364,2,ADAM ONDRA,CZE,4T5Z 10 11,4T4Z 8 8,3T3Z 3 3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3422,3,JAN HOJER,GER,4T5Z 9 8,3T4Z 4 5,2T4Z 4 14
IFSC Climbing Worldcup (B) - Munich (GER) 2019,79,4,ALEKSEY RUBTSOV,RUS,4T4Z 8 7,2T4Z 2 10,2T3Z 5 6
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1138,5,ANZE PEHARC,SLO,4T5Z 6 11,3T4Z 7 14,1T4Z 3 6
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2052,6,JONGWON CHON,KOR,4T4Z 13 12,3T4Z 3 6,1T3Z 5 9
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3582,7,TIM REUSER,NED,3T4Z 7 7,2T4Z 4 8,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1131,8,GREGOR VEZONIK,SLO,4T5Z 15 9,2T4Z 4 10,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,857,9,MICHAEL PICCOLRUAZ,ITA,3T4Z 7 12,2T4Z 6 6,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2574,10,ALEXANDER MEGOS,GER,3T5Z 7 6,2T4Z 11 13,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1124,11,JERNEJ KRUDER,SLO,3T4Z 3 4,1T4Z 1 5,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2947,12,YUFEI PAN,CHN,3T5Z 9 15,1T4Z 3 25,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1256,13,NICOLAI UZNIK,AUT,3T4Z 5 7,1T3Z 1 5,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,646,14,NATHAN PHILLIPS,GBR,3T4Z 4 9,1T3Z 4 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2309,15,YOSHIYUKI OGATA,JPN,4T5Z 12 17,1T2Z 3 3,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,645,16,WILLIAM RIDAL,GBR,2T5Z 4 12,1T2Z 3 5,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2348,17,YUJI INOUE,JPN,4T5Z 15 18,0T3Z 0 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2291,18,TOMOAKI TAKATA,JPN,4T5Z 10 11,0T3Z 0 10,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,486,19,ALBAN LEVIER,FRA,2T5Z 3 9,0T3Z 0 13,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2337,20,TAISEI ISHIMATSU,JPN,3T4Z 10 10,0T3Z 0 16,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3983,21,ALEX KHAZANOV,ISR,3T4Z 13 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1559,21,SEAN MCCOLL,CAN,2T4Z 3 12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3460,23,GHOLAMALI BARATZADEH,IRI,2T4Z 4 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,765,23,PHILIPP MARTIN,GER,3T4Z 14 13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,89,25,SERGEI SKORODUMOV,RUS,2T4Z 5 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2265,25,KEITA WATABE,JPN,3T3Z 5 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1472,27,SERGII TOPISHKO,UKR,3T3Z 7 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1593,27,LUCAS UCHIDA,CAN,2T4Z 6 12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1255,29,ALFONS DORNAUER,AUT,2T4Z 2 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3428,29,KEVIN HEINIGER,SUI,2T3Z 6 12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,523,31,MICKAEL MAWEM,FRA,2T3Z 9 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1170,31,LUKA POTOCAR,SLO,2T4Z 5 19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,811,33,ALBERTO GINÉS LÓPEZ,ESP,2T4Z 9 19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4252,33,CHRISTOPH SCHWEIGER,GER,2T3Z 10 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,648,35,WILLIAM BOSI,GBR,1T4Z 1 12,,
