Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1124,1,JERNEJ KRUDER,M,SLO,2T5Z 2 8,4T4Z 9 7,2T3Z 2 3
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",85,2,SERGEI LUZHETSKII,M,RUS,2T5Z 3 12,3T4Z 12 11,1T4Z 3 8
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",165,3,NIKOLAI IARILOVETS,M,RUS,2T4Z 4 7,2T3Z 7 13,1T3Z 2 7
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3991,4,RAM LEVIN,M,ISR,2T5Z 11 15,2T2Z 3 3,1T3Z 2 7
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",320,5,NICOLAS COLLIN,M,BEL,1T5Z 1 9,2T3Z 7 6,1T3Z 3 8
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",89,6,SERGEI SKORODUMOV,M,RUS,2T5Z 7 14,3T3Z 8 8,0T3Z 0 4
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1138,7,ANZE PEHARC,M,SLO,3T5Z 7 8,2T2Z 4 3,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",79,8,ALEKSEY RUBTSOV,M,RUS,3T5Z 6 8,1T3Z 1 5,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4168,9,EDVARDS GRUZITIS,M,LAT,3T4Z 14 8,1T3Z 5 7,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3983,10,ALEX KHAZANOV,M,ISR,1T5Z 3 16,1T2Z 1 2,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1361,11,MARTIN STRANIK,M,CZE,1T4Z 1 5,1T2Z 1 2,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3989,12,YUVAL SHEMLA,M,ISR,1T4Z 1 7,1T2Z 1 3,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4019,13,GEVA LEVIN,M,ISR,2T4Z 8 12,1T2Z 1 6,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4306,14,NILS FAVRE,M,SUI,2T4Z 14 17,1T2Z 2 2,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",648,15,WILLIAM BOSI,M,GBR,2T5Z 6 7,1T2Z 2 3,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3998,16,NIMROD MARCUS,M,ISR,1T5Z 2 8,1T2Z 3 5,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",67,17,VADIM TIMONOV,M,RUS,3T5Z 8 8,0T2Z 0 2,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",318,18,SIMON LORENZI,M,BEL,2T5Z 7 10,0T2Z 0 2,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2767,19,PETER KURIC,M,SVK,1T5Z 1 11,0T2Z 0 5,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4299,20,SASCHA LEHMANN,M,SUI,1T5Z 1 8,0T1Z 0 3,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4300,21,BAPTISTE OMETZ,M,SUI,1T4Z 2 4,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",231,22,SERGEI TIUPYSHEV,M,RUS,1T4Z 2 10,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4150,23,ROLANDS RUGENS,M,LAT,1T4Z 2 14,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4364,24,KIPRAS BALTRUNAS,M,LTU,1T4Z 3 7,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4028,25,CARMEL RAZ ROMEO,M,ISR,1T4Z 4 10,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3199,26,DYLAN CHUAT,M,SUI,1T4Z 11 15,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2667,27,HANNES PUMAN,M,SWE,0T5Z 0 12,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1489,28,FEDIR SAMOILOV,M,UKR,0T5Z 0 23,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1396,29,STEPAN VOLF,M,CZE,0T4Z 0 10,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",12230,30,EMIL ABRAHAMSSON,M,SWE,0T4Z 0 14,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1513,31,LEONID OSADCHYI,M,UKR,0T4Z 0 15,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2670,32,FREDRIK SERLACHIUS,M,SWE,0T3Z 0 5,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2763,33,TOMAS PLEVKO,M,SVK,0T3Z 0 7,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1418,34,SIMON POTUCEK,M,CZE,0T3Z 0 9,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1449,34,STEPAN POTUCEK,M,CZE,0T3Z 0 9,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1502,36,MYKHAYIL TKACHUK,M,UKR,0T3Z 0 10,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",11018,37,EDUARDAS JERIOMENKO,M,LTU,0T3Z 0 11,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1389,38,JAKUB KONECNY,M,CZE,0T3Z 0 12,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1534,39,BOHDAN BOTNAR,M,UKR,0T3Z 0 16,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1372,40,JAN KRIZ,M,CZE,0T2Z 0 7,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3036,41,NIKOLA KRAMARIC,M,CRO,0T2Z 0 10,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1480,42,DANYIL BOLDYREV,M,UKR,0T0Z 0 0,,
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2845,42,MARCIN DZIENSKI,M,POL,0T0Z 0 0,,
