Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1364,1,ADAM ONDRA,CZE,4T5Z 14 9,3T3Z 7 6,3T3Z 10 7
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2309,2,YOSHIYUKI OGATA,JPN,2T5Z 8 11,2T3Z 6 8,2T4Z 7 9
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2291,3,TOMOAKI TAKATA,JPN,2T5Z 6 12,2T3Z 5 6,1T4Z 4 12
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2272,4,KOKORO FUJII,JPN,4T5Z 5 5,2T2Z 6 2,1T3Z 1 4
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1778,5,NATHANIEL COLEMAN,USA,3T5Z 5 6,2T2Z 4 3,1T3Z 2 5
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,11871,6,SOHTA AMAGASA,JPN,3T5Z 5 17,2T3Z 10 11,0T3Z 0 4
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1124,7,JERNEJ KRUDER,SLO,3T5Z 11 11,2T2Z 7 6,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2574,8,ALEXANDER MEGOS,GER,3T5Z 8 9,2T2Z 8 3,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1131,9,GREGOR VEZONIK,SLO,2T5Z 8 13,2T2Z 10 10,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1129,10,DOMEN SKOFIC,SLO,3T5Z 3 6,1T2Z 1 9,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,490,11,MANUEL CORNU,FRA,3T5Z 14 17,1T2Z 2 5,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,11675,12,MEJDI SCHALCK,FRA,2T5Z 5 18,1T2Z 2 6,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1741,13,SEAN BAILEY,USA,2T5Z 4 13,1T2Z 3 3,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1256,14,NICOLAI UZNIK,AUT,3T5Z 6 6,1T2Z 3 4,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1149,15,ZAN LOVENJAK SUDAR,SLO,3T4Z 7 8,1T1Z 1 1,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1871,16,ROSS FULKERSON,USA,2T5Z 7 13,1T1Z 2 1,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,79,17,ALEKSEY RUBTSOV,RUS,3T5Z 10 7,1T1Z 8 2,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4299,18,SASCHA LEHMANN,SUI,2T5Z 4 14,0T1Z 0 4,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,320,19,NICOLAS COLLIN,BEL,2T5Z 4 13,0T1Z 0 7,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3131,19,YANNICK FLOHÉ,GER,3T4Z 12 7,0T1Z 0 7,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1138,21,ANZE PEHARC,SLO,2T5Z 9 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2257,21,REI SUGIMOTO,JPN,2T5Z 6 16,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3422,23,JAN HOJER,GER,2T4Z 3 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1214,23,JAKOB SCHUBERT,AUT,2T5Z 9 12,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2378,25,YUTA IMAIZUMI,JPN,2T4Z 6 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2265,25,KEITA WATABE,JPN,2T4Z 3 9,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,857,27,MICHAEL PICCOLRUAZ,ITA,2T3Z 5 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1472,27,SERGII TOPISHKO,UKR,2T4Z 5 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3983,29,ALEX KHAZANOV,ISR,2T4Z 5 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,318,29,SIMON LORENZI,BEL,1T5Z 1 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1929,31,COLIN DUFFY,USA,2T4Z 10 13,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4284,31,NINO GRÜNENFELDER,SUI,1T5Z 3 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3586,33,MARK BRAND,NED,2T4Z 11 17,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4300,33,BAPTISTE OMETZ,SUI,1T5Z 3 14,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4283,35,JULIEN CLÉMENCE,SUI,2T2Z 8 8,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,523,35,MICKAEL MAWEM,FRA,1T5Z 3 15,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,547,37,PAUL JENFT,FRA,1T5Z 3 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3998,37,NIMROD MARCUS,ISR,1T4Z 3 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,546,39,PIERRE LE CERF,FRA,1T5Z 3 19,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,85,39,SERGEI LUZHETSKII,RUS,1T4Z 4 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3127,41,MAX KLEESATTEL,GER,1T5Z 5 20,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2202,41,ATTILA ZSOMBOR RADICS,HUN,1T3Z 3 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3199,43,DYLAN CHUAT,SUI,0T5Z 0 9,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,67,43,VADIM TIMONOV,RUS,1T4Z 2 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4168,45,EDVARDS GRUZITIS,LAT,1T4Z 4 14,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1245,45,JAN-LUCA POSCH,AUT,0T5Z 0 16,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1145,47,MATIC KOTAR,SLO,1T4Z 6 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3591,47,DON VAN LAERE,NED,0T4Z 0 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4019,49,GEVA LEVIN,ISR,0T4Z 0 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,912,49,FILIP SCHENK,ITA,1T3Z 3 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2179,49,SOMA STROMMER,HUN,0T4Z 0 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4252,52,CHRISTOPH SCHWEIGER,GER,1T3Z 3 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3779,53,BENJAMIN BLASER,SUI,0T4Z 0 8,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4306,53,NILS FAVRE,SUI,1T3Z 4 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1489,53,FEDIR SAMOILOV,UKR,0T4Z 0 8,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3582,56,TIM REUSER,NED,1T3Z 4 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4150,57,ROLANDS RUGENS,LAT,0T4Z 0 9,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2670,57,FREDRIK SERLACHIUS,SWE,1T3Z 7 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,953,59,DAVIDE MARCO COLOMBO,ITA,0T4Z 0 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4303,59,PHILIPP GEISENHOFF,SUI,0T4Z 0 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,12459,59,AXEL LINDFORS,FIN,1T2Z 3 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2201,62,NIMRÓD SEBESTYÉN TUSNÁDY,HUN,1T2Z 5 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3991,63,RAM LEVIN,ISR,0T4Z 0 14,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,793,63,MIKEL ASIER LINACISORO MOLINA,ESP,0T4Z 0 14,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,356,63,TIES VANCRAEYNEST,BEL,1T2Z 6 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,89,66,SERGEI SKORODUMOV,RUS,0T4Z 0 15,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,12230,67,EMIL ABRAHAMSSON,SWE,0T4Z 0 21,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,165,67,NIKOLAI IARILOVETS,RUS,0T4Z 0 16,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4364,69,KIPRAS BALTRUNAS,LTU,0T3Z 0 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2174,69,TAMÁS FARKAS,HUN,0T4Z 0 18,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1758,69,BENJAMIN HANNA,USA,0T3Z 0 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3989,69,YUVAL SHEMLA,ISR,0T3Z 0 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,811,73,ALBERTO GINÉS LÓPEZ,ESP,0T3Z 0 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,765,74,PHILIPP MARTIN,GER,0T3Z 0 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3511,75,HOSSEIN FAMILROHANI,IRI,0T3Z 0 13,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3428,75,KEVIN HEINIGER,SUI,0T3Z 0 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,865,77,LUDOVICO FOSSALI,ITA,0T2Z 0 3,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3361,77,RISHAT KHAIBULLIN,KAZ,0T3Z 0 8,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2677,79,LOVE YMER ALBER,SWE,0T2Z 0 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,814,79,ALEJANDRO CRESPO COBOS,ESP,0T2Z 0 2,,
