Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2309,1,YOSHIYUKI OGATA,M,JPN,5T5Z 8 6,3T4Z 5 4,2T2Z 7 7
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2276,2,TOMOA NARASAKI,M,JPN,3T5Z 6 7,3T4Z 4 6,1T3Z 2 11
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2272,3,KOKORO FUJII,M,JPN,5T5Z 11 8,4T4Z 8 4,1T1Z 2 2
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1256,4,NICOLAI UZNIK,M,AUT,2T5Z 4 7,3T4Z 8 11,1T1Z 2 2
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",318,5,SIMON LORENZI,M,BEL,2T5Z 6 7,3T3Z 8 5,1T1Z 10 10
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1778,6,NATHANIEL COLEMAN,M,USA,2T5Z 2 10,3T4Z 5 9,0T1Z 0 2
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",79,7,ALEKSEY RUBTSOV,M,RUS,3T5Z 9 7,3T3Z 11 9,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2052,8,JONGWON CHON,M,KOR,5T5Z 17 12,2T4Z 2 5,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",1929,9,COLIN DUFFY,M,USA,2T5Z 5 8,2T4Z 4 5,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",2257,10,REI SUGIMOTO,M,JPN,4T5Z 18 17,2T4Z 5 4,
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",3131,11,YANNICK FLOHÉ,M,GER,3T4Z 8 11,2T4Z 5 6,
