Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1364,1,ADAM ONDRA,M,CZE,5T5Z 14 12,2T3Z 7 8,4T4Z 8 7
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11675,2,MEJDI SCHALCK,M,FRA,4T5Z 7 10,1T3Z 12 18,3T4Z 4 5
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1214,3,JAKOB SCHUBERT,M,AUT,4T4Z 8 7,1T3Z 3 6,3T3Z 4 4
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2272,4,KOKORO FUJII,M,JPN,4T4Z 14 13,3T4Z 16 18,3T3Z 12 7
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1138,5,ANZE PEHARC,M,SLO,4T5Z 11 13,1T3Z 4 7,1T3Z 2 8
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1131,6,GREGOR VEZONIK,M,SLO,4T5Z 16 13,1T3Z 2 5,1T2Z 2 2
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,318,7,SIMON LORENZI,M,BEL,4T4Z 16 16,1T2Z 3 5,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1741,8,SEAN BAILEY,M,USA,4T4Z 12 11,1T2Z 5 7,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2574,9,ALEXANDER MEGOS,M,GER,4T5Z 7 11,1T2Z 9 9,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,523,10,MICKAEL MAWEM,M,FRA,4T5Z 8 9,0T4Z 0 8,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1256,11,NICOLAI UZNIK,M,AUT,4T5Z 10 14,0T3Z 0 8,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,857,12,MICHAEL PICCOLRUAZ,M,ITA,4T4Z 8 7,0T3Z 0 14,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1929,13,COLIN DUFFY,M,USA,4T5Z 11 10,0T3Z 0 15,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11871,14,SOHTA AMAGASA,M,JPN,4T5Z 11 12,0T3Z 0 15,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,79,15,ALEKSEY RUBTSOV,M,RUS,4T4Z 6 5,0T3Z 0 15,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2309,16,YOSHIYUKI OGATA,M,JPN,5T5Z 12 10,0T3Z 0 16,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2257,17,REI SUGIMOTO,M,JPN,4T5Z 7 10,0T2Z 0 5,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,765,18,PHILIPP MARTIN,M,GER,3T5Z 6 15,0T2Z 0 8,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3422,19,JAN HOJER,M,GER,4T4Z 13 10,0T2Z 0 10,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4252,20,CHRISTOPH SCHWEIGER,M,GER,4T4Z 12 10,0T1Z 0 3,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1778,21,NATHANIEL COLEMAN,M,USA,3T5Z 8 8,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2291,22,TOMOAKI TAKATA,M,JPN,3T5Z 12 13,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,667,23,MATTHEW COUSINS,M,GBR,3T4Z 4 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3131,24,YANNICK FLOHÉ,M,GER,3T4Z 7 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,645,25,WILLIAM RIDAL,M,GBR,3T4Z 7 8,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1472,25,SERGII TOPISHKO,M,UKR,3T4Z 7 8,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4299,27,SASCHA LEHMANN,M,SUI,3T4Z 8 9,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,646,28,NATHAN PHILLIPS,M,GBR,3T4Z 8 10,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1124,29,JERNEJ KRUDER,M,SLO,3T4Z 9 6,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3998,30,NIMROD MARCUS,M,ISR,3T4Z 9 8,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1871,31,ROSS FULKERSON,M,USA,3T4Z 16 13,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1925,32,STEFAN FELLNER,M,USA,3T4Z 16 16,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1559,33,SEAN MCCOLL,M,CAN,3T3Z 9 6,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,652,34,ALEX WATERHOUSE,M,GBR,3T3Z 15 12,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,490,35,MANUEL CORNU,M,FRA,2T5Z 8 17,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4306,36,NILS FAVRE,M,SUI,2T4Z 5 11,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11525,37,ELIAS ARRIAGADA KRÜGER,M,GER,2T4Z 12 14,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11886,38,QUINN O'FRANCIA,M,USA,2T4Z 16 20,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,320,39,NICOLAS COLLIN,M,BEL,2T3Z 6 13,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4283,40,JULIEN CLÉMENCE,M,SUI,2T3Z 19 21,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3989,41,YUVAL SHEMLA,M,ISR,2T2Z 6 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,688,42,MAXIMILLIAN MILNE,M,GBR,1T4Z 4 9,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1820,43,PALMER LARSEN,M,USA,1T3Z 1 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11847,44,OSCAR BAUDRAND,M,CAN,1T3Z 3 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3991,45,RAM LEVIN,M,ISR,1T3Z 4 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1934,46,ZANDER WALLER,M,USA,1T3Z 5 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3983,47,ALEX KHAZANOV,M,ISR,1T3Z 5 9,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,912,48,FILIP SCHENK,M,ITA,1T2Z 5 6,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1875,49,CHARLES BARRON,M,USA,0T4Z 0 10,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1758,50,BENJAMIN HANNA,M,USA,0T3Z 0 9,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1058,51,CHRISTOPHER COSSER,M,RSA,0T2Z 0 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,865,52,LUDOVICO FOSSALI,M,ITA,0T2Z 0 10,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3854,53,THEIS LINDEGREN ELFENBEIN,M,DEN,0T1Z 0 1,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11518,54,FREDERIK VIBERG CHRISTIANSEN,M,DEN,0T1Z 0 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4028,55,CARMEL RAZ ROMEO,M,ISR,0T1Z 0 8,,
