Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2309,1,YOSHIYUKI OGATA,JPN,4T4Z 6 4,4T4Z 8 8,4T4Z 5 5
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1138,2,ANZE PEHARC,SLO,4T5Z 6 6,4T4Z 9 7,4T4Z 5 5
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2272,3,KOKORO FUJII,JPN,4T5Z 4 5,4T4Z 7 7,4T4Z 9 8
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2052,4,JONGWON CHON,KOR,5T5Z 10 5,3T4Z 7 8,3T4Z 4 5
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2385,5,REI KAWAMATA,JPN,5T5Z 9 5,4T4Z 10 9,3T3Z 7 6
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1871,6,ROSS FULKERSON,USA,4T5Z 4 6,4T4Z 9 9,2T2Z 4 3
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3131,7,YANNICK FLOHÉ,GER,5T5Z 9 5,3T4Z 8 9,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1214,7,JAKOB SCHUBERT,AUT,4T5Z 7 5,3T4Z 8 9,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",547,9,PAUL JENFT,FRA,3T4Z 3 7,3T4Z 9 10,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2101,10,DOHYUN LEE,KOR,5T5Z 9 7,3T4Z 10 11,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1926,11,ZACH GALLA,USA,3T5Z 8 8,3T3Z 3 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",688,12,MAXIMILLIAN MILNE,GBR,5T5Z 10 9,3T3Z 4 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1929,13,COLIN DUFFY,USA,4T5Z 7 6,2T4Z 12 14,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",646,14,NATHAN PHILLIPS,GBR,3T5Z 3 7,2T3Z 2 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",696,15,HAMISH MCARTHUR,GBR,5T5Z 11 9,2T3Z 3 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1741,16,SEAN BAILEY,USA,5T5Z 9 6,2T3Z 4 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1131,17,GREGOR VEZONIK,SLO,4T5Z 8 5,2T3Z 7 8,
