Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,11490,1,TOBY ROBERTS,M,GBR,4T5Z 16 14,3T4Z 6 19,3T4Z 10 7
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,2101,2,DOHYUN LEE,M,KOR,4T5Z 6 6,3T4Z 12 7,2T4Z 3 4
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,2309,3,YOSHIYUKI OGATA,M,JPN,4T5Z 5 6,2T4Z 7 8,2T4Z 5 6
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,2307,4,MEICHI NARASAKI,M,JPN,5T5Z 10 6,2T4Z 6 10,2T4Z 5 11
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,13040,5,SORATO ANRAKU,M,JPN,5T5Z 7 6,3T4Z 7 7,2T2Z 5 2
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,2276,6,TOMOA NARASAKI,M,JPN,4T5Z 5 8,3T4Z 8 6,1T2Z 1 2
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,1929,7,COLIN DUFFY,M,USA,4T4Z 17 11,2T4Z 7 10,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,3131,8,YANNICK FLOHÉ,M,GER,4T5Z 19 19,2T4Z 8 10,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,811,9,ALBERTO GINÉS LÓPEZ,M,ESP,4T5Z 16 14,1T4Z 2 10,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,696,10,HAMISH MCARTHUR,M,GBR,4T5Z 10 10,1T3Z 1 3,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,688,11,MAXIMILLIAN MILNE,M,GBR,4T5Z 8 9,1T3Z 3 6,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,1245,12,JAN-LUCA POSCH,M,AUT,4T5Z 11 11,1T3Z 6 13,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,574,13,LEO FAVOT,M,FRA,4T5Z 16 13,0T3Z 0 8,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,13987,13,RITSU KAYOTANI,M,JPN,4T5Z 13 9,0T3Z 0 8,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,3998,15,NIMROD MARCUS,M,ISR,4T5Z 6 8,0T3Z 0 9,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,2052,16,JONGWON CHON,M,KOR,5T5Z 9 7,0T3Z 0 13,
IFSC - Climbing World Cup (B) - Brixen (ITA) 2023,11502,17,JACK MACDOUGALL,M,GBR,4T5Z 9 10,0T2Z 0 4,
