Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,4756,1,OLGA SHALAGINA,UKR,5T5 6B9,4T6 4B4,4T6 4B6
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5280,2,JULIETTE DANION,FRA,6T6 6B6,4T4 4B4,4T11 4B11
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,309,3,CHLOÉ GRAFTIAUX,BEL,5T5 6B6,4T4 4B4,2T2 3B3
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,1360,4,SILVIE RAJFOVA,CZE,5T5 6B6,4T5 4B5,2T2 3B3
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,1119,5,NATALIJA GROS,SLO,5T5 5B5,4T4 4B4,2T12 4B14
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,1205,6,SABINE BACHER,AUT,5T5 5B5,4T6 4B5,0T 3B10
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,848,7,JENNY LAVARDA,ITA,5T6 6B7,4T11 4B6,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,4759,8,SAMANTHA BERRY,AUS,5T5 6B6,3T3 4B5,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5040,9,EMILIE ABGRALL,FRA,5T5 6B9,3T3 4B5,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,1202,10,BARBARA BACHER,AUT,5T5 5B5,3T3 3B3,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2664,11,ANGELICA LIND,SWE,5T5 6B10,3T5 4B6,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,43,12,YULIA ABRAMCHUK,RUS,5T5 5B5,3T8 4B11,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5281,13,CELINE COMBAZ,FRA,6T11 6B11,2T2 3B5,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,4757,14,MAUD ANSADE,FRA,5T5 6B9,2T3 4B5,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5608,15,LUDIVINE HARMAND,FRA,5T5 5B5,2T6 4B9,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5426,16,ANJA HODANN,SWE,5T6 6B7,1T1 3B7,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,439,17,ANNE-LAURE CHEVRIER,FRA,5T5 6B8,1T1 3B8,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5283,18,ROBERTA LONGO,ITA,5T5 5B5,0T 3B3,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5750,19,SONJA SCHADE,GER,5T5 5B5,0T 1B2,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5751,20,MARIYA SOSNOVSKYKH,UKR,5T5 5B5,0T 0B,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5403,21,NELLY KUDROVA,CZE,5T6 5B6,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5197,22,STELLA MARCHISIO,ITA,5T7 5B6,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5752,23,MARIE DUVAL,FRA,5T7 5B7,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2823,23,JULIANE WURM,GER,5T7 5B7,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2834,25,EDYTA ROPEK,POL,4T4 5B5,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,4738,26,SARA MORANDI,ITA,4T4 4B4,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5669,27,IRENE BARIANI,ITA,4T5 5B5,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5630,28,AUDREY SEGUY,GBR,4T5 4B4,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,3578,28,VERA ZIJLSTRA,NED,4T5 4B4,,
IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,5753,30,ALEKSANDRA KODZIK,POL,3T5 4B5,,
