Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1209,1,KATHARINA SAURWEIN,F,AUT,5T5 5B5,4T4 4B4,4T4 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1119,2,NATALIJA GROS,F,SLO,5T7 5B7,4T4 4B4,4T4 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1120,2,KATJA VIDMAR,F,SLO,5T7 5B7,4T4 4B4,4T4 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,58,4,YANA CHERESHNEVA,F,RUS,5T6 5B6,4T4 4B4,3T3 4B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,43,5,YULIA ABRAMCHUK,F,RUS,5T5 5B5,4T5 4B4,3T3 4B7
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2253,6,AKIYO NOGUCHI,F,JPN,5T5 5B5,4T4 4B4,3T4 3B4
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1211,7,ANNA STÖHR,F,AUT,5T6 5B6,4T5 4B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1205,8,SABINE BACHER,F,AUT,5T8 5B7,4T5 4B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,309,9,CHLOÉ GRAFTIAUX,F,BEL,5T7 5B6,4T6 4B5,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4761,10,ANNA GALLYAMOVA,F,RUS,4T4 4B4,4T6 4B6,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,2664,11,ANGELICA LIND,F,SWE,5T7 5B6,4T7 4B5,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4735,12,KSENIIA ALEKSEEVA,F,RUS,5T7 5B7,4T8 4B5,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1202,13,BARBARA BACHER,F,AUT,4T7 4B5,4T11 4B9,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,41,14,OLGA BIBIK,F,RUS,4T5 4B5,3T3 4B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5493,15,OLGA BEZHKO,F,UKR,4T5 5B7,3T3 3B3,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4758,16,ALEXANDRA BALAKIREVA,F,RUS,5T5 5B5,3T4 4B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,454,17,MELISSA LE NEVE,F,FRA,4T5 5B5,3T4 4B4,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5733,18,MARIA AGAFONOVA,F,RUS,4T8 5B10,3T5 4B8,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4961,19,ALISA GEL'FER,F,UKR,4T5 4B5,2T4 3B5,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3578,20,VERA ZIJLSTRA,F,NED,4T8 4B7,1T1 3B11,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,50,21,TATIANA SHEMULINKINA,F,RUS,3T3 5B11,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,1360,22,SILVIE RAJFOVA,F,CZE,3T6 5B13,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5931,23,YULIA TROEPOLSKAYA,F,RUS,3T7 4B14,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4857,24,OLGA MOROZKINA,F,RUS,2T2 4B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,40,25,NATALIA TITOVA,F,RUS,2T2 3B4,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5932,26,MARTA SAVKINA,F,RUS,2T2 2B2,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,3178,27,LUCELIA BLANCO,F,VEN,2T6 4B12,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4982,28,CHUNHUA LI,F,CHN,1T1 2B3,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,71,29,GALINA TERENTEVA,F,RUS,1T1 2B5,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5933,30,NATALIA KOROLEVA,F,RUS,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5934,30,ANNA AGAPONOVA,F,RUS,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5935,30,ALENA ANDREEVA,F,RUS,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5936,30,ANASTASIYA MYROLYUBOVA,F,UKR,1T1 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5937,34,ELENA DMITRYEVA,F,RUS,1T2 2B3,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,5782,35,ALIYA ISKAKOVA,F,KAZ,1T2 1B1,,
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,4858,36,LARYSA MALYZHENKAVA,F,BLR,1T3 1B1,,
