Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2010,2253,1,AKIYO NOGUCHI,F,JPN,3T3 5B5,4T12 4B12,1T1 4B8
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1211,2,ANNA STÖHR,F,AUT,4T4 5B5,4T8 4B7,1T2 4B7
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4761,3,ANNA GALLYAMOVA,F,RUS,3T6 4B6,3T11 3B9,0T 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1119,4,NATALIJA GROS,F,SLO,3T3 4B4,3T5 3B4,0T 3B9
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1122,5,MINA MARKOVIC,F,SLO,3T5 4B10,3T10 3B10,0T 3B10
IFSC Climbing Worldcup (B) - Munich (GER) 2010,43,6,YULIA ABRAMCHUK,F,RUS,2T6 4B8,3T5 4B6,0T 2B2
IFSC Climbing Worldcup (B) - Munich (GER) 2010,2823,7,JULIANE WURM,F,GER,2T2 4B9,2T3 3B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,848,8,JENNY LAVARDA,F,ITA,2T9 3B11,2T7 2B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1209,9,KATHARINA SAURWEIN,F,AUT,2T4 2B4,1T1 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,853,10,ALEXANDRA LADURNER,F,ITA,2T2 4B5,1T1 2B3,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,3246,11,PETRA KLINGLER,F,SUI,2T6 3B8,1T2 3B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,439,12,ANNE-LAURE CHEVRIER,F,FRA,2T3 3B3,1T3 2B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,309,13,CHLOÉ GRAFTIAUX,F,BEL,3T4 5B6,1T4 4B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4755,14,ALEX JOHNSON,F,USA,3T10 4B9,0T 4B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,443,15,MÉLANIE SANDOZ,F,FRA,3T10 4B9,0T 3B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4758,16,ALEXANDRA BALAKIREVA,F,RUS,1T1 5B10,0T 1B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,427,17,CECILE AVEZOU,F,FRA,2T3 4B6,0T 1B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,460,18,CLEMENTINE KAISER,F,FRA,2T3 3B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1360,19,SILVIE RAJFOVA,F,CZE,2T5 3B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4923,20,AGATA MODRZEJEWSKA,F,POL,2T7 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,3059,21,HANNAH MIDTBOE,F,NOR,1T1 3B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,1205,22,SABINE BACHER,F,AUT,1T1 3B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4973,23,SARAH SCHÜTZENBERGER,F,GER,1T1 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4454,24,INA DZHAMBAZOVA,F,BUL,1T1 2B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4728,25,KATRIN BRADY,F,GER,1T2 3B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4757,26,MAUD ANSADE,F,FRA,1T3 3B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,638,27,MINA LESLIE-WUJASTYK,F,GBR,1T3 3B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,3887,28,TABEA SCHWAB,F,SUI,1T3 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,3578,29,VERA ZIJLSTRA,F,NED,1T5 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4760,30,MANON CHAPET,F,FRA,1T5 3B14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4763,31,DIANE MERRICK,F,GBR,0T 2B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,2256,32,SAARI WATANABE,F,JPN,0T 2B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,2013,33,MONIKA RETSCHY,F,GER,0T 2B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4762,34,MAGALI HAYEN,F,BEL,0T 1B1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4903,35,KATY PIDDOCK,F,GBR,0T 1B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2010,4974,36,ELENA BRUNNER,F,AUT,0T 1B8,,
