Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1211,1,ANNA STÖHR,F,AUT,5T8 5B7,3T4 4B4,2T2 3B3
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,2823,2,JULIANE WURM,F,GER,5T5 5B5,4T9 4B9,2T5 3B8
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,454,3,MELISSA LE NEVE,F,FRA,5T5 5B5,3T6 3B5,2T6 3B7
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,2253,4,AKIYO NOGUCHI,F,JPN,5T7 5B7,3T4 4B4,2T9 3B10
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1119,5,NATALIJA GROS,F,SLO,5T10 5B7,2T2 4B5,1T1 2B3
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,848,6,JENNY LAVARDA,F,ITA,4T5 4B4,3T6 4B5,0T 2B2
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,439,7,ANNE-LAURE CHEVRIER,F,FRA,3T3 5B6,2T3 4B4,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,2035,8,JAIN KIM,F,KOR,5T8 5B8,2T3 4B5,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4755,9,ALEX JOHNSON,F,USA,5T5 5B5,2T5 4B7,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4758,10,ALEXANDRA BALAKIREVA,F,RUS,5T9 5B9,2T5 4B7,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1209,11,KATHARINA SAURWEIN,F,AUT,4T4 5B5,1T1 3B4,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4757,12,MAUD ANSADE,F,FRA,4T5 5B6,1T1 3B4,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,41,13,OLGA BIBIK,F,RUS,4T4 4B4,1T2 4B6,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,309,14,CHLOÉ GRAFTIAUX,F,BEL,5T6 5B6,1T2 4B7,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4763,15,DIANE MERRICK,F,GBR,4T8 5B10,1T2 4B13,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,3578,16,VERA ZIJLSTRA,F,NED,4T8 5B9,1T3 3B6,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1202,17,BARBARA BACHER,F,AUT,5T10 5B8,0T 3B4,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4891,18,RACHEL NILWIK,F,NED,4T4 4B4,0T 3B4,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,3059,19,HANNAH MIDTBOE,F,NOR,4T5 5B6,0T 3B5,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,460,20,CLEMENTINE KAISER,F,FRA,4T5 5B6,0T 3B6,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1122,21,MINA MARKOVIC,F,SLO,3T3 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,3247,21,REBEKKA STOTZ,F,SUI,3T3 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,427,23,CECILE AVEZOU,F,FRA,3T4 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,43,24,YULIA ABRAMCHUK,F,RUS,3T5 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,443,25,MÉLANIE SANDOZ,F,FRA,3T6 5B6,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4762,26,MAGALI HAYEN,F,BEL,3T6 5B9,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,3887,26,TABEA SCHWAB,F,SUI,3T6 5B9,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4760,28,MANON CHAPET,F,FRA,3T6 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4892,29,MARIANNE VERHAGE,F,NED,2T2 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,1205,30,SABINE BACHER,F,AUT,2T2 4B5,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4769,31,MORGANE AVELINE,F,FRA,2T3 3B3,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,638,32,MINA LESLIE-WUJASTYK,F,GBR,2T4 5B7,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,3580,33,NIKKI VAN BERGEN,F,NED,2T4 4B7,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4767,34,ZOË MAIRE,F,SUI,1T1 4B7,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4454,35,INA DZHAMBAZOVA,F,BUL,1T1 3B3,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,471,35,CAMILLE FAILLE,F,FRA,1T1 3B3,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4766,37,CHANNAH BRANDSEMA,F,NED,1T2 4B5,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4893,38,ROELIEN VAN DE VRIE,F,NED,1T3 4B4,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4817,39,RADKA PETKOVA,F,BUL,0T 3B3,,
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,4894,40,MARIANNE VAN DER STEEN,F,NED,0T 2B2,,
