Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4755,1,ALEX JOHNSON,USA,4T4 5B5,3T4 4B6,1T1 4B6
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2253,2,AKIYO NOGUCHI,JPN,5T5 5B5,3T5 4B8,1T1 4B7
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,309,3,CHLOÉ GRAFTIAUX,BEL,5T5 5B5,4T5 4B4,1T2 4B5
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,427,4,CECILE AVEZOU,FRA,5T5 5B5,3T3 4B6,1T4 3B11
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1209,5,KATHARINA SAURWEIN,AUT,5T7 5B7,3T3 4B7,0T 3B4
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1122,6,MINA MARKOVIC,SLO,5T6 5B5,4T10 4B8,0T 2B4
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4756,7,OLGA SHALAGINA,UKR,5T5 5B5,3T5 3B3,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1119,8,NATALIJA GROS,SLO,5T7 5B7,3T6 3B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1211,9,ANNA STÖHR,AUT,5T5 5B5,2T2 4B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4757,10,MAUD ANSADE,FRA,5T7 5B6,2T3 3B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,43,11,YULIA ABRAMCHUK,RUS,4T5 5B9,2T4 4B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1219,12,JOHANNA ERNST,AUT,4T6 5B6,1T1 4B5,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2823,13,JULIANE WURM,GER,5T6 5B6,1T1 3B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,454,14,MELISSA LE NEVE,FRA,5T5 5B5,1T1 3B8,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,41,15,OLGA BIBIK,RUS,4T4 5B5,1T2 3B3,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4758,16,ALEXANDRA BALAKIREVA,RUS,5T6 5B6,1T3 3B5,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4759,17,SAMANTHA BERRY,AUS,4T4 5B5,1T4 3B6,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,442,18,ALIZÉE DUFRAISSE,FRA,4T5 5B6,1T5 2B5,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,439,19,ANNE-LAURE CHEVRIER,FRA,4T4 5B5,0T 3B4,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1205,20,SABINE BACHER,AUT,4T5 5B6,0T 3B7,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,460,21,CLEMENTINE KAISER,FRA,5T8 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,848,21,JENNY LAVARDA,ITA,4T7 5B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4760,23,MANON CHAPET,FRA,4T8 5B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4535,23,ALEXANDRA EYER,SUI,5T9 5B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4761,25,ANNA GALLYAMOVA,RUS,4T9 5B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,638,25,MINA LESLIE-WUJASTYK,GBR,4T5 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1202,27,BARBARA BACHER,AUT,4T7 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4762,27,MAGALI HAYEN,BEL,4T7 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4763,27,DIANE MERRICK,GBR,3T3 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3247,27,REBEKKA STOTZ,SUI,3T3 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3246,31,PETRA KLINGLER,SUI,3T3 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4764,31,MANUELA SIGRIST,SUI,3T3 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3130,33,KATHERINE CHOONG,SUI,3T4 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4699,33,EMILIE VERDIER,FRA,3T4 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3059,35,HANNAH MIDTBOE,NOR,3T4 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3887,35,TABEA SCHWAB,SUI,3T4 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,443,37,MÉLANIE SANDOZ,FRA,3T5 5B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1210,37,CHRISTINE SCHRANZ,AUT,3T4 4B10,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4765,39,MALIN HOLMBERG,SWE,3T5 4B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1120,39,KATJA VIDMAR,SLO,3T6 4B5,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4766,41,CHANNAH BRANDSEMA,NED,3T5 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,1360,41,SILVIE RAJFOVA,CZE,2T2 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,853,43,ALEXANDRA LADURNER,ITA,3T6 5B8,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4767,43,ZOË MAIRE,SUI,2T2 4B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4768,45,MARINE DELPIERRE,FRA,2T2 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3578,45,VERA ZIJLSTRA,NED,3T6 4B6,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4769,47,MORGANE AVELINE,FRA,2T2 3B4,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4770,47,CLAUDIA BATTAGLIA,ITA,3T7 4B7,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4771,49,EGLE KIRDULYTE,LTU,2T2 3B3,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,3202,49,NADJA PFISTER,SUI,2T2 2B2,,
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,4772,51,ELENA CHIAPPA,ITA,1T1 3B3,,
