Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2035,1,JAIN KIM,F,KOR,2T2 4B4,3T7 3B5,3T5 3B4
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1211,2,ANNA STÖHR,F,AUT,3T4 5B6,4T6 4B6,2T4 4B7
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",454,3,MELISSA LE NEVE,F,FRA,2T3 4B4,2T3 3B5,2T4 4B9
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2253,4,AKIYO NOGUCHI,F,JPN,5T8 5B7,3T3 4B15,2T6 3B8
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1122,5,MINA MARKOVIC,F,SLO,3T7 4B8,3T7 3B5,1T1 3B3
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1710,6,ALEX PUCCIO,F,USA,4T7 5B7,3T10 4B11,1T6 4B9
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",442,7,ALIZÉE DUFRAISSE,F,FRA,2T3 4B7,2T5 4B9,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4755,8,ALEX JOHNSON,F,USA,2T2 4B4,1T1 4B6,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",443,9,MÉLANIE SANDOZ,F,FRA,3T5 3B4,1T1 3B5,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3246,10,PETRA KLINGLER,F,SUI,1T1 5B11,1T1 3B8,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",446,11,MARINE THÉVENET,F,FRA,1T1 4B6,1T1 2B5,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",439,12,ANNE-LAURE CHEVRIER,F,FRA,3T7 4B7,1T2 4B15,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3578,13,VERA ZIJLSTRA,F,NED,2T3 5B7,1T3 2B2,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",427,14,CECILE AVEZOU,F,FRA,2T6 4B9,1T3 2B4,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2823,15,JULIANE WURM,F,GER,3T7 4B10,1T4 3B12,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1209,16,KATHARINA SAURWEIN,F,AUT,2T8 5B13,1T6 4B11,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",49,17,EVGENIIA MALAMID,F,RUS,1T1 4B5,0T 3B5,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1222,18,KATHARINA POSCH,F,AUT,1T1 5B10,0T 2B3,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4769,19,MORGANE AVELINE,F,FRA,2T4 3B7,0T 2B5,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4772,20,ELENA CHIAPPA,F,ITA,2T8 3B11,0T 2B6,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3247,21,REBEKKA STOTZ,F,SUI,1T1 4B8,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",1205,22,SABINE BACHER,F,AUT,1T1 3B6,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2258,23,ASAKI HAGIWARA,F,JPN,1T1 2B2,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3357,23,TAMARA ULZHABAYEVA,F,KAZ,1T1 2B2,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4761,25,ANNA GALLYAMOVA,F,RUS,1T2 4B10,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3887,26,TABEA SCHWAB,F,SUI,1T2 3B4,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4535,27,ALEXANDRA EYER,F,SUI,1T2 3B5,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",73,28,ANNA TSYGANOVA,F,RUS,1T2 3B8,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4925,29,JESSICA FAURE,F,FRA,1T3 2B3,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",848,30,JENNY LAVARDA,F,ITA,1T4 2B3,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2047,31,SOL SA,F,KOR,0T 4B5,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",41,32,OLGA BIBIK,F,RUS,0T 4B10,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",58,33,YANA CHERESHNEVA,F,RUS,0T 3B4,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",5040,34,EMILIE ABGRALL,F,FRA,0T 3B6,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",3198,35,ANOUK PIOLA,F,SUI,0T 2B4,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4699,35,EMILIE VERDIER,F,FRA,0T 2B4,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4768,37,MARINE DELPIERRE,F,FRA,0T 2B5,,
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",4763,37,DIANE MERRICK,F,GBR,0T 2B5,,
