Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1122,1,MINA MARKOVIC,SLO,5T5 5B5,1T7 3B8,3T7 3B7
IFSC Climbing Worldcup (B) - Munich (GER) 2011,2823,2,JULIANE WURM,GER,5T7 5B5,0T 4B7,2T4 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1211,3,ANNA STÖHR,AUT,5T5 5B5,2T7 4B6,1T1 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2011,636,4,SHAUNA COXSEY,GBR,5T6 5B5,1T1 3B4,1T1 3B10
IFSC Climbing Worldcup (B) - Munich (GER) 2011,58,5,YANA CHERESHNEVA,RUS,5T5 5B5,0T 3B17,1T1 3B13
IFSC Climbing Worldcup (B) - Munich (GER) 2011,2253,6,AKIYO NOGUCHI,JPN,5T5 5B5,1T2 3B4,1T2 2B3
IFSC Climbing Worldcup (B) - Munich (GER) 2011,443,7,MÉLANIE SANDOZ,FRA,5T5 5B5,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,442,8,ALIZÉE DUFRAISSE,FRA,5T6 5B5,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1710,8,ALEX PUCCIO,USA,5T6 5B5,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4761,10,ANNA GALLYAMOVA,RUS,5T8 5B5,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1205,11,SABINE BACHER,AUT,5T8 5B6,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4769,12,MORGANE AVELINE,FRA,4T5 5B6,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,3578,13,VERA ZIJLSTRA,NED,5T11 5B6,0T 2B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1375,14,PETRA RUZICKOVA,CZE,3T3 5B5,0T 2B14,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1712,15,SASHA DIGIULIAN,USA,5T5 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,3108,16,JULIA WINTER,GER,5T6 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,3925,17,PUNTARIKA TUNYAVANICH,THA,4T4 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4923,18,AGATA MODRZEJEWSKA,POL,4T6 5B6,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,471,19,CAMILLE FAILLE,FRA,4T7 5B5,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,427,20,CECILE AVEZOU,FRA,4T8 5B8,0T 1B1,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4973,21,SARAH SCHÜTZENBERGER,GER,3T3 5B5,0T 1B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4762,22,MAGALI HAYEN,BEL,3T4 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,6048,22,KAROLINA NEVELIKOVA,CZE,3T4 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1568,24,ELISE SETHNA,CAN,3T4 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,2013,25,MONIKA RETSCHY,GER,3T5 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,6075,26,GILL PEET,GBR,3T6 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,4763,27,DIANE MERRICK,GBR,3T6 5B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,6114,28,ISABELL LEINER,GER,3T7 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,456,29,MATHILDE BECERRA,FRA,3T7 4B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,6049,30,MATEJA HOHKRAUT,SLO,2T2 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,3354,30,AFRA HÖNIG,GER,2T2 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,6057,32,COURTNEY SANDERS,USA,2T3 4B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,3928,33,PRATTHANA RAKSACHAT,THA,2T4 5B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,2850,34,KATARZYNA EKWINSKA,POL,2T5 5B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,460,35,CLEMENTINE KAISER,FRA,1T1 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2011,1726,36,AUDREY SNIEZEK,USA,1T1 4B5,,
