Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2253,1,AKIYO NOGUCHI,F,JPN,4T7 5B8,4T7 4B7,4T4 4B4
IFSC Climbing Worldcup (B) - Munich (GER) 2012,1211,2,ANNA STÖHR,F,AUT,4T11 5B7,4T19 4B19,4T5 4B5
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2823,3,JULIANE WURM,F,GER,3T4 5B6,4T10 4B6,4T6 4B5
IFSC Climbing Worldcup (B) - Munich (GER) 2012,454,4,MELISSA LE NEVE,F,FRA,5T8 5B7,3T3 3B3,4T10 4B6
IFSC Climbing Worldcup (B) - Munich (GER) 2012,4761,5,ANNA GALLYAMOVA,F,RUS,5T6 5B5,3T4 4B8,4T11 4B9
IFSC Climbing Worldcup (B) - Munich (GER) 2012,443,6,MÉLANIE SANDOZ,F,FRA,5T12 5B12,4T8 4B8,0T 4B9
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2263,7,MOMOKA ODA,F,JPN,5T7 5B5,3T4 3B3,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,1122,8,MINA MARKOVIC,F,SLO,5T9 5B8,3T4 3B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,1209,9,KATHARINA SAURWEIN,F,AUT,4T9 5B7,3T6 4B23,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,1710,10,ALEX PUCCIO,F,USA,4T5 5B6,3T9 4B8,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2035,11,JAIN KIM,F,KOR,5T5 5B5,2T2 4B10,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,50,12,TATIANA SHEMULINKINA,F,RUS,3T5 5B6,2T6 3B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2013,13,MONIKA RETSCHY,F,GER,3T3 5B9,2T6 3B20,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,43,14,YULIA ABRAMCHUK,F,RUS,4T12 5B12,2T6 2B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,638,15,MINA LESLIE-WUJASTYK,F,GBR,5T9 5B8,2T7 4B11,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,3246,16,PETRA KLINGLER,F,SUI,3T6 5B16,2T18 3B10,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,44,17,OLGA IAKOVLEVA,F,RUS,4T14 5B15,2T18 3B17,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,427,18,CECILE AVEZOU,F,FRA,3T4 5B8,1T1 2B17,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,5670,19,KATY WHITTAKER,F,GBR,3T3 4B4,0T 3B19,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,6193,20,DOROTHEA KARALUS,F,GER,3T5 4B8,0T 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,1205,21,SABINE BACHER,F,AUT,3T8 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,2139,22,HUNG YING LEE,F,TPE,2T2 3B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2012,3887,23,TABEA SCHWAB,F,SUI,2T2 2B2,,
