Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,636,1,SHAUNA COXSEY,F,GBR,5T8 5B8,2T2 3B3,4T7 4B7
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,454,2,MELISSA LE NEVE,F,FRA,4T4 5B6,2T3 4B7,2T2 4B5
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2294,3,MIHO NONAKA,F,JPN,4T5 4B4,1T2 4B4,2T3 4B6
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3246,4,PETRA KLINGLER,F,SUI,4T6 5B7,2T4 4B7,2T3 3B4
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,469,5,FANNY GIBERT,F,FRA,3T8 4B8,2T3 4B7,1T1 2B4
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,316,6,CHLOE CAULIER,F,BEL,3T6 4B7,1T1 3B5,1T3 3B8
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,635,7,MICHAELA TRACY,F,GBR,4T8 5B9,1T2 4B11,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2013,8,MONIKA RETSCHY,F,GER,5T11 5B8,1T2 3B4,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2268,9,AYA ONOE,F,JPN,3T6 4B7,1T2 3B8,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1211,10,ANNA STÖHR,F,AUT,4T5 4B5,1T3 2B2,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1223,11,BERIT SCHWAIGER,F,AUT,3T4 4B6,1T4 1B1,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,460,12,CLEMENTINE KAISER,F,FRA,3T7 4B7,0T 4B8,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1565,13,ALANNAH YIP,F,CAN,3T4 4B4,0T 3B4,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,632,14,LEAH CRANE,F,GBR,4T9 5B8,0T 3B5,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1209,15,KATHARINA SAURWEIN,F,AUT,3T5 5B7,0T 3B9,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2310,16,TOMOKO KAJIMA,F,JPN,4T16 5B14,0T 3B12,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2278,17,MEI KOTAKE,F,JPN,4T8 5B10,0T 2B3,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2047,18,SOL SA,F,KOR,5T12 5B10,0T 1B1,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1225,18,KAROLINE SINNHUBER,F,AUT,3T5 4B5,0T 1B1,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2253,20,AKIYO NOGUCHI,F,JPN,4T6 5B7,0T 1B3,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1714,21,SIERRA BLAIR-COYLE,F,USA,3T6 5B9,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,442,21,ALIZÉE DUFRAISSE,F,FRA,3T9 4B11,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2287,23,AIKA TAJIMA,F,JPN,2T3 4B15,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2256,23,SAARI WATANABE,F,JPN,3T10 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2344,25,HINAKO FURUKAWA,F,JPN,2T8 3B9,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2258,25,ASAKI HAGIWARA,F,JPN,3T10 3B9,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2297,27,MISATO NISHIKORI,F,JPN,2T11 5B17,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2349,27,SERIKA OKAWACHI,F,JPN,3T10 3B10,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2139,29,HUNG YING LEE,F,TPE,2T11 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2340,29,SAEKO SUGIMURA,F,JPN,2T3 2B2,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2850,31,KATARZYNA EKWINSKA,F,POL,2T8 4B6,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,3578,31,VERA ZIJLSTRA,F,NED,1T1 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2327,33,MAO NAKAMURA,F,JPN,1T1 2B2,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2324,33,KOKORO TAKATA,F,JPN,1T4 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2343,35,NANAKO KURA,F,JPN,1T2 3B11,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2267,35,RISA OTA,F,JPN,1T6 4B12,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,4293,37,NATALIE BÄRTSCHI,F,SUI,1T5 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2281,37,MIWA OBA,F,JPN,1T7 4B16,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2326,39,MOMOKA KANEKO,F,JPN,1T5 3B3,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2251,39,YUKA KOBAYASHI,F,JPN,0T 5B18,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2486,41,EMMA HORAN,F,AUS,0T 4B7,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2339,41,AYARI SAKAMOTO,F,JPN,0T 4B13,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2935,43,RONG JIANG,F,CHN,0T 3B7,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2342,43,CHISATO KANAZAWA,F,JPN,0T 2B9,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1568,43,ELISE SETHNA,F,CAN,0T 3B7,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1562,46,CELESTE WALL,F,CAN,0T 1B2,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2494,47,CLAIRE KASSAY,F,AUS,0T 1B4,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,481,47,MARGAUX PUCHEUX,F,FRA,0T 1B5,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2049,49,JIHYEON JEONG,F,KOR,0T 0B,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2341,49,SATOMI TACHIBANA,F,JPN,0T 0B,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2765,49,MÁRIA ČELKOVÁ,F,SVK,0T 1B10,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2221,52,PUI-YIM LAU,F,HKG,0T 0B,,
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,1817,52,JULIANA PRICE,F,USA,0T 0B,,
