Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",636,1,SHAUNA COXSEY,GBR,4T4 4B4,3T3 4B4,3T7 4B8
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2253,2,AKIYO NOGUCHI,JPN,4T5 4B4,2T3 4B5,3T12 4B13
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2294,3,MIHO NONAKA,JPN,4T5 4B5,2T3 4B8,1T3 2B4
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2278,4,MEI KOTAKE,JPN,2T6 2B2,2T4 2B2,1T6 2B6
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1225,5,KAROLINE SINNHUBER,AUT,1T1 4B11,2T4 4B7,0T 2B5
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2013,6,MONIKA RETSCHY,GER,3T6 4B8,2T4 3B3,0T 2B6
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",454,7,MELISSA LE NEVE,FRA,5T13 5B12,1T1 4B5,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",316,8,CHLOE CAULIER,BEL,2T2 2B2,1T1 3B3,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",469,9,FANNY GIBERT,FRA,3T7 3B3,1T1 3B7,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",635,10,MICHAELA TRACY,GBR,3T5 3B3,1T2 4B4,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",460,11,CLEMENTINE KAISER,FRA,2T4 3B4,1T2 3B4,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1714,12,SIERRA BLAIR-COYLE,USA,2T9 3B3,1T2 2B2,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3246,13,PETRA KLINGLER,SUI,4T12 4B9,1T3 4B7,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2268,14,AYA ONOE,JPN,3T3 3B3,1T3 4B12,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1223,15,BERIT SCHWAIGER,AUT,3T6 3B4,1T4 4B7,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2047,16,SOL SA,KOR,3T5 4B7,1T5 3B7,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",632,17,LEAH CRANE,GBR,3T4 4B4,0T 4B4,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1209,18,KATHARINA SAURWEIN,AUT,2T3 3B9,0T 4B9,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2251,19,YUKA KOBAYASHI,JPN,2T4 2B2,0T 4B12,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2139,20,HUNG YING LEE,TPE,2T8 4B7,0T 3B5,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1565,21,ALANNAH YIP,CAN,1T1 3B3,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",442,22,ALIZÉE DUFRAISSE,FRA,1T1 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2287,23,AIKA TAJIMA,JPN,1T2 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2339,24,AYARI SAKAMOTO,JPN,1T2 3B5,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2850,25,KATARZYNA EKWINSKA,POL,1T5 4B12,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",4293,26,NATALIE BÄRTSCHI,SUI,0T 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",481,26,MARGAUX PUCHEUX,FRA,0T 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3465,26,ELNAZ REKABI,IRI,0T 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2765,26,MÁRIA ČELKOVÁ,SVK,0T 3B4,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2957,30,YUZHEN BAIMA,CHN,0T 3B6,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2494,31,CLAIRE KASSAY,AUS,0T 3B11,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2486,32,EMMA HORAN,AUS,0T 3B13,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2936,33,LAMU RENQING,CHN,0T 2B2,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3578,33,VERA ZIJLSTRA,NED,0T 2B2,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2281,35,MIWA OBA,JPN,0T 2B3,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2935,36,RONG JIANG,CHN,0T 1B2,,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2055,36,MINSEON KIM,KOR,0T 1B2,,
