Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2294,1,MIHO NONAKA,F,JPN,5T5 5B5,4T4 4B4,3T7 4B8
IFSC Climbing Worldcup (B) - Munich (GER) 2016,636,2,SHAUNA COXSEY,F,GBR,5T5 5B5,4T5 4B4,2T2 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2253,3,AKIYO NOGUCHI,F,JPN,5T6 5B6,4T6 4B6,2T2 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2016,454,4,MELISSA LE NEVE,F,FRA,5T5 5B5,4T5 4B4,2T3 3B4
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3840,5,STASA GEJO,F,SRB,4T4 5B9,4T6 4B4,1T2 3B3
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1137,6,JULIJA KRUDER,F,SLO,4T4 5B11,3T5 4B7,0T 3B10
IFSC Climbing Worldcup (B) - Munich (GER) 2016,469,7,FANNY GIBERT,F,FRA,4T4 4B4,2T2 4B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,632,8,LEAH CRANE,F,GBR,5T6 5B5,2T3 4B6,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,443,9,MÉLANIE SANDOZ,F,FRA,4T4 4B4,2T3 4B7,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2339,10,AYARI SAKAMOTO,F,JPN,5T6 5B5,2T4 4B8,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1240,11,FRANZISKA STERRER,F,AUT,4T5 4B4,2T4 3B8,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1209,12,KATHARINA SAURWEIN,F,AUT,4T6 5B7,2T6 3B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,460,13,CLEMENTINE KAISER,F,FRA,5T5 5B5,1T1 3B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,4293,14,NATALIE BÄRTSCHI,F,SUI,5T7 5B5,1T2 2B2,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,316,15,CHLOE CAULIER,F,BEL,4T5 5B7,1T3 4B9,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,99,16,EVGENIYA LAPSHINA,F,RUS,5T5 5B5,1T3 3B4,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2795,17,LILLI KIESGEN,F,GER,4T5 4B5,0T 4B10,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2278,18,MEI KOTAKE,F,JPN,5T7 5B5,0T 3B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1148,18,TJASA SLEMENSEK,F,SLO,5T6 5B5,0T 3B5,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,910,20,GIULIA MEDICI,F,ITA,5T6 5B5,0T 3B12,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,643,21,TARA HAYES,F,GBR,4T6 4B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3246,21,PETRA KLINGLER,F,SUI,5T7 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3059,21,HANNAH MIDTBOE,F,NOR,4T6 4B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2013,24,MONIKA RETSCHY,F,GER,5T7 5B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,55,25,EKATERINA KIPRIIANOVA,F,RUS,4T7 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2139,25,HUNG YING LEE,F,TPE,5T8 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3254,27,ANDREA KÜMIN,F,SUI,5T8 5B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,446,27,MARINE THÉVENET,F,FRA,4T8 5B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1227,29,JULIA PINGGERA,F,AUT,5T9 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1565,29,ALANNAH YIP,F,CAN,4T8 4B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,4328,31,ALMA BESTVATER,F,GER,5T10 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,50,31,TATIANA SHEMULINKINA,F,RUS,4T8 4B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1243,33,JOHANNA FÄRBER,F,AUT,4T8 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1375,33,PETRA RUZICKOVA,F,CZE,5T10 5B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1130,35,KATJA DEBEVEC,F,SLO,4T4 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,4260,35,SOFYA YOKOYAMA,F,SUI,4T9 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1769,37,LISA CHULICH,F,USA,4T5 5B6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1225,37,KAROLINE SINNHUBER,F,AUT,4T11 5B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3109,39,JOHANNA HOLFELD,F,GER,3T4 4B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2268,39,AYA ONOE,F,JPN,4T6 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2019,41,ROMY FUCHS,F,GER,4T7 5B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3979,41,VALERI KREMER,F,ISR,3T6 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,91,43,ANNA MARGOLINA,F,RUS,4T7 5B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,779,43,ITZIAR ZABALA ZURINAGA,F,ESP,3T6 3B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3891,45,LUNA FRIEDRICH,F,GER,3T9 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2018,45,LEONIE LOCHNER,F,GER,3T9 4B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2671,45,KAJSA ROSEN,F,SWE,4T7 4B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,859,48,ANDREA EBNER,F,ITA,4T7 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,4330,49,LUCIA DÖRFFEL,F,GER,4T9 5B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3578,49,VERA ZIJLSTRA,F,NED,3T12 3B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2172,51,NÓRA KIRÁLY,F,HUN,2T2 4B17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2800,51,ANNA LAITINEN,F,FIN,3T3 4B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3068,53,SUNNIVA EIK HAAVE,F,NOR,2T3 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3584,53,MIRTHE VAN LIERE,F,NED,3T5 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1366,55,DANIELA KOTRBOVA,F,CZE,2T3 2B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1579,55,ALLISON VEST,F,CAN,3T6 5B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3121,57,FLORENCE GRÜNEWALD,F,GER,2T4 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1724,57,DELANEY MILLER,F,USA,3T8 5B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,44,59,OLGA IAKOVLEVA,F,RUS,2T4 4B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3604,59,AMANDA MEIJERING,F,NED,2T2 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3060,61,TINA JOHNSEN HAFSAAS,F,NOR,2T4 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3850,61,KATRINE VANDET SALLING,F,DEN,2T4 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1377,61,ELISKA VLCKOVA,F,CZE,2T4 4B12,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2281,64,MIWA OBA,F,JPN,2T5 5B10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,863,65,ANNA BORELLA,F,ITA,2T5 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2669,65,STELLA PLANTIN,F,SWE,2T5 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3996,65,NAAMA YOHAI,F,ISR,2T6 5B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3078,68,MIE (MARIE THERESE) KASTET,F,NOR,1T2 2B3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2488,69,LUCINDA ANN TURNBULL,F,AUS,2T5 4B15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2765,69,MÁRIA ČELKOVÁ,F,SVK,1T3 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1404,71,KARINA BILKOVA,F,CZE,1T4 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2796,71,JANKA MEYER,F,GER,1T1 4B11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1569,73,ALISON STEWART-PATTERSON,F,CAN,1T3 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2672,73,TOVE WÅHLIN,F,SWE,0T 4B8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,1605,75,KRISTINA JELLEMA,F,CAN,0T 4B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2722,75,CRINA OCHENATU,F,ROU,0T 3B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2666,77,KATRIN AMANN,F,SWE,0T 3B7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3977,77,EMILIE GERHARDT,F,GER,0T 4B13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3785,79,BEATRIZ COIMBRA,F,POR,0T 2B4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2731,79,ANA-MARIA ZAHARIA,F,ROU,0T 2B2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,4077,81,FATMA BASOGLU KABRAN,F,TUR,0T 2B5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,3858,81,NEA HERFORTH BAEHR,F,DEN,0T 2B9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2735,83,RUXANDRA-GEORGETA BARBULESCU,F,ROU,0T 0B,,
IFSC Climbing Worldcup (B) - Munich (GER) 2016,2733,83,JUDIT NAGY,F,ROU,0T 0B,,
