Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2294,1,MIHO NONAKA,F,JPN,4T4 5B5,2T2 4B7,2T4 3B6
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2013,2,MONIKA RETSCHY,F,GER,2T5 5B6,2T8 4B11,1T1 4B10
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2253,3,AKIYO NOGUCHI,F,JPN,4T4 5B5,3T11 4B16,1T1 2B2
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,454,4,MELISSA LE NEVE,F,FRA,4T4 5B5,1T1 3B4,1T1 2B2
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2047,5,SOL SA,F,KOR,3T4 5B5,3T11 4B15,1T1 2B6
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1209,6,KATHARINA SAURWEIN,F,AUT,3T4 5B7,2T4 4B10,0T 2B7
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,460,7,CLEMENTINE KAISER,F,FRA,4T5 5B6,1T2 3B6,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,469,8,FANNY GIBERT,F,FRA,3T3 5B6,1T3 3B12,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,636,9,SHAUNA COXSEY,F,GBR,4T5 5B5,1T3 2B6,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2139,10,HUNG YING LEE,F,TPE,4T5 5B5,1T7 3B16,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,632,11,LEAH CRANE,F,GBR,3T5 5B9,0T 2B5,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1223,12,BERIT SCHWAIGER,F,AUT,2T2 5B5,0T 2B6,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1225,13,KAROLINE SINNHUBER,F,AUT,3T3 5B9,0T 2B9,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2278,14,MEI KOTAKE,F,JPN,4T8 5B8,0T 2B11,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1227,15,JULIA PINGGERA,F,AUT,2T6 4B6,0T 2B12,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2268,16,AYA ONOE,F,JPN,3T6 5B6,0T 1B3,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1568,17,ELISE SETHNA,F,CAN,2T3 4B6,0T 1B3,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1769,18,LISA CHULICH,F,USA,2T4 4B6,0T 1B8,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2339,19,AYARI SAKAMOTO,F,JPN,3T3 5B7,0T 0B,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1565,20,ALANNAH YIP,F,CAN,3T7 5B5,0T 0B,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2765,21,MÁRIA ČELKOVÁ,F,SVK,1T1 4B5,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,3509,22,NASIM BIYARJOMANDY,F,IRI,1T1 2B2,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1137,23,JULIJA KRUDER,F,SLO,1T2 4B7,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,3578,24,VERA ZIJLSTRA,F,NED,1T5 5B15,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1579,25,ALLISON VEST,F,CAN,1T5 4B19,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,3469,26,SIMA SOLTANI,F,IRI,0T 3B3,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,3510,27,ATHENA BIGVAND,F,IRI,0T 2B3,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2623,27,CHEA MARAK,F,IND,0T 2B3,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,1818,27,SARAH PEARCE,F,USA,0T 2B3,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,4180,30,PANCHAMAYA TAMANG,F,NEP,0T 2B11,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2625,31,SIDDHI SHEKHAR MANERIKAR,F,IND,0T 1B1,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2617,32,SMRITI SINGH,F,IND,0T 1B2,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2638,33,NEHAA PRAKASH,F,IND,0T 1B3,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2619,34,SENJAM DEBALA DEVI,F,IND,0T 1B4,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2639,35,PRERNA DANGI,F,IND,0T 0B,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2630,35,MAYURI DESHMUKH,F,IND,0T 0B,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2636,35,DHANSHRI LEKURWALA,F,IND,0T 0B,,
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2624,35,FLAVIA PEREIRA SONALI,F,IND,0T 0B,,
