Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",636,1,SHAUNA COXSEY,GBR,5T11 5B11,1T1 3B3,4T12 4B12
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1147,2,JANJA GARNBRET,SLO,4T9 5B9,3T12 4B11,3T7 3B7
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2294,3,MIHO NONAKA,JPN,4T5 5B7,2T13 4B13,2T6 4B15
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2035,4,JAIN KIM,KOR,4T15 5B15,1T3 2B3,1T5 2B11
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2268,5,AYA ONOE,JPN,4T14 4B12,1T2 3B8,0T 3B8
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2278,6,MEI KOTAKE,JPN,4T11 4B8,2T7 3B8,0T 1B3
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1130,7,KATJA DEBEVEC,SLO,3T3 5B5,1T4 4B11,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1211,8,ANNA STÖHR,AUT,4T14 5B17,1T5 3B6,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3246,9,PETRA KLINGLER,SUI,4T10 5B13,1T5 3B8,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3840,10,STASA GEJO,SRB,4T4 5B5,1T6 2B7,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",635,11,MICHAELA TRACY,GBR,4T8 5B12,1T12 3B10,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",469,12,FANNY GIBERT,FRA,4T6 5B7,0T 3B4,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2253,13,AKIYO NOGUCHI,JPN,4T5 5B7,0T 3B7,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1486,14,IEVGENIIA KAZBEKOVA,UKR,4T11 4B9,0T 3B8,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",316,15,CHLOE CAULIER,BEL,4T6 5B11,0T 2B3,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2013,15,MONIKA RETSCHY,GER,4T5 5B11,0T 2B3,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2047,17,SOL SA,KOR,4T6 5B10,0T 2B10,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",535,18,MAËLYS AGRAPART,FRA,4T20 4B19,0T 1B1,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1714,18,SIERRA BLAIR-COYLE,USA,5T22 5B21,0T 1B1,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1768,18,MEGAN MASCARENAS,USA,5T17 5B13,0T 1B1,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1769,21,LISA CHULICH,USA,3T7 4B11,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1565,21,ALANNAH YIP,CAN,3T5 5B11,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3465,23,ELNAZ REKABI,IRI,3T5 4B6,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2936,23,LAMU RENQING,CHN,3T8 4B9,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3254,25,ANDREA KÜMIN,SUI,3T9 5B11,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2139,25,HUNG YING LEE,TPE,3T6 4B6,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",553,27,FLAVY COHAUT,FRA,3T9 5B15,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3357,27,TAMARA ULZHABAYEVA,KAZ,3T6 3B5,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2935,29,RONG JIANG,CHN,3T15 4B15,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1222,29,KATHARINA POSCH,AUT,3T7 3B7,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",462,31,MANON HILY,FRA,3T9 4B10,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3979,31,VALERI KREMER,ISR,3T16 4B19,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",632,33,LEAH CRANE,GBR,2T2 4B4,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",73,33,ANNA TSYGANOVA,RUS,2T3 3B4,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2941,35,DI NIU,CHN,1T1 4B13,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3632,35,VANESSA SI YINN TENG,SGP,2T2 4B9,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2795,37,LILLI KIESGEN,GER,2T3 5B6,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",3850,37,KATRINE VANDET SALLING,DEN,1T1 2B2,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",118,39,IULIIA PANTELEEVA,RUS,2T4 5B12,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",1488,39,MARGARYTA ZAKHAROVA,UKR,1T2 2B2,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2850,41,KATARZYNA EKWINSKA,POL,1T3 4B15,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2946,41,ZHUOMA PUBU,CHN,2T5 3B6,,
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2051,43,SEUNGHYUN KIM,KOR,2T8 4B17,,
