Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1147,1,JANJA GARNBRET,F,SLO,5T6 5B6,4T8 4B6,4T5 4B4
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2253,2,AKIYO NOGUCHI,F,JPN,4T5 5B6,4T8 4B7,4T9 4B9
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2294,3,MIHO NONAKA,F,JPN,5T8 5B8,3T8 4B6,3T4 4B5
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",636,4,SHAUNA COXSEY,F,GBR,5T5 5B5,3T9 4B5,2T2 3B3
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",469,5,FANNY GIBERT,F,FRA,3T4 5B6,3T3 4B4,2T6 4B12
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3246,6,PETRA KLINGLER,F,SUI,5T9 5B6,2T7 4B5,1T1 3B5
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",316,7,CHLOE CAULIER,F,BEL,5T7 5B7,2T7 3B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3840,8,STASA GEJO,F,SRB,4T8 5B7,2T10 4B6,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",4328,9,ALMA BESTVATER,F,GER,4T8 5B8,1T1 4B6,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",635,10,MICHAELA TRACY,F,GBR,5T6 5B6,1T1 4B12,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2035,11,JAIN KIM,F,KOR,4T18 4B12,1T1 3B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2795,12,LILLI KIESGEN,F,GER,3T5 5B6,1T1 3B5,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2268,12,AYA ONOE,F,JPN,4T8 5B7,1T1 3B5,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2047,14,SOL SA,F,KOR,4T10 4B5,1T2 4B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1768,15,MEGAN MASCARENAS,F,USA,4T5 4B4,1T4 4B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1211,16,ANNA STÖHR,F,AUT,4T15 5B8,1T4 4B8,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1240,17,FRANZISKA STERRER,F,AUT,4T9 5B9,1T4 3B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2013,18,MONIKA RETSCHY,F,GER,5T7 5B6,0T 4B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2139,19,HUNG YING LEE,F,TPE,5T9 5B6,0T 3B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2278,20,MEI KOTAKE,F,JPN,4T6 5B6,0T 3B8,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",632,21,LEAH CRANE,F,GBR,3T4 5B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1130,21,KATJA DEBEVEC,F,SLO,3T5 5B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",553,23,FLAVY COHAUT,F,FRA,3T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2310,23,TOMOKO KAJIMA,F,JPN,3T5 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1769,25,LISA CHULICH,F,USA,3T4 4B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2287,25,AIKA TAJIMA,F,JPN,3T5 4B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",535,27,MAËLYS AGRAPART,F,FRA,3T6 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2263,27,MOMOKA ODA,F,JPN,3T5 5B12,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1223,27,BERIT SCHWAIGER,F,AUT,3T6 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2329,30,AYANO SOGA,F,JPN,3T7 4B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",462,31,MANON HILY,F,FRA,3T7 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2936,31,LAMU RENQING,F,CHN,2T2 4B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2324,33,KOKORO TAKATA,F,JPN,3T13 5B20,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1565,33,ALANNAH YIP,F,CAN,2T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2374,35,AKIKO KAWABATA,F,JPN,2T5 3B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1488,35,MARGARYTA ZAKHAROVA,F,UKR,2T3 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2379,37,YUNO HARIGAE,F,JPN,2T6 3B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1753,37,MARGO HAYES,F,USA,2T4 5B24,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3632,39,VANESSA SI YINN TENG,F,SGP,2T6 4B10,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2256,39,SAARI WATANABE,F,JPN,2T7 5B16,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1714,41,SIERRA BLAIR-COYLE,F,USA,2T7 4B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3254,41,ANDREA KÜMIN,F,SUI,1T1 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2327,43,MAO NAKAMURA,F,JPN,1T2 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2267,43,RISA OTA,F,JPN,2T7 4B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2375,45,KATSUKI BAMBA,F,JPN,2T9 4B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2325,45,HOMARE TODA,F,JPN,1T3 5B12,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1222,47,KATHARINA POSCH,F,AUT,2T14 5B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1590,47,EVA THOMPSON,F,CAN,1T6 4B17,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2367,49,JUNKO KITAWAKI,F,JPN,1T3 3B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2373,49,MIHARU SOTOME,F,JPN,1T7 5B13,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2321,51,ERINA MIURA,F,JPN,1T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3850,51,KATRINE VANDET SALLING,F,DEN,0T 4B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2322,53,ASAMI HARADA,F,JPN,0T 3B4,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2490,53,ROXY PERRY,F,AUS,0T 2B3,,
