Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1147,1,JANJA GARNBRET,SLO,5T6 5B6,4T8 4B6,4T5 4B4
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2253,2,AKIYO NOGUCHI,JPN,4T5 5B6,4T8 4B7,4T9 4B9
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2294,3,MIHO NONAKA,JPN,5T8 5B8,3T8 4B6,3T4 4B5
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",636,4,SHAUNA COXSEY,GBR,5T5 5B5,3T9 4B5,2T2 3B3
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",469,5,FANNY GIBERT,FRA,3T4 5B6,3T3 4B4,2T6 4B12
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3246,6,PETRA KLINGLER,SUI,5T9 5B6,2T7 4B5,1T1 3B5
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",316,7,CHLOE CAULIER,BEL,5T7 5B7,2T7 3B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3840,8,STASA GEJO,SRB,4T8 5B7,2T10 4B6,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",4328,9,ALMA BESTVATER,GER,4T8 5B8,1T1 4B6,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",635,10,MICHAELA TRACY,GBR,5T6 5B6,1T1 4B12,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2035,11,JAIN KIM,KOR,4T18 4B12,1T1 3B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2795,12,LILLI KIESGEN,GER,3T5 5B6,1T1 3B5,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2268,12,AYA ONOE,JPN,4T8 5B7,1T1 3B5,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2047,14,SOL SA,KOR,4T10 4B5,1T2 4B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1768,15,MEGAN MASCARENAS,USA,4T5 4B4,1T4 4B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1211,16,ANNA STÖHR,AUT,4T15 5B8,1T4 4B8,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1240,17,FRANZISKA STERRER,AUT,4T9 5B9,1T4 3B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2013,18,MONIKA RETSCHY,GER,5T7 5B6,0T 4B4,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2139,19,HUNG YING LEE,TPE,5T9 5B6,0T 3B7,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2278,20,MEI KOTAKE,JPN,4T6 5B6,0T 3B8,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",632,21,LEAH CRANE,GBR,3T4 5B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1130,21,KATJA DEBEVEC,SLO,3T5 5B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",553,23,FLAVY COHAUT,FRA,3T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2310,23,TOMOKO KAJIMA,JPN,3T5 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1769,25,LISA CHULICH,USA,3T4 4B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2287,25,AIKA TAJIMA,JPN,3T5 4B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",535,27,MAËLYS AGRAPART,FRA,3T6 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2263,27,MOMOKA ODA,JPN,3T5 5B12,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1223,27,BERIT SCHWAIGER,AUT,3T6 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2329,30,AYANO SOGA,JPN,3T7 4B5,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",462,31,MANON HILY,FRA,3T7 5B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2936,31,LAMU RENQING,CHN,2T2 4B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2324,33,KOKORO TAKATA,JPN,3T13 5B20,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1565,33,ALANNAH YIP,CAN,2T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2374,35,AKIKO KAWABATA,JPN,2T5 3B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1488,35,MARGARYTA ZAKHAROVA,UKR,2T3 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2379,37,YUNO HARIGAE,JPN,2T6 3B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1753,37,MARGO HAYES,USA,2T4 5B24,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3632,39,VANESSA SI YINN TENG,SGP,2T6 4B10,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2256,39,SAARI WATANABE,JPN,2T7 5B16,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1714,41,SIERRA BLAIR-COYLE,USA,2T7 4B6,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3254,41,ANDREA KÜMIN,SUI,1T1 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2327,43,MAO NAKAMURA,JPN,1T2 5B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2267,43,RISA OTA,JPN,2T7 4B8,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2375,45,KATSUKI BAMBA,JPN,2T9 4B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2325,45,HOMARE TODA,JPN,1T3 5B12,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1222,47,KATHARINA POSCH,AUT,2T14 5B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",1590,47,EVA THOMPSON,CAN,1T6 4B17,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2367,49,JUNKO KITAWAKI,JPN,1T3 3B9,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2373,49,MIHARU SOTOME,JPN,1T7 5B13,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2321,51,ERINA MIURA,JPN,1T4 4B7,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",3850,51,KATRINE VANDET SALLING,DEN,0T 4B15,,
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2322,53,ASAMI HARADA,JPN,0T 3B4,,
