Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1147,1,JANJA GARNBRET,F,SLO,5T5Z 7 5,4T4Z 8 8,4T4Z 7 5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2294,2,MIHO NONAKA,F,JPN,5T5Z 7 6,2T4Z 4 10,4T4Z 7 5
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2253,3,AKIYO NOGUCHI,F,JPN,5T5Z 6 5,3T3Z 4 4,3T4Z 8 9
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3246,4,PETRA KLINGLER,F,SUI,5T5Z 9 6,2T4Z 5 7,3T4Z 9 10
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",469,5,FANNY GIBERT,F,FRA,5T5Z 6 5,3T4Z 6 7,2T3Z 2 3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",636,6,SHAUNA COXSEY,F,GBR,4T5Z 7 5,2T3Z 2 4,1T3Z 4 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2047,7,SOL SA,F,KOR,3T5Z 3 8,2T3Z 5 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2357,8,FUTABA ITO,F,JPN,4T5Z 7 12,2T3Z 8 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",316,9,CHLOE CAULIER,F,BEL,3T5Z 3 8,1T4Z 4 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1130,10,KATJA DEBEVEC,F,SLO,3T5Z 4 6,1T3Z 2 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1161,11,MIA KRAMPL,F,SLO,4T5Z 5 7,1T3Z 2 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",443,12,MÉLANIE SANDOZ,F,FRA,3T5Z 7 8,1T3Z 3 6,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2356,13,SAKI KIKUCHI,F,JPN,4T5Z 7 11,1T3Z 5 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1226,14,JESSICA PILZ,F,AUT,4T5Z 6 6,1T2Z 1 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3840,15,STASA GEJO,F,SRB,5T5Z 10 7,1T2Z 4 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2795,16,LILLI KIESGEN,F,GER,3T5Z 3 7,0T2Z 0 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1222,16,KATHARINA POSCH,F,AUT,3T4Z 12 11,0T2Z 0 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1223,18,BERIT SCHWAIGER,F,AUT,3T5Z 4 8,0T2Z 0 3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1240,19,FRANZISKA STERRER,F,AUT,3T5Z 5 6,0T2Z 0 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",144,20,ELENA KRASOVSKAIA,F,RUS,3T5Z 7 11,0T1Z 0 1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",55,21,EKATERINA KIPRIIANOVA,F,RUS,3T5Z 6 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1122,21,MINA MARKOVIC,F,SLO,2T5Z 3 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4328,23,ALMA BESTVATER,F,GER,2T5Z 4 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2139,23,HUNG YING LEE,F,TPE,3T5Z 6 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",526,25,CHARLOTTE ANDRE,F,FRA,2T5Z 8 13,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1486,25,IEVGENIIA KAZBEKOVA,F,UKR,3T5Z 8 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1714,27,SIERRA BLAIR-COYLE,F,USA,3T4Z 8 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1232,27,HANNAH SCHUBERT,F,AUT,2T4Z 2 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3161,29,VALENTINA AGUADO,F,ARG,2T4Z 2 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",466,29,JULIA CHANOURDIE,F,FRA,2T5Z 2 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2327,31,MAO NAKAMURA,F,JPN,2T4Z 4 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",50,31,TATIANA SHEMULINKINA,F,RUS,2T5Z 3 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3465,33,ELNAZ REKABI,F,IRI,2T5Z 9 12,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3247,33,REBEKKA STOTZ,F,SUI,2T4Z 6 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",191,35,ANASTASIIA EVGENEVA,F,RUS,2T4Z 7 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1209,35,KATHARINA SAURWEIN,F,AUT,2T4Z 4 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4293,37,NATALIE BÄRTSCHI,F,SUI,2T4Z 5 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2278,37,MEI KOTAKE,F,JPN,2T4Z 8 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",535,39,MAËLYS AGRAPART,F,FRA,2T3Z 3 11,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1824,39,MAYA MADERE,F,USA,2T4Z 6 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",4260,39,SOFYA YOKOYAMA,F,SUI,2T4Z 6 9,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1148,42,TJASA SLEMENSEK,F,SLO,2T3Z 5 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3441,43,VALIANTSINA CHAMIAKINA,F,BLR,2T3Z 7 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3578,43,VERA ZIJLSTRA,F,NED,2T4Z 7 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",99,45,EVGENIYA LAPSHINA,F,RUS,1T5Z 1 10,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",70,45,ANNA ZAIKINA,F,RUS,2T4Z 9 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3060,47,TINA JOHNSEN HAFSAAS,F,NOR,1T5Z 3 22,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",653,47,JENNIFER WOOD,F,GBR,2T4Z 10 14,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2343,49,NANAKO KURA,F,JPN,1T4Z 1 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",87,49,IRINA KUZMENKO,F,RUS,2T4Z 12 15,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",859,51,ANDREA EBNER,F,ITA,1T4Z 1 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",147,51,VIKTORIIA MESHKOVA,F,RUS,1T4Z 1 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",118,51,IULIIA PANTELEEVA,F,RUS,2T3Z 5 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",75,54,EKATERINA NOVITSKAIA,F,RUS,1T5Z 1 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",148,55,LUIZA EMELEVA,F,RUS,1T4Z 1 8,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3068,55,SUNNIVA EIK HAAVE,F,NOR,1T4Z 2 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",703,57,IMOGEN HORROCKS,F,GBR,1T4Z 6 17,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3354,57,AFRA HÖNIG,F,GER,1T4Z 2 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2268,59,AYA ONOE,F,JPN,1T3Z 1 4,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",903,59,MARTINA ZANETTI,F,ITA,1T3Z 3 5,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",91,61,ANNA MARGOLINA,F,RUS,1T3Z 6 4,,
