Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2253,1,AKIYO NOGUCHI,JPN,5T5Z 7 6,4T4Z 4 4,3T3Z 5 5
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2294,2,MIHO NONAKA,JPN,5T5Z 7 7,2T4Z 4 6,3T3Z 6 6
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,55,3,EKATERINA KIPRIIANOVA,RUS,4T5Z 4 8,2T3Z 2 5,2T2Z 6 5
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3840,4,STASA GEJO,SRB,3T4Z 3 5,2T4Z 4 5,0T2Z 0 5
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,4328,5,ALMA BESTVATER,GER,3T4Z 9 22,2T4Z 7 6,0T2Z 0 6
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2357,6,FUTABA ITO,JPN,3T4Z 7 8,2T4Z 3 6,0T1Z 0 9
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,469,7,FANNY GIBERT,FRA,5T5Z 7 6,2T3Z 6 3,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,635,8,MICHAELA TRACY,GBR,5T5Z 10 6,1T4Z 4 13,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,636,9,SHAUNA COXSEY,GBR,3T5Z 7 17,1T3Z 1 3,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1714,10,SIERRA BLAIR-COYLE,USA,3T4Z 7 12,1T3Z 1 6,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1130,11,KATJA DEBEVEC,SLO,5T5Z 7 6,1T3Z 2 4,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1164,12,URSKA REPUSIC,SLO,4T5Z 10 9,1T3Z 2 6,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1565,13,ALANNAH YIP,CAN,3T4Z 7 10,1T3Z 3 6,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1750,14,KYRA CONDIE,USA,5T5Z 10 8,1T3Z 5 6,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2310,15,TOMOKO KAJIMA,JPN,3T4Z 5 7,1T2Z 2 3,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2047,16,SOL SA,KOR,4T5Z 11 17,0T4Z 0 8,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,118,17,IULIIA PANTELEEVA,RUS,5T5Z 8 5,0T3Z 0 7,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1751,18,CLAIRE BUHRFEIND,USA,4T5Z 6 9,0T3Z 0 9,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1243,19,JOHANNA FÄRBER,AUT,3T5Z 4 16,0T1Z 0 2,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2501,20,OCEANIA MACKENZIE,AUS,4T5Z 8 10,0T1Z 0 4,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,316,21,CHLOE CAULIER,BEL,4T4Z 7 6,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2486,21,EMMA HORAN,AUS,2T3Z 3 6,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2356,23,SAKI KIKUCHI,JPN,3T5Z 4 8,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2268,23,AYA ONOE,JPN,2T3Z 3 8,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1223,25,BERIT SCHWAIGER,AUT,3T5Z 7 9,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3578,25,VERA ZIJLSTRA,NED,2T3Z 4 10,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1227,27,JULIA PINGGERA,AUT,3T4Z 7 6,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1811,27,BROOKE RABOUTOU,USA,2T3Z 5 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2278,29,MEI KOTAKE,JPN,2T4Z 3 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,73,29,ANNA TSYGANOVA,RUS,2T3Z 5 12,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2343,31,NANAKO KURA,JPN,2T4Z 4 7,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3203,31,JARA SPÄTE,SUI,2T3Z 6 14,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2035,33,JAIN KIM,KOR,2T4Z 6 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2263,33,MOMOKA ODA,JPN,2T2Z 2 2,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1753,35,MARGO HAYES,USA,2T4Z 6 9,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2327,35,MAO NAKAMURA,JPN,2T2Z 6 3,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2326,37,MOMOKA KANEKO,JPN,2T2Z 8 8,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2864,37,IDA KUPS,POL,2T4Z 9 15,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3109,39,JOHANNA HOLFELD,GER,1T3Z 2 9,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1240,39,FRANZISKA STERRER,AUT,1T4Z 1 7,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2795,41,LILLI KIESGEN,GER,1T4Z 5 6,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3850,41,KATRINE VANDET SALLING,DEN,1T2Z 1 7,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2393,43,AKANE KINOSHITA,JPN,1T2Z 3 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2339,43,AYARI SAKAMOTO,JPN,1T3Z 1 3,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3632,45,VANESSA SI YINN TENG,SGP,1T1Z 1 1,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,653,45,JENNIFER WOOD,GBR,1T3Z 3 4,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2139,47,HUNG YING LEE,TPE,1T1Z 4 4,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,1708,47,MEAGAN MARTIN,USA,1T2Z 3 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2019,49,ROMY FUCHS,GER,0T3Z 0 8,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,891,49,ASJA GOLLO,ITA,0T3Z 0 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,3633,49,"MINGXIN, JUDITH SIM",SGP,0T3Z 0 5,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,859,52,ANDREA EBNER,ITA,0T2Z 0 2,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2935,53,RONG JIANG,CHN,0T3Z 0 11,,
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,2330,53,KARIN KOJIMA,JPN,0T2Z 0 6,,
