Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1147,1,JANJA GARNBRET,F,SLO,5T5Z 8 5,4T4Z 5 4,3T4Z 6 6
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2253,2,AKIYO NOGUCHI,F,JPN,3T5Z 6 10,4T4Z 5 4,3T4Z 9 12
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,636,3,SHAUNA COXSEY,F,GBR,2T4Z 3 4,3T4Z 5 5,2T3Z 3 4
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,469,4,FANNY GIBERT,F,FRA,4T5Z 6 6,3T4Z 3 6,1T2Z 4 2
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,3246,5,PETRA KLINGLER,F,SUI,2T5Z 8 14,3T4Z 4 5,1T1Z 1 1
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2501,6,OCEANIA MACKENZIE,F,AUS,2T4Z 4 6,3T3Z 7 4,1T1Z 2 2
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,4755,7,ALEX JOHNSON,F,USA,2T4Z 2 7,2T4Z 4 8,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1750,8,KYRA CONDIE,F,USA,4T5Z 21 18,2T4Z 4 9,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2357,9,FUTABA ITO,F,JPN,3T4Z 7 7,2T4Z 5 5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,3354,10,AFRA HÖNIG,F,GER,3T4Z 9 8,2T3Z 3 4,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1270,11,SANDRA LETTNER,F,AUT,3T5Z 8 12,2T3Z 5 5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1130,12,KATJA DEBEVEC,F,SLO,2T5Z 5 14,2T3Z 8 6,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1486,13,IEVGENIIA KAZBEKOVA,F,UKR,2T3Z 4 7,2T2Z 5 4,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1223,14,BERIT SCHWAIGER,F,AUT,2T3Z 10 9,2T2Z 6 4,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1565,15,ALANNAH YIP,F,CAN,3T5Z 10 11,1T4Z 2 10,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1160,16,LUCKA RAKOVEC,F,SLO,2T3Z 14 15,1T3Z 4 8,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,466,17,JULIA CHANOURDIE,F,FRA,4T5Z 6 8,0T3Z 0 5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2047,17,SOL SA,F,KOR,3T4Z 4 4,0T3Z 0 5,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1227,19,JULIA PINGGERA,F,AUT,3T4Z 16 14,0T3Z 0 7,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,693,20,EMILY PHILLIPS,F,GBR,4T4Z 11 8,0T3Z 0 8,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1226,21,JESSICA PILZ,F,AUT,1T4Z 1 5,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,669,21,HANNAH SLANEY,F,GBR,2T4Z 5 9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,947,23,CAMILLA MORONI,F,ITA,2T4Z 5 10,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1266,23,MATTEA PÖTZI,F,AUT,1T4Z 1 13,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,863,25,ANNA BORELLA,F,ITA,2T4Z 8 13,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2343,25,NANAKO KURA,F,JPN,1T4Z 2 17,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2380,27,AI MORI,F,JPN,2T3Z 2 3,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,3009,27,YUETONG ZHANG,F,CHN,1T3Z 1 6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1161,29,MIA KRAMPL,F,SLO,1T3Z 1 8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1811,29,BROOKE RABOUTOU,F,USA,2T3Z 4 7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,4260,31,SOFYA YOKOYAMA,F,SUI,2T3Z 5 6,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,70,31,ANNA ZAIKINA,F,RUS,1T3Z 3 8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1153,33,VITA LUKAN,F,SLO,1T3Z 6 12,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,147,33,VIKTORIIA MESHKOVA,F,RUS,2T3Z 5 8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2369,35,NATSUMI HIRANO,F,JPN,2T3Z 6 7,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2035,35,JAIN KIM,F,KOR,1T3Z 8 14,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,2520,37,FLORA FROESE,F,AUS,1T2Z 1 2,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1753,37,MARGO HAYES,F,USA,2T3Z 8 11,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1137,39,JULIJA KRUDER,F,SLO,1T2Z 3 4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,1164,39,URSKA REPUSIC,F,SLO,2T3Z 9 8,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,316,41,CHLOE CAULIER,F,BEL,1T4Z 2 4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,3578,41,VERA ZIJLSTRA,F,NED,1T2Z 4 9,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,11621,43,NAÏLÉ MEIGNAN,F,FRA,1T3Z 1 4,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,841,43,AIDA TORRES ILLAMOLA,F,ESP,1T1Z 5 1,,
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,462,45,MANON HILY,F,FRA,1T1Z 8 4,,
