Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1147,1,JANJA GARNBRET,SLO,5T5Z 7 6,4T4Z 8 6,4T4Z 5 5
IFSC Climbing Worldcup (B) - Munich (GER) 2019,469,2,FANNY GIBERT,FRA,5T5Z 13 11,0T2Z 0 4,4T4Z 8 7
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1161,3,MIA KRAMPL,SLO,4T5Z 9 12,0T2Z 0 2,3T3Z 9 9
IFSC Climbing Worldcup (B) - Munich (GER) 2019,466,4,JULIA CHANOURDIE,FRA,4T5Z 8 13,0T2Z 0 4,2T2Z 5 5
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1486,5,IEVGENIIA KAZBEKOVA,UKR,4T4Z 7 6,1T1Z 1 1,1T3Z 3 7
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1130,6,KATJA DEBEVEC,SLO,3T4Z 6 6,0T3Z 0 8,1T2Z 1 6
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1153,7,VITA LUKAN,SLO,4T5Z 13 11,0T2Z 0 6,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,947,8,CAMILLA MORONI,ITA,4T5Z 9 14,0T2Z 0 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1160,8,LUCKA RAKOVEC,SLO,4T5Z 10 9,0T2Z 0 7,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4755,10,ALEX JOHNSON,USA,4T4Z 8 7,0T2Z 0 8,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2771,11,VANDA MICHALKOVA,SVK,3T4Z 9 10,0T1Z 0 1,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1226,12,JESSICA PILZ,AUT,4T5Z 10 12,0T1Z 0 2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1266,12,MATTEA PÖTZI,AUT,4T4Z 18 14,0T1Z 0 2,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2343,14,NANAKO KURA,JPN,3T4Z 9 8,0T1Z 0 4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,693,14,EMILY PHILLIPS,GBR,4T4Z 7 5,0T1Z 0 4,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,147,16,VIKTORIIA MESHKOVA,RUS,3T4Z 11 10,0T1Z 0 5,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1243,17,JOHANNA FÄRBER,AUT,3T4Z 9 6,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3354,17,AFRA HÖNIG,GER,2T4Z 2 4,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2501,17,OCEANIA MACKENZIE,AUS,4T4Z 5 4,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1164,17,URSKA REPUSIC,SLO,5T5Z 10 8,0T0Z 0 0,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1750,21,KYRA CONDIE,USA,2T4Z 4 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1488,21,MARGARYTA ZAKHAROVA,UKR,3T5Z 11 19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4330,23,LUCIA DÖRFFEL,GER,2T4Z 5 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11524,23,AYA SUGAWARA,JPN,3T5Z 16 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4293,25,NATALIE BÄRTSCHI,SUI,2T4Z 5 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1812,25,ASHIMA SHIRAISHI,USA,3T4Z 5 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4328,27,ALMA BESTVATER,GER,3T4Z 8 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,144,27,ELENA KRASOVSKAIA,RUS,2T4Z 6 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3254,27,ANDREA KÜMIN,SUI,3T4Z 8 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1270,30,SANDRA LETTNER,AUT,2T4Z 7 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,697,31,JOANNA NEAME,GBR,3T4Z 9 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,653,31,JENNIFER WOOD,GBR,2T4Z 8 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,316,33,CHLOE CAULIER,BEL,3T4Z 10 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3426,33,ANNE-SOPHIE KOLLER,SUI,2T4Z 8 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1223,35,BERIT SCHWAIGER,AUT,3T4Z 12 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,669,35,HANNAH SLANEY,GBR,2T4Z 11 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1227,37,JULIA PINGGERA,AUT,2T4Z 3 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8961,37,ELISA VAN DER WEL,GER,2T3Z 8 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1137,39,JULIJA KRUDER,SLO,1T4Z 1 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4320,39,ROXANA WIENAND,GER,2T4Z 5 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,633,41,NATALIE BERRY,GBR,2T4Z 9 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,903,41,MARTINA ZANETTI,ITA,1T4Z 1 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,928,43,LAURA ROGORA,ITA,2T3Z 3 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8887,43,HELENE WOLF,GER,1T4Z 2 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2935,45,RONG JIANG,CHN,2T3Z 6 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1870,45,SIENNA KOPF,USA,1T4Z 2 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,4260,47,SOFYA YOKOYAMA,SUI,2T3Z 11 15,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3009,47,YUETONG ZHANG,CHN,1T4Z 2 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,910,49,GIULIA MEDICI,ITA,1T4Z 3 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3113,49,HANNAH MEUL,GER,1T3Z 1 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1811,51,BROOKE RABOUTOU,USA,1T3Z 4 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2711,51,LINDA SJÖDIN,SWE,1T4Z 3 21,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1439,53,ELISKA BULENOVA,CZE,1T2Z 1 3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2018,53,LEONIE LOCHNER,GER,1T4Z 4 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,863,55,ANNA BORELLA,ITA,1T4Z 4 13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8702,55,ANNIKA PIDDE,GER,1T2Z 1 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3850,55,KATRINE VANDET SALLING,DEN,1T4Z 4 13,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,363,58,LUCIE WATILLON,BEL,1T2Z 2 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,321,59,CELINE CUYPERS,BEL,1T2Z 2 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3578,59,VERA ZIJLSTRA,NED,1T4Z 5 19,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1400,61,ELISKA ADAMOVSKA,CZE,1T3Z 1 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,810,61,MARIA BENACH ZUBERO,ESP,1T2Z 2 10,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2349,63,SERIKA OKAWACHI,JPN,1T2Z 5 3,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3996,63,NAAMA YOHAI,ISR,1T3Z 2 8,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2666,65,KATRIN AMANN,SWE,1T3Z 2 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1526,65,NIKA POTAPOVA,UKR,1T1Z 1 1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1438,67,MICHAELA SMETANOVA,CZE,1T1Z 6 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3986,67,YAEL TAUB,ISR,1T3Z 5 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,1447,69,TEREZA SIRUCKOVA,CZE,1T2Z 4 6,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3601,69,TIBA VROOM,NED,0T3Z 0 5,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,479,71,ANOUCK JAUBERT,FRA,0T4Z 0 14,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,522,71,LUCILE SAUREL,FRA,0T3Z 0 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,805,73,ANA BELÉN ARGUDO MARUGAN,ESP,0T3Z 0 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3900,73,MUYKUAY SILVA,CHI,0T2Z 0 7,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3911,75,ALEJANDRA CONTRERAS,CHI,0T2Z 0 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2106,75,HEEYEON PARK,KOR,0T2Z 0 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11526,77,RACHELLE DE CHARMOY,RSA,0T2Z 0 17,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,3979,77,VALERI KREMER,ISR,0T1Z 0 1,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,8565,79,MYRTO PETALIDOU,GRE,0T1Z 0 2,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2229,79,TSENG-SHUN WONG,HKG,0T1Z 0 9,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,2957,81,YUZHEN BAIMA,CHN,0T1Z 0 11,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11459,81,ANNA DAVEY,AUS,0T1Z 0 4,,
IFSC Climbing Worldcup (B) - Munich (GER) 2019,11523,83,SHIFRA BEN AVRAHAM,ISR,0T0Z 0 0,,
