Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1803,1,NATALIA GROSSMAN,USA,4T5Z 6 7,4T4Z 6 4,4T4Z 15 14
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11462,2,ORIANE BERTONE,FRA,3T4Z 4 6,2T4Z 2 5,3T4Z 7 7
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1811,3,BROOKE RABOUTOU,USA,4T5Z 7 8,3T4Z 6 7,3T3Z 4 3
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2294,4,MIHO NONAKA,JPN,5T5Z 7 7,3T3Z 4 4,3T3Z 7 6
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1226,5,JESSICA PILZ,AUT,3T5Z 9 10,3T4Z 11 12,1T3Z 3 6
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1243,6,JOHANNA FÄRBER,AUT,4T5Z 6 9,3T4Z 9 8,1T2Z 1 8
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2357,7,FUTABA ITO,JPN,4T5Z 8 9,2T4Z 3 4,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1130,8,KATJA DEBEVEC,SLO,4T5Z 10 10,2T4Z 3 6,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,469,9,FANNY GIBERT,FRA,3T5Z 5 8,2T4Z 3 7,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2327,10,MAO NAKAMURA,JPN,3T5Z 8 11,2T4Z 4 7,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3840,11,STASA GEJO,SRB,3T5Z 3 5,2T4Z 4 9,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4328,12,ALMA BESTVATER,GER,3T5Z 12 19,2T4Z 7 13,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,316,13,CHLOE CAULIER,BEL,3T4Z 6 9,2T3Z 4 8,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,12537,14,KYLIE CULLEN,USA,3T4Z 4 4,2T3Z 6 9,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,914,15,GIORGIA TESIO,ITA,3T5Z 8 11,1T4Z 2 13,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3113,16,HANNAH MEUL,GER,3T4Z 4 7,1T3Z 1 7,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1874,17,MEGAN LYNCH,USA,3T5Z 5 11,1T3Z 3 9,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,928,18,LAURA ROGORA,ITA,3T5Z 7 11,1T3Z 3 9,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1870,19,SIENNA KOPF,USA,4T4Z 7 7,1T3Z 3 10,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,694,20,HOLLY TOOTHILL,GBR,3T5Z 8 12,1T3Z 5 20,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1240,21,FRANZISKA STERRER,AUT,3T4Z 7 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,653,21,JENNIFER WOOD,GBR,3T4Z 7 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1153,23,VITA LUKAN,SLO,3T3Z 4 4,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,550,24,MAILYS PIAZZALUNGA,FRA,3T3Z 7 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3246,25,PETRA KLINGLER,SUI,2T5Z 4 9,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3254,26,ANDREA KÜMIN,SUI,2T5Z 4 11,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3354,27,AFRA HÖNIG,GER,2T4Z 5 6,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,693,28,EMILY PHILLIPS,GBR,2T4Z 5 12,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1579,29,ALLISON VEST,CAN,2T4Z 7 12,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1750,30,KYRA CONDIE,USA,2T4Z 12 12,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1824,31,MAYA MADERE,USA,2T3Z 4 4,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4320,32,ROXANA WIENAND,GER,2T3Z 5 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,12474,33,MIKU ISHII,JPN,2T3Z 7 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3850,34,KATRINE VANDET SALLING,DEN,2T3Z 7 8,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1961,35,THEA WULFF,USA,1T5Z 2 12,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,636,36,SHAUNA COXSEY,GBR,1T3Z 1 4,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,642,37,MOLLY THOMPSON-SMITH,GBR,1T3Z 2 4,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11783,38,RYU NAKAGAWA,JPN,1T3Z 2 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,11785,38,CAMPBELL SARINOPOULOS,USA,1T3Z 2 7,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,2002,40,GENEVIEVE DENNIS,USA,1T1Z 8 1,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4017,41,AYALA KEREM,ISR,0T3Z 0 6,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,1103,42,ERIN STERKENBURG,RSA,0T3Z 0 11,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,4330,43,LUCIA DÖRFFEL,GER,0T3Z 0 13,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,669,44,HANNAH SLANEY,GBR,0T2Z 0 3,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3986,45,YAEL TAUB,ISR,0T2Z 0 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3996,45,NAAMA YOHAI,ISR,0T2Z 0 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,3911,47,ALEJANDRA CONTRERAS,CHI,0T1Z 0 1,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,8846,47,KATHRINE ELSIG JENSEN,DEN,0T1Z 0 1,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,12484,49,ELIZABETH SEPULVEDA,PUR,0T1Z 0 5,,
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,466,,JULIA CHANOURDIE,FRA,DNS,,
