Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1803,1,NATALIA GROSSMAN,F,USA,5T5Z 11 9,3T4Z 7 7,4T4Z 9 9
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1811,2,BROOKE RABOUTOU,F,USA,4T5Z 7 9,3T4Z 6 7,3T4Z 5 14
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2294,3,MIHO NONAKA,F,JPN,4T5Z 6 6,2T4Z 2 10,3T4Z 9 18
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1226,4,JESSICA PILZ,F,AUT,4T5Z 10 10,3T4Z 9 9,3T4Z 16 19
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1240,5,FRANZISKA STERRER,F,AUT,5T5Z 19 16,3T4Z 6 7,1T3Z 1 7
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",947,6,CAMILLA MORONI,F,ITA,4T5Z 7 9,3T4Z 15 15,1T3Z 2 21
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",11462,7,ORIANE BERTONE,F,FRA,4T5Z 5 8,2T4Z 4 9,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3840,8,STASA GEJO,F,SRB,4T5Z 9 7,2T4Z 5 10,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2357,9,FUTABA ITO,F,JPN,4T5Z 9 10,2T3Z 4 4,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1565,10,ALANNAH YIP,F,CAN,4T5Z 9 11,1T4Z 3 9,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",12537,11,KYLIE CULLEN,F,USA,4T5Z 8 7,1T4Z 5 11,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",914,12,GIORGIA TESIO,F,ITA,3T5Z 10 13,1T4Z 7 10,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3113,13,HANNAH MEUL,F,GER,4T5Z 15 14,1T3Z 1 3,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1486,14,IEVGENIIA KAZBEKOVA,F,UKR,3T5Z 7 7,1T3Z 4 11,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2343,15,NANAKO KURA,F,JPN,4T5Z 13 8,1T3Z 5 7,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",11813,16,CLOE COSCOY,F,USA,4T5Z 7 6,1T3Z 6 8,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13020,17,ADRIENE CLARK,F,USA,3T5Z 7 8,1T2Z 3 2,
