Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2294,1,MIHO NONAKA,F,JPN,3T4Z 3 5,2T3Z 20 22,2T3Z 20 22
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11462,2,ORIANE BERTONE,F,FRA,3T4Z 5 6,2T2Z 4 3,2T2Z 4 3
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1811,3,BROOKE RABOUTOU,F,USA,3T4Z 5 8,2T2Z 10 7,2T2Z 10 7
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",12297,4,ANON MATSUFUJI,F,JPN,3T4Z 6 10,1T3Z 4 15,1T3Z 4 15
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13021,5,ANASTASIA SANDERS,F,USA,3T5Z 12 16,1T3Z 5 23,1T3Z 5 23
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",4017,6,AYALA KEREM,F,ISR,5T5Z 12 10,1T2Z 6 9,1T2Z 6 9
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",469,7,FANNY GIBERT,F,FRA,3T4Z 6 7,1T1Z 5 4,1T1Z 5 4
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3113,7,HANNAH MEUL,F,GER,4T5Z 4 5,1T1Z 5 4,1T1Z 5 4
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",12451,9,SELMA ELHADJ MIMOUNE,F,FRA,3T4Z 5 6,1T1Z 8 8,1T1Z 8 8
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3840,10,STASA GEJO,F,SRB,4T4Z 7 6,0T4Z 0 22,0T4Z 0 22
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1803,11,NATALIA GROSSMAN,F,USA,4T5Z 12 13,0T3Z 0 9,0T3Z 0 9
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",14008,12,MELODY SEKIKAWA,F,JPN,4T5Z 13 11,0T3Z 0 12,0T3Z 0 12
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2501,13,OCEANIA MACKENZIE,F,AUS,4T5Z 12 10,0T3Z 0 14,0T3Z 0 14
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",947,14,CAMILLA MORONI,F,ITA,3T5Z 6 15,0T3Z 0 34,0T3Z 0 34
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1226,15,JESSICA PILZ,F,AUT,3T5Z 8 19,0T2Z 0 5,0T2Z 0 5
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",4330,16,LUCIA DÖRFFEL,F,GER,4T5Z 9 11,0T2Z 0 8,0T2Z 0 8
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11468,17,ERIN MCNEICE,F,GBR,3T4Z 7 9,0T2Z 0 11,0T2Z 0 11
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",12537,18,KYLIE CULLEN,F,USA,3T4Z 10 18,0T1Z 0 4,0T1Z 0 4
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2380,19,AI MORI,F,JPN,3T5Z 15 12,0T0Z 0 0,0T0Z 0 0
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",914,19,GIORGIA TESIO,F,ITA,4T5Z 13 14,0T0Z 0 0,0T0Z 0 0
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",620,21,ZÉLIA AVEZOU,F,FRA,3T4Z 9 9,,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2357,21,FUTABA ITO,F,JPN,3T3Z 7 4,,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3246,21,PETRA KLINGLER,F,SUI,3T3Z 7 4,,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",4320,24,ROXANA WIENAND,F,GER,3T4Z 12 11,,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13321,25,MIA AOYAGI,F,JPN,3T4Z 12 12,,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1629,25,MADISON FISCHER,F,CAN,2T3Z 3 5,,
