Event,ID,Rank,Name,Gender,Country,Qualification
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",79,1,ALEKSEY RUBTSOV,M,RUS,300
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4299,2,SASCHA LEHMANN,M,SUI,54
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",85,3,SERGEI LUZHETSKII,M,RUS,108
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",165,4,NIKOLAI IARILOVETS,M,RUS,280
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3989,5,YUVAL SHEMLA,M,ISR,240
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2845,6,MARCIN DZIENSKI,M,POL,380
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3983,7,ALEX KHAZANOV,M,ISR,408.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",648,8,WILLIAM BOSI,M,GBR,126.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2667,9,HANNES PUMAN,M,SWE,528
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1138,10,ANZE PEHARC,M,SLO,600
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1372,11,JAN KRIZ,M,CZE,760
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",320,12,NICOLAS COLLIN,M,BEL,784
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1480,13,DANYIL BOLDYREV,M,UKR,1296
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3998,14,NIMROD MARCUS,M,ISR,1404
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1361,15,MARTIN STRANIK,M,CZE,1425
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",318,16,SIMON LORENZI,M,BEL,1485.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1124,17,JERNEJ KRUDER,M,SLO,1512.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3991,18,RAM LEVIN,M,ISR,1620
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4019,19,GEVA LEVIN,M,ISR,1734
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2767,20,PETER KURIC,M,SVK,2288
