Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,1356,1,TOMÁS MRÁZEK,CZE,TOP,40-,47
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,1214,2,JAKOB SCHUBERT,AUT,TOP,39.5+,41-
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2254,3,SACHI AMMA,JPN,TOP,39.5+,38-
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,772,4,PATXI USOBIAGA LAKUNZA,ESP,29,38+,32-
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,447,5,MANUEL ROMAIN,FRA,45-,37+,32-
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,3058,6,MAGNUS MIDTBOE,NOR,46,37-,30-
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,773,7,RAMÓN JULIAN PUIGBLANQUE,ESP,41-,TOP,11
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,3577,8,JORG VERHOEVEN,NED,TOP,38-,10.5
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5324,9,FLAVIEN GUERIMAND,FRA,46-,36-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,437,10,ROMAIN DESGRANGES,FRA,TOP,33-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4690,11,FABIEN DUGIT,FRA,45+,33-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,419,12,MICHAËL FUSELIER,FRA,29-,31,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,61,13,MIKHAIL CHERNIKOV,RUS,29-,24,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5151,14,HIDEKAZU ITO,JPN,38-,22-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4582,15,MATEJ SOVA,SLO,30-,17.8+,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,1216,16,MARIO LECHNER,AUT,TOP,17.8,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4786,17,FABIEN COMINA,FRA,41-,17.8,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5900,18,DIEGO MARTÍN MARSELLA PRADO,ARG,29,17.8,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2034,19,JAHA KIM,KOR,28,17.8,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2927,20,QINGHUA WANG,CHN,27+,17.5,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4877,21,JIACUO SUOLANG,CHN,28,17.5-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4726,22,MATTHIAS MÜLLER,SUI,30-,17-,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,5786,23,ALEKSEY PEROV,KAZ,27+,11+,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2039,24,HYUNBIN MIN,KOR,35,6.5+,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,4989,25,XIANGYANG YE,CHN,28+,6.5,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,3360,26,ALEXEY MOLCHANOV,KAZ,27+,5.5+,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2928,27,JINYU PAN,CHN,27,,
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,2931,28,HAIBIN QU,CHN,25+,,
