Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4716,1,KLEMEN BECAN,SLO,TOP,31,29
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3577,2,JORG VERHOEVEN,NED,TOP,32-,29-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,772,3,PATXI USOBIAGA LAKUNZA,ESP,TOP,33-,26-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1356,4,TOMÁS MRÁZEK,CZE,TOP,36-,25-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1214,5,JAKOB SCHUBERT,AUT,TOP,34,25-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3129,6,CÉDRIC LACHAT,SUI,TOP,31-,24.5
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5324,7,FLAVIEN GUERIMAND,FRA,34,31,15-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,2254,8,SACHI AMMA,JPN,TOP,31-,15-
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3422,9,JAN HOJER,GER,34-,30-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,426,10,SYLVAIN MILLET,FRA,40-,29-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,437,11,ROMAIN DESGRANGES,FRA,34,28-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5472,12,AURÉLIEN CULVER,FRA,34-,26,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4786,13,FABIEN COMINA,FRA,TOP,26-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3058,14,MAGNUS MIDTBOE,NOR,40+,26-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,773,15,RAMÓN JULIAN PUIGBLANQUE,ESP,40-,26-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4933,16,ALEXANDER KALINA,RUS,38-,26-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,448,17,THOMAS BALLET,FRA,33-,26-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4690,18,FABIEN DUGIT,FRA,34+,25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4864,19,IVAN KAUROV,RUS,34,25+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5684,20,ALEXANDER SHOPRIN,RUS,35-,22-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5470,21,REMY BERGASSE,FRA,34-,22-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,447,22,MANUEL ROMAIN,FRA,40-,21.5+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,65,23,EVGENII ZAZULIN,RUS,34-,21.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4795,24,JURE BECAN,SLO,32-,21.5,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,2039,25,HYUNBIN MIN,KOR,33-,16,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4582,26,MATEJ SOVA,SLO,34-,8-,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,80,27,MIKHAIL KOCHETKOV,RUS,30-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1118,28,ANZE STREMFELJ,SLO,29-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4715,29,IVAYLO KRASTEV,BUL,28-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1216,30,MARIO LECHNER,AUT,27+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,66,30,ARMAN TER-MINASYAN,RUS,27+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5956,30,IZIDOR ZUPAN,SLO,27+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5396,33,JÉRÔME DE BOECK,BEL,26,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,2839,34,PIOTR BUNSCH,POL,26-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4852,34,FELIPE CAMARGO,BRA,26-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4819,34,BLAGOVEST LAZAROV,BUL,26-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3579,37,NICKY DE LEEUW,NED,24,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1127,38,URBAN PRIMOZIC,SLO,24-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5957,39,JON CARDWELL,USA,23+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,61,39,MIKHAIL CHERNIKOV,RUS,23+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3124,39,THOMAS TAUPORN,GER,23+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4977,42,CHRISTIAN FEISTMANTL,AUT,23,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5958,42,KIRILL SEMENOV,RUS,23,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4988,42,HIROKI TSUNODA,JPN,23,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4964,45,MAGNUS HÖGSTRÖM,SWE,23-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1476,45,VALERIY KRYUKOV,UKR,23-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5900,45,DIEGO MARTÍN MARSELLA PRADO,ARG,23-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5518,45,TIMO TAK,NED,23-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4585,45,CASPER TEN SIJTHOFF,NED,23-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5624,50,ERIK CARLSSON,SWE,22.5+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1199,50,JÜRGEN REIS,AUT,22.5+,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5959,52,RYAN RODEN,USA,22.5,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5077,52,MARCIN WSZOLEK,POL,22.5,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,1473,54,OLEKSANDR ZILINSKIY,UKR,22,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,3890,55,MATHIAS CONRAD,GER,22-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5099,55,BLAZ RANT,SLO,22-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5330,55,MIHA SKOF,SLO,22-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4841,58,GABOR SZEKELY,HUN,21,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5036,59,EIRIK BIRKELUND OLSEN,NOR,21-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5960,59,LUKA PERUNOVIC,SRB,21-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4823,61,VITALII LAGUTIN,UKR,20,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5528,61,KRISTOFFER KVAMME THORBJOERNSEN,NOR,20,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5928,63,DIEGO LUIS GONZÁLEZ,MEX,17-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,4966,64,SILVIU CORCIOVEI,ROU,16,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5961,65,LEUSCA RAIMOND,ROU,16-,,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,5838,66,CATALIN PETRESCU,ROU,15,,
