Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1213,1,DAVID LAMA,AUT,TOP  1. | TOP  1. [18.49],TOP,50+
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,773,2,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [18.49],45-,50
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1559,3,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [18.49],TOP,41+
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3577,4,JORG VERHOEVEN,NED,TOP  1. | TOP  1. [18.49],TOP,41-
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3129,5,CÉDRIC LACHAT,SUI,TOP  1. | TOP  1. [18.49],TOP,40+
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1356,5,TOMÁS MRÁZEK,CZE,TOP  1. | TOP  1. [18.49],TOP,40+
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1214,7,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [18.49],45-,40-
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4716,8,KLEMEN BECAN,SLO,TOP  1. | TOP  1. [18.49],TOP,39+
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1476,9,VALERIY KRYUKOV,UKR,TOP  1. | TOP  1. [18.49],TOP,39
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,448,10,THOMAS BALLET,FRA,TOP  1. | TOP  1. [18.49],45-,25-
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4690,11,FABIEN DUGIT,FRA,TOP  1. | TOP  1. [18.49],43-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,437,12,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [18.49],42,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,2254,13,SACHI AMMA,JPN,TOP  1. | TOP  1. [18.49],42-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3058,13,MAGNUS MIDTBOE,NOR,TOP  1. | TOP  1. [18.49],42-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5396,15,JÉRÔME DE BOECK,BEL,TOP  1. | TOP  1. [18.49],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4864,15,IVAN KAUROV,RUS,TOP  1. | TOP  1. [18.49],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,1216,15,MARIO LECHNER,AUT,TOP  1. | TOP  1. [18.49],40+,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,4786,18,FABIEN COMINA,FRA,TOP  1. | TOP  1. [18.49],38-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,419,18,MICHAËL FUSELIER,FRA,TOP  1. | TOP  1. [18.49],38-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,775,18,ERIC LOPEZ MATEOS,ESP,TOP  1. | TOP  1. [18.49],38-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,5324,21,FLAVIEN GUERIMAND,FRA,TOP  1. | TOP  1. [18.49],37,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3422,22,JAN HOJER,GER,TOP  1. | TOP  1. [18.49],37-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,3124,22,THOMAS TAUPORN,GER,TOP  1. | TOP  1. [18.49],37-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,772,22,PATXI USOBIAGA LAKUNZA,ESP,TOP  1. | TOP  1. [18.49],37-,
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,774,25,MARCO ANTONIO JUBES ANGARITA,ESP,TOP  1. | TOP  1. [18.49],34,
