Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",772,1,PATXI USOBIAGA LAKUNZA,ESP,TOP  1. | TOP  1. [12.71],TOP,48-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2254,2,SACHI AMMA,JPN,TOP  1. | TOP  1. [12.71],29.5-,42+
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1213,3,DAVID LAMA,AUT,TOP  1. | TOP  1. [12.71],28.5+,41
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",437,4,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [12.71],28.5+,40-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1364,5,ADAM ONDRA,CZE,TOP  1. | TOP  1. [12.71],33-,38-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",773,6,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [12.71],31+,28
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",447,7,MANUEL ROMAIN,FRA,TOP  1. | TOP  1. [12.71],TOP,21
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3124,8,THOMAS TAUPORN,GER,TOP  1. | TOP  1. [12.71],29.5-,19-
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",444,9,GAUTIER SUPPER,FRA,TOP  1. | TOP  1. [12.71],28.5-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3577,9,JORG VERHOEVEN,NED,TOP  1. | TOP  1. [12.71],28.5-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1214,11,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [12.71],28-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3129,12,CÉDRIC LACHAT,SUI,TOP  1. | TOP  1. [12.71],26-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1559,12,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [12.71],26-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2032,12,SANGWON SON,KOR,TOP  1. | TOP  1. [12.71],26-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3058,15,MAGNUS MIDTBOE,NOR,TOP  1. | TOP  1. [12.71],25+,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5472,16,AURÉLIEN CULVER,FRA,TOP  1. | 36-  30. [22.77],25-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",845,17,FLAVIO CRESPI,ITA,TOP  1. | 36   27. [21.82],23,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5324,18,FLAVIEN GUERIMAND,FRA,TOP  1. | 37-  20. [19.12],23-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4937,19,KAZUMA WATANABE,JPN,TOP  1. | 37-  20. [19.12],22-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4690,20,FABIEN DUGIT,FRA,TOP  1. | 36-  30. [22.77],22-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4938,21,STANISLAV POPLAVSKIY,RUS,TOP  1. | 34+  36. [24.74],22-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",448,22,THOMAS BALLET,FRA,TOP  1. | 37-  20. [19.12],21.5,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1476,23,VALERIY KRYUKOV,UKR,TOP  1. | TOP  1. [12.71],21,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2574,24,ALEXANDER MEGOS,GER,TOP  1. | 35-  34. [24.22],21-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1216,25,MARIO LECHNER,AUT,TOP  1. | TOP  1. [12.71],19-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4864,26,IVAN KAUROV,RUS,TOP  1. | 35-  34. [24.22],16-,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",774,27,MARCO ANTONIO JUBES ANGARITA,ESP,TOP  1. | 32   38. [25.42],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4841,28,GABOR SZEKELY,HUN,TOP  1. | 32-  39. [25.91],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4716,29,KLEMEN BECAN,SLO,6   72. | TOP  1. [26.15],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",849,30,GABRIELE MORONI,ITA,TOP  1. | 29+  44. [27.35],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5956,31,IZIDOR ZUPAN,SLO,TOP  1. | 29   45. [27.96],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4802,32,JACOPO LARCHER,ITA,TOP  1. | 29-  48. [28.71],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5597,33,EMMANUEL LOPEZ,FRA,27+  43. | 39-  19. [29.88],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3422,34,JAN HOJER,GER,TOP  1. | 25-  55. [30.72],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4582,35,MATEJ SOVA,SLO,TOP  1. | 24-  57. [31.26],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4786,36,FABIEN COMINA,FRA,27+  43. | 37-  20. [31.79],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",61,37,MIKHAIL CHERNIKOV,RUS,28-  40. | 36+  24. [32.02],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",3136,38,CESAR GROSSO,BRA,31-  34. | 35   32. [33.24],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",775,39,ERIC LOPEZ MATEOS,ESP,28-  40. | 36   27. [33.88],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2039,40,HYUNBIN MIN,KOR,27+  43. | 36+  24. [34.28],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",2040,40,JIHWAN PARK,KOR,27+  43. | 36+  24. [34.28],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5900,42,DIEGO MARTÍN MARSELLA PRADO,ARG,27+  43. | 36   27. [36.28],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5908,43,MATHIEU BOUYOUD,FRA,29   38. | 33+  37. [37.50],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4964,44,MAGNUS HÖGSTRÖM,SWE,30+  35. | 30+  41. [37.88],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4781,45,FRANCOIS KAISER,FRA,27+  43. | 35   32. [39.08],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4948,46,NICOLA DE MATTIA,ITA,29+  37. | 29   45. [41.26],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5470,47,REMY BERGASSE,FRA,28-  40. | 30-  42. [41.74],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",4939,48,GABRIEL JOSSERON,FRA,29-  39. | 27+  52. [45.03],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",5014,49,YURIY DZYUBYAK,UKR,26-  53. | 32-  39. [45.97],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",778,50,VICTOR ESTELLER OCAÑA,ESP,30   36. | 21   64. [48.37],,
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",1127,51,URBAN PRIMOZIC,SLO,27+  43. | 28+  50. [48.48],,
