Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1214,1,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [7.86],33-,42
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,772,2,PATXI USOBIAGA LAKUNZA,M,ESP,TOP  1. | TOP  1. [7.86],34+,34-
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1356,3,TOMÁS MRÁZEK,M,CZE,TOP  1. | TOP  1. [7.86],37,31
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,3124,4,THOMAS TAUPORN,M,GER,TOP  1. | TOP  1. [7.86],35-,29
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,773,5,RAMÓN JULIAN PUIGBLANQUE,M,ESP,31-  13. | TOP  1. [11.53],37,26
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4783,6,AKITO MATSUSHIMA,M,JPN,31-  13. | 72+  35. [22.14],33,26-
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1213,7,DAVID LAMA,M,AUT,TOP  1. | TOP  1. [7.86],33-,26-
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,447,8,MANUEL ROMAIN,M,FRA,TOP  1. | TOP  1. [7.86],34,23+
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4937,9,KAZUMA WATANABE,M,JPN,25   28. | TOP  1. [16.31],32-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,61,10,MIKHAIL CHERNIKOV,M,RUS,17-  43. | TOP  1. [20.33],31+,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1364,11,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [7.86],31,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,444,12,GAUTIER SUPPER,M,FRA,TOP  1. | 90   19. [11.11],31,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,3058,13,MAGNUS MIDTBOE,M,NOR,31-  13. | 68+  37. [22.76],30-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,2254,14,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [7.86],28-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4716,14,KLEMEN BECAN,M,SLO,TOP  1. | TOP  1. [7.86],28-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,5256,16,EDUARD MARIN GARCIA,M,ESP,28   20. | TOP  1. [13.78],28-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,845,17,FLAVIO CRESPI,M,ITA,27-  21. | 86   20. [22.00],28-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1361,18,MARTIN STRANIK,M,CZE,26+  24. | 86   20. [23.45],27+,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,5684,19,ALEXANDER SHOPRIN,M,RUS,30   16. | 75   32. [22.80],27-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,437,20,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [7.86],26,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,1221,21,MAX RUDIGIER,M,AUT,TOP  1. | TOP  1. [7.86],21+,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4582,22,MATEJ SOVA,M,SLO,29-  17. | TOP  1. [12.89],21-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4795,23,JURE BECAN,M,SLO,24-  33. | TOP  1. [17.71],21-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,65,24,EVGENII ZAZULIN,M,RUS,18   41. | TOP  1. [19.74],21-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,2032,25,SANGWON SON,M,KOR,29-  17. | 76-  29. [22.91],21-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4940,26,TATSUMI NITTA,M,JPN,27-  21. | 86   20. [22.00],16-,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,5820,27,MAURICIO HUERTA,M,MEX,24   31. | 86   20. [26.32],,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,4870,28,KONSTANTIN SAVELYEV,M,RUS,27-  21. | 75   32. [26.74],,
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,778,29,VICTOR ESTELLER OCAÑA,M,ESP,25-  29. | 82+  26. [27.69],,
