Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,1364,1,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [3.67],44-,TOP
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,772,2,PATXI USOBIAGA LAKUNZA,M,ESP,33-  7. | TOP  1. [6.00],43+,56-
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,447,3,MANUEL ROMAIN,M,FRA,TOP  1. | TOP  1. [3.67],42-,52+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,437,4,ROMAIN DESGRANGES,M,FRA,33-  7. | 37   20. [12.81],43,52
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,4716,5,KLEMEN BECAN,M,SLO,33-  7. | 45   14. [10.58],39+,52-
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,2254,6,SACHI AMMA,M,JPN,29+  16. | TOP  1. [8.49],39+,51+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,444,7,GAUTIER SUPPER,M,FRA,TOP  1. | TOP  1. [3.67],41-,49-
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,773,8,RAMÓN JULIAN PUIGBLANQUE,M,ESP,36   6. | TOP  1. [5.20],41-,21+
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,1213,9,DAVID LAMA,M,AUT,TOP  1. | TOP  1. [3.67],39,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,5256,10,EDUARD MARIN GARCIA,M,ESP,31   11. | 37   20. [15.02],39,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,3124,11,THOMAS TAUPORN,M,GER,32   10. | 48   10. [10.00],39-,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,1214,12,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [3.67],36,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,845,13,FLAVIO CRESPI,M,ITA,31-  12. | 46-  13. [13.00],33,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,3422,14,JAN HOJER,M,GER,29   17. | 36+  23. [19.99],33-,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,2032,15,SANGWON SON,M,KOR,31-  12. | 47-  12. [12.49],32+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,778,16,VICTOR ESTELLER OCAÑA,M,ESP,25.5-  26. | 36   25. [26.48],29+,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,4933,17,ALEXANDER KALINA,M,RUS,28-  19. | 49   9. [13.25],27-,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,2034,18,JAHA KIM,M,KOR,31-  12. | 40+  17. [14.87],27-,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,774,19,MARCO ANTONIO JUBES ANGARITA,M,ESP,27+  21. | 48-  11. [15.38],27-,
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,5470,20,REMY BERGASSE,M,FRA,28+  18. | 44   15. [16.43],27-,
