Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",772,1,PATXI USOBIAGA LAKUNZA,M,ESP,TOP  1. | TOP  1. [4.47],40-,44+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",773,2,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [4.47],46-,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2254,3,SACHI AMMA,M,JPN,TOP  1. | TOP  1. [4.47],41-,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1364,4,ADAM ONDRA,M,CZE,TOP  1. | TOP  1. [4.47],40+,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1213,5,DAVID LAMA,M,AUT,41   10. | 45+  10. [10.25],40+,37-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1214,6,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [4.47],40,36
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2032,7,SANGWON SON,M,KOR,TOP  1. | TOP  1. [4.47],39-,36-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2039,8,HYUNBIN MIN,M,KOR,TOP  1. | TOP  1. [4.47],39-,32+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",437,9,ROMAIN DESGRANGES,M,FRA,TOP  1. | 38   12. [7.75],40-,24+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",447,10,MANUEL ROMAIN,M,FRA,TOP  1. | 37   17. [9.75],39-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3577,11,JORG VERHOEVEN,M,NED,40-  12. | 37   17. [15.41],39-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4940,12,TATSUMI NITTA,M,JPN,35-  18. | 46-  8. [12.87],38,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2040,13,JIHWAN PARK,M,KOR,37-  15. | 46-  8. [11.29],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4783,14,AKITO MATSUSHIMA,M,JPN,41   10. | 38-  13. [12.34],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3124,15,THOMAS TAUPORN,M,GER,36-  17. | 38-  13. [15.70],33,
