Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",772,1,PATXI USOBIAGA LAKUNZA,ESP,TOP  1. | TOP  1. [4.47],40-,44+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",773,2,RAMÓN JULIAN PUIGBLANQUE,ESP,TOP  1. | TOP  1. [4.47],46-,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2254,3,SACHI AMMA,JPN,TOP  1. | TOP  1. [4.47],41-,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1364,4,ADAM ONDRA,CZE,TOP  1. | TOP  1. [4.47],40+,40-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1213,5,DAVID LAMA,AUT,41   10. | 45+  10. [10.25],40+,37-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1214,6,JAKOB SCHUBERT,AUT,TOP  1. | TOP  1. [4.47],40,36
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2032,7,SANGWON SON,KOR,TOP  1. | TOP  1. [4.47],39-,36-
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2039,8,HYUNBIN MIN,KOR,TOP  1. | TOP  1. [4.47],39-,32+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",437,9,ROMAIN DESGRANGES,FRA,TOP  1. | 38   12. [7.75],40-,24+
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",447,10,MANUEL ROMAIN,FRA,TOP  1. | 37   17. [9.75],39-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3577,11,JORG VERHOEVEN,NED,40-  12. | 37   17. [15.41],39-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4940,12,TATSUMI NITTA,JPN,35-  18. | 46-  8. [12.87],38,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2040,13,JIHWAN PARK,KOR,37-  15. | 46-  8. [11.29],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4783,14,AKITO MATSUSHIMA,JPN,41   10. | 38-  13. [12.34],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",3124,15,THOMAS TAUPORN,GER,36-  17. | 38-  13. [15.70],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",444,16,GAUTIER SUPPER,FRA,35-  18. | 38-  13. [16.82],33,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4988,17,HIROKI TSUNODA,JPN,36   16. | 38-  13. [15.23],28,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4864,18,IVAN KAUROV,RUS,34   24. | 37   17. [21.79],28,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",4937,19,KAZUMA WATANABE,JPN,39+  14. | 37-  22. [17.55],28-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2261,20,MASAHIRO HIGUCHI,JPN,34   24. | 37   17. [21.79],28-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",1216,21,MARIO LECHNER,AUT,35-  18. | 32-  28. [23.57],25+,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5001,22,SAKAE NAKAHARA,JPN,40-  12. | 36-  24. [17.32],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5002,23,SEOLBIN SIM,KOR,35-  18. | 37   17. [19.25],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2269,24,KAZUTOSHI OGATA,JPN,34+  22. | 32-  28. [25.32],25,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5003,25,CHANGHYON LEE,KOR,34+  22. | 35+  25. [23.72],12,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2034,26,JAHA KIM,KOR,33   28. | 42-  11. [17.55],6-,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",5004,27,JEONGSU LEE,KOR,27   30. | 36   23. [26.49],,
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",2046,28,SUNGBO SEO,KOR,34   24. | 30   30. [27.61],,
